suite	NOM	suite
à	PRP	à
une	DET:ART	un
réunion	NOM	réunion
préparatoire	ADJ	préparatoire
,	PUN	,
organisée	VER:pper	organiser
par	PRP	par
le	DET:ART	le
foyer	NOM	foyer
rural	ADJ	rural
de	PRP	de
velaine	NOM	velaine
et	KON	et
la	DET:ART	le
fédération	NOM	fédération
,	PUN	,
une	DET:ART	un
semaine	NOM	semaine
internet	ADJ	internet
sera	VER:futu	être
organisée	VER:pper	organiser
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
velaine-sous-amance	NOM	velaine-sous-amance
(	PUN	(
du	PRP:det	du
samedi	NOM	samedi
8	NUM	@card@
au	PRP:det	au
jeudi	NOM	jeudi
12	NUM	@card@
février	NOM	février
).	ABR	).
ce	PRO:DEM	ce
cybervillage	NOM	cybervillage
sera	VER:futu	être
ouvert	VER:pper	ouvrir
à	PRP	à
tous	PRO:IND	tout
,	PUN	,
gratuitement	ADV	gratuitement
,	PUN	,
avec	PRP	avec
huit	NUM	huit
ordinateurs	NOM	ordinateur
,	PUN	,
cd	VER:simp	cd
rom	NOM	rom
,	PUN	,
scanners	NOM	scanner
etc	ABR	etc
.	SENT	.
dans	PRP	dans
un	DET:ART	un
espace	NOM	espace
multimédia	ADJ	multimédia
,	PUN	,
pour	PRP	pour
les	DET:ART	le
habitants	NOM	habitant
de	PRP	de
velaine	NOM	velaine
et	KON	et
des	PRP:det	du
environs	NOM	environ|environs
,	PUN	,
vous	PRO:PER	vous
serez	VER:futu	être
guidés	VER:pper	guider
par	PRP	par
des	PRP:det	du
personnes	NOM	personne
qualifiées	VER:pper	qualifier
.	SENT	.
au	PRP:det	au
programme	NOM	programme
:	PUN	:
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
matinée	NOM	matinée
élus	VER:pper	élire
et	KON	et
personnels	ADJ	personnel
communaux	NOM	communal
;	PUN	;
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
inauguration	NOM	inauguration
;	PUN	;
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
accès	NOM	accès
libre	ADJ	libre
,	PUN	,
découverte	VER:pper	découvrir
,	PUN	,
surf	NOM	surf
sur	PRP	sur
le	DET:ART	le
web	NOM	web
;	PUN	;
dimanche	NOM	dimanche
9	NUM	@card@
février	NOM	février
,	PUN	,
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
accès	NOM	accès
libre	ADJ	libre
,	PUN	,
découverte	NOM	découverte
et	KON	et
recherche	NOM	recherche
d'	PRP	de
informations	NOM	information
sur	PRP	sur
le	DET:ART	le
web	NOM	web
;	PUN	;
lundi	NOM	lundi
10	NUM	@card@
février	NOM	février
,	PUN	,
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
23	NUM	@card@
h	ABR	heure
,	PUN	,
soirée	NOM	soirée
moteur	ADJ	moteur
et	KON	et
recherche	NOM	recherche
de	PRP	de
cyberchasse	NOM	cyberchasse
;	PUN	;
mercredi	NOM	mercredi
12	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
matinée	NOM	matinée
retraités	ADJ	retraité
et	KON	et
seniors	NOM	senior
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
spécial	ADJ	spécial
jeunes	NOM	jeune
collégiens	ADJ	collégien
et	KON	et
lycéens	ADJ	lycéen
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
23	NUM	@card@
h	ABR	heure
,	PUN	,
soirée	NOM	soirée
création	NOM	création
de	PRP	de
pages	NOM	page
personnelles	ADJ	personnel
;	PUN	;
jeudi	NOM	jeudi
13	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
23	NUM	@card@
h	ABR	heure
,	PUN	,
soirée	NOM	soirée
spectacle	NOM	spectacle
,	PUN	,
image	NOM	image
,	PUN	,
appareil	NOM	appareil
photos	NOM	photo
numériques	ADJ	numérique
,	PUN	,
scanner	VER:infi	scanner
