quelques	PRO:IND	quelque
nuisances	NOM	nuisance
sont	VER:pres	être
occasionnées	VER:pper	occasionner
en	PRP	en
ce	PRO:DEM	ce
qui	PRO:REL	qui
concerne	VER:pres	concerner
la	DET:ART	le
circulation	NOM	circulation
piétonne	ADJ	piéton
et	KON	et
parfois	ADV	parfois
le	DET:ART	le
stationnement	NOM	stationnement
dans	PRP	dans
la	DET:ART	le
rue	NOM	rue
des	PRP:det	du
cristalleries	NOM	cristallerie
pendant	PRP	pendant
encore	ADV	encore
une	DET:ART	un
bonne	ADJ	bon
semaine	NOM	semaine
.	SENT	.
le	DET:ART	le
temps	NOM	temps
à	PRP	à
l'	DET:ART	le
entreprise	NOM	entreprise
kaspar	ADJ	kaspar
de	PRP	de
hudiviller	VER:infi	hudiviller
,	PUN	,
de	PRP	de
procéder	VER:infi	procéder
au	PRP:det	au
changement	NOM	changement
sur	PRP	sur
le	DET:ART	le
réseau	NOM	réseau
d'	PRP	de
eau	NOM	eau
potable	ADJ	potable
,	PUN	,
de	PRP	de
conduites	NOM	conduite
en	PRP	en
plomb	NOM	plomb
,	PUN	,
matériaux	NOM	matériau|matériaux
dangereux	ADJ	dangereux
pour	PRP	pour
la	DET:ART	le
santé	NOM	santé
.	SENT	.
en	PRP	en
quatre	NUM	quatre
années	NOM	année
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
près	ADV	près
d'	PRP	de
une	DET:ART	un
centaine	NOM	centaine
de	PRP	de
ces	PRO:DEM	ce
conduites	NOM	conduite
d'	PRP	de
une	DET:ART	un
autre	ADJ	autre
époque	NOM	époque
qui	PRO:REL	qui
seront	VER:futu	être
ré-installées	VER:pper	ré-installées
avec	PRP	avec
la	DET:ART	le
pose	NOM	pose
des	PRP:det	du
compteurs	NOM	compteur
en	PRP	en
extérieur	NOM	extérieur
,	PUN	,
sur	PRP	sur
l'	DET:ART	le
ensemble	NOM	ensemble
de	PRP	de
baccarat	NOM	baccarat
.	SENT	.
