trois	NUM	trois
mois	NOM	moi|mois
après	PRP	après
la	DET:ART	le
fermeture	NOM	fermeture
de	PRP	de
nosocoba	NOM	nosocoba
,	PUN	,
une	DET:ART	un
semaine	NOM	semaine
après	PRP	après
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
convoquée	VER:pper	convoquer
par	PRP	par
la	DET:ART	le
direction	NOM	direction
du	PRP:det	du
travail	NOM	travail
,	PUN	,
les	DET:ART	le
anciennes	ADJ	ancien
cousettes	NOM	cousette
de	PRP	de
l'	DET:ART	le
atelier	NOM	atelier
de	PRP	de
confection	NOM	confection
se	PRO:PER	se
sont	VER:pres	être
retrouvées	VER:pper	retrouver
,	PUN	,
hier	ADV	hier
,	PUN	,
à	PRP	à
une	DET:ART	un
quarantaine	NOM	quarantaine
devant	PRP	devant
le	DET:ART	le
siège	NOM	siège
de	PRP	de
l'	DET:ART	le
assedic	NOM	assedic
,	PUN	,
parc	NOM	parc
bradfer	NOM	bradfer
.	SENT	.
motif	NOM	motif
,	PUN	,
les	DET:ART	le
contestations	NOM	contestation
de	PRP	de
certaines	PRO:IND	certain
dispositions	NOM	disposition
liées	VER:pper	lier
aux	PRP:det	au
indemnités	NOM	indemnité
.	SENT	.
visiblement	ADV	visiblement
,	PUN	,
bien	ADV	bien
leur	PRO:PER	lui
en	PRO:PER	en
a	VER:pres	avoir
pris	VER:pper	prendre
de	PRP	de
se	PRO:PER	se
mobiliser	VER:infi	mobiliser
,	PUN	,
puisqu'une	NOM	puisqu'une
délégation	NOM	délégation
a	VER:pres	avoir
été	VER:pper	être
reçue	VER:pper	recevoir
par	PRP	par
un	DET:ART	un
responsable	ADJ	responsable
qui	PRO:REL	qui
a	VER:pres	avoir
su	VER:pper	savoir
les	DET:ART	le
écouter	VER:infi	écouter
mais	KON	mais
surtout	ADV	surtout
les	PRO:PER	la|le
rassurer	VER:infi	rassurer
.	SENT	.
les	DET:ART	le
incompris	NOM	incompris
ont	VER:pres	avoir
ainsi	ADV	ainsi
pu	VER:pper	pouvoir
être	VER:infi	être
levés	VER:pper	lever
,	PUN	,
la	DET:ART	le
communication	NOM	communication
rétablie	ADJ	rétabli
.	SENT	.
certes	ADV	certes
,	PUN	,
les	DET:ART	le
ouvrières	NOM	ouvrier
sont	VER:pres	être
reparties	VER:pper	repartir
sans	PRP	sans
travail	NOM	travail
mais	KON	mais
avec	PRP	avec
l'	DET:ART	le
assurance	NOM	assurance
que	KON	que
chaque	PRO:IND	chaque
dossier	NOM	dossier
sera	VER:futu	être
examiné	VER:pper	examiner
avec	PRP	avec
soin	NOM	soin
.	SENT	.
