animations	NOM	animation
:	PUN	:
dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
du	PRP:det	du
club	NOM	club
junior	ADJ	junior
,	PUN	,
sochalion	NOM	sochalion
sera	VER:futu	être
présent	ADJ	présent
à	PRP	à
la	DET:ART	le
boutique	NOM	boutique
«	PUN:cit	«
planète	VER:pres	planeter
fcsm	NOM	fcsm
»	PUN:cit	»
ainsi	KON	ainsi
que	KON	que
sur	PRP	sur
les	DET:ART	le
parvis	NOM	parvis
du	PRP:det	du
stade	NOM	stade
bonal	ADJ	bonal
.	SENT	.
deux	NUM	deux
autres	ADJ	autre
points	NOM	point
de	PRP	de
vente	NOM	vente
de	PRP	de
produits	NOM	produit
dérivés	VER:pper	dériver
sochaliens	ADJ	sochaliens
seront	VER:futu	être
à	PRP	à
disposition	NOM	disposition
des	PRP:det	du
spectateurs	NOM	spectateur
.	SENT	.
billetterie	NOM	billetterie
:	PUN	:
la	DET:ART	le
billetterie	NOM	billetterie
pour	PRP	pour
le	DET:ART	le
match	NOM	match
sochaux	ADJ	sochaux
-	PUN	-
rennes	NOM	renne
reste	VER:pres	rester
ouverte	VER:pper	ouvrir
dans	PRP	dans
les	DET:ART	le
points	NOM	point
de	PRP	de
vente	NOM	vente
délocalisés	VER:pper	délocaliser
à	PRP	à
besançon	NOM	besançon
,	PUN	,
pont-de-roide	NOM	pont-de-roide
,	PUN	,
charquemont	VER:futu	charquemont
,	PUN	,
villers-le-lac	NOM	villers-le-lac
,	PUN	,
belfort	NOM	belfort
,	PUN	,
frotey-lès-vesoul	NOM	frotey-lès-vesoul
et	KON	et
auprès	ADV	auprès
des	PRP:det	du
comités	NOM	comité
d'	PRP	de
entreprise	NOM	entreprise
de	PRP	de
peugeot	NOM	peugeot
vesoul	NOM	vesoul
,	PUN	,
mulhouse	ADJ	mulhouse
et	KON	et
sochaux	ADJ	sochaux
pour	PRP	pour
le	DET:ART	le
personnel	NOM	personnel
psa	VER:simp	psa
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
également	ADV	également
ouverte	VER:pper	ouvrir
au	PRP:det	au
stade	NOM	stade
bonal	ADJ	bonal
aujourd'hui	ADV	aujourd'hui
mercredi	NOM	mercredi
,	PUN	,
jour	NOM	jour
du	PRP:det	du
match	NOM	match
,	PUN	,
de	PRP	de
