quel	PRO:REL	quel
pourcentage	NOM	pourcentage
de	PRP	de
grévistes	NOM	gréviste
hier	ADV	hier
?	SENT	?
a	VER:pres	avoir
la	DET:ART	le
fin	NOM	fin
de	PRP	de
leur	DET:POS	leur
assemblée	NOM	assemblée
générale	ADJ	général
et	KON	et
avant	PRP	avant
de	PRP	de
partir	VER:infi	partir
à	PRP	à
besançon	NOM	besançon
pour	PRP	pour
rejoindre	VER:infi	rejoindre
la	DET:ART	le
manifestation	NOM	manifestation
initiée	VER:pper	initier
pour	PRP	pour
tout	PRO:IND	tout
le	DET:ART	le
département	NOM	département
,	PUN	,
les	DET:ART	le
enseignants	NOM	enseignant
montbéliardais	VER:impf	montbéliardais
ne	ADV	ne
disposaient	VER:impf	disposer
que	ADV	que
de	PRP	de
quelques	PRO:IND	quelque
chiffres	NOM	chiffre
pour	PRP	pour
mesurer	VER:infi	mesurer
l'	DET:ART	le
ampleur	NOM	ampleur
de	PRP	de
leur	DET:POS	leur
mouvement	NOM	mouvement
.	SENT	.
outre	ADV	outre
la	DET:ART	le
mobilisation	NOM	mobilisation
au	PRP:det	au
collège	NOM	collège
de	PRP	de
bethoncourt	NOM	bethoncourt
,	PUN	,
les	DET:ART	le
syndicats	NOM	syndicat
d'	PRP	de
enseignants	NOM	enseignant
considéraient	VER:impf	considérer
bavans	ADJ	bavans
comme	KON	comme
une	DET:ART	un
«	PUN:cit	«
ville	NOM	ville
morte	ADJ	mort
»	PUN:cit	»
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
primaire	NOM	primaire
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
école	NOM	école
élémentaire	ADJ	élémentaire
des	PRP:det	du
alouettes	NOM	alouette
et	KON	et
à	PRP	à
jules-grosjean	NOM	jules-grosjean
,	PUN	,
à	PRP	à
donzelot	NOM	donzelot
à	PRP	à
montbéliard	NOM	montbéliard
,	PUN	,
à	PRP	à
la-fontaine	NOM	la-fontaine
à	PRP	à
bethoncourt	NOM	bethoncourt
,	PUN	,
à	PRP	à
l'	DET:ART	le
école	NOM	école
des	PRP:det	du
chênes	NOM	chêne
à	PRP	à
sochaux	NOM	sochaux
ou	KON	ou
encore	ADV	encore
à	PRP	à
georges-brassens	NOM	georges-brassens
,	PUN	,
de	PRP	de
nombreux	ADJ	nombreux
grévistes	NOM	gréviste
étaient	VER:impf	être
annoncés	VER:pper	annoncer
.	SENT	.
a	VER:pres	avoir
villars-lès-blamont	VER:futu	villars-lès-blamont
aussi	ADV	aussi
.	SENT	.
a	VER:pres	avoir
bart	NOM	bart
,	PUN	,
la	DET:ART	le
mobilisation	NOM	mobilisation
était	VER:impf	être
très	ADV	très
impressionnante	ADJ	impressionnant
chez	PRP	chez
les	DET:ART	le
atos	NOM	atos
(	PUN	(
agents	NOM	agent
techniques	ADJ	technique
).	VER:simp	).
le	DET:ART	le
message	NOM	message
reçu	VER:pper	recevoir
par	PRP	par
les	DET:ART	le
syndicats	NOM	syndicat
faisait	VER:impf	faire
état	NOM	état
de	PRP	de
100	NUM	@card@
%	SYM	%
de	PRP	de
grévistes	NOM	gréviste
chez	PRP	chez
les	DET:ART	le
atos	NOM	atos
du	PRP:det	du
collège	NOM	collège
«	PUN:cit	«
sauf	PRP	sauf
le	DET:ART	le
cuistot	NOM	cuistot
».	VER:pper	».
au	PRP:det	au
collège	NOM	collège
d'	PRP	de
etupes	NOM	etupes
,	PUN	,
58	NUM	@card@
%	SYM	%
des	PRP:det	du
enseignants	NOM	enseignant
étaient	VER:impf	être
également	ADV	également
pointés	VER:pper	pointer
en	PRP	en
grève	NOM	grève
en	PRP	en
début	NOM	début
de	PRP	de
matinée	NOM	matinée
.	SENT	.
