gsa	VER:simp	gsa
tomblaine	NOM	tomblaine
,	PUN	,
poussins	NOM	poussin
2	NUM	@card@
équipes	NOM	équipe
,	PUN	,
benjamins	NOM	benjamin
2	NUM	@card@
équipes	NOM	équipe
à	PRP	à
9	NUM	@card@
cherche	VER:pres	chercher
matches	NOM	match
pour	PRP	pour
les	DET:ART	le
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
8	NUM	@card@
et	KON	et
15	NUM	@card@
février	NOM	février
2003	NUM	@card@
tél	ABR	téléphone
.	SENT	.
m.	ABR	m.
louis	NOM	louis
,	PUN	,
03.83	NUM	@card@
.	SENT	.
20.44	NUM	@card@
.	SENT	.
64	NUM	@card@
vallée	NOM	vallée
du	PRP:det	du
madon	NOM	madon
seniors	NOM	senior
cherche	VER:pres	chercher
match	NOM	match
à	PRP	à
domicile	NOM	domicile
ou	KON	ou
extérieur	NOM	extérieur
,	PUN	,
contre	PRP	contre
2	NUM	@card@
e	ADJ	e
série	NOM	série
,	PUN	,
dimanche	NOM	dimanche
matin	NOM	matin
2	NUM	@card@
février	NOM	février
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
26.23	NUM	@card@
.	SENT	.
80	NUM	@card@
fc	NOM	fc
pierre-la-treiche	NOM	pierre-la-treiche
cherche	VER:pres	chercher
match	NOM	match
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
le	DET:ART	le
dimanche	NOM	dimanche
2	NUM	@card@
février	NOM	février
,	PUN	,
l'	DET:ART	le
après-midi	NOM	après-midi
,	PUN	,
niveau	NOM	niveau
:	PUN	:
jusqu'en	NOM	jusqu'en
première	NUM	premier
série	NOM	série
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
64.44	NUM	@card@
.	SENT	.
17	NUM	@card@
belleau	NOM	belleau
,	PUN	,
équipe	NOM	équipe
1	NUM	@card@
b	NOM	b
contre	PRP	contre
2	NUM	@card@
e	ADJ	e
division	NOM	division
,	PUN	,
cherche	VER:pres	chercher
match	NOM	match
le	DET:ART	le
2	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
49.12	NUM	@card@
.	SENT	.
18	NUM	@card@
