hier	ADV	hier
,	PUN	,
vers	PRP	vers
19	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
s'	PRO:PER	se
est	VER:pres	être
déclaré	VER:pper	déclarer
au	PRP:det	au
2	NUM	@card@
rue	NOM	rue
basse	ADJ	bas
à	PRP	à
uruffe	NOM	uruffe
.	SENT	.
sur	PRP	sur
place	NOM	place
,	PUN	,
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
de	PRP	de
la	DET:ART	le
localité	NOM	localité
,	PUN	,
aidés	VER:pper	aider
de	PRP	de
leurs	DET:POS	leur
collègues	NOM	collègue
du	PRP:det	du
centre	NOM	centre
d'	PRP	de
intervention	NOM	intervention
allamps-vannes	NOM	allamps-vannes
,	PUN	,
ont	VER:pres	avoir
fait	VER:pper	faire
usage	NOM	usage
de	PRP	de
leur	DET:POS	leur
matériel	NOM	matériel
spécial	ADJ	spécial
pour	PRP	pour
maîtriser	VER:infi	maîtriser
le	DET:ART	le
sinistre	NOM	sinistre
.	SENT	.
