débutant	VER:ppre	débuter
au	PRP:det	au
dojo	NOM	dojo
de	PRP	de
seveux	NOM	seveux
avec	PRP	avec
max	NOM	max
monney	NOM	monney
,	PUN	,
santhiana	NOM	santhiana
muller	NOM	muller
monte	VER:pres	monter
dans	PRP	dans
la	DET:ART	le
hiérarchie	NOM	hiérarchie
du	PRP:det	du
judo	NOM	judo
depuis	PRP	depuis
qu'	PRO:REL	que
elle	PRO:PER	elle
a	VER:pres	avoir
rejoint	VER:pper	rejoindre
le	DET:ART	le
club	NOM	club
dampierrois	ADJ	dampierrois
.	SENT	.
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
classée	VER:pper	classer
deuxième	NUM	deuxième
aux	PRP:det	au
championnats	NOM	championnat
régionaux	ADJ	régional
à	PRP	à
besançon	NOM	besançon
dans	PRP	dans
la	DET:ART	le
catégorie	NOM	catégorie
minimes	ADJ	minime
.	SENT	.
santhiana	NOM	santhiana
n'	ADV	ne
a	VER:pres	avoir
perdu	VER:pper	perdre
qu'	KON	que
un	DET:ART	un
match	NOM	match
,	PUN	,
pourtant	ADV	pourtant
à	PRP	à
sa	DET:POS	son
portée	NOM	portée
:	PUN	:
elle	PRO:PER	elle
a	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
complexe	NOM	complexe
contre	PRP	contre
un	DET:ART	un
adversaire	NOM	adversaire
qu'	PRO:REL	que
elle	PRO:PER	elle
peut	VER:pres	pouvoir
battre	VER:infi	battre
.	SENT	.
riche	ADJ	riche
de	PRP	de
ce	PRO:DEM	ce
titre	NOM	titre
de	PRP	de
vice-championne	NOM	vice-championne
de	PRP	de
franche-comté	NOM	franche-comté
,	PUN	,
santhiana	NOM	santhiana
disputera	VER:futu	disputer
les	DET:ART	le
«	PUN:cit	«
inter-régions	NOM	inter-régions
»	PUN:cit	»
le	DET:ART	le
dimanche	NOM	dimanche
16	NUM	@card@
février	NOM	février
à	PRP	à
epinal	NOM	epinal
et	KON	et
rêve	VER:pres	rêver
encore	ADV	encore
de	PRP	de
briller	VER:infi	briller
à	PRP	à
ce	PRO:DEM	ce
niveau	NOM	niveau
qui	PRO:REL	qui
est	VER:pres	être
la	DET:ART	le
voie	NOM	voie
royale	ADJ	royal
pour	PRP	pour
le	DET:ART	le
niveau	NOM	niveau
national	ADJ	national
.	SENT	.
