piano	ADV	piano
-	PUN	-
clavier	NOM	clavier
-	PUN	-
accordéon	NOM	accordéon
:	PUN	:
les	DET:ART	le
cours	NOM	cour|cours
ont	VER:pres	avoir
lieu	NOM	lieu
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
13	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
l'	DET:ART	le
annexe	ADJ	annexe
saint-jacques	NOM	saint-jacques
de	PRP	de
pesmes	NOM	pesmes
avec	PRP	avec
evelyne	NOM	evelyne
bourquard	ADJ	bourquard
.	SENT	.
bibliothèque	NOM	bibliothèque
:	PUN	:
elle	PRO:PER	elle
est	VER:pres	être
ouverte	VER:pper	ouvrir
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h.	ABR	h.
gym	NOM	gym
:	PUN	:
ce	PRO:DEM	ce
mercredi	NOM	mercredi
,	PUN	,
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
,	PUN	,
avec	PRP	avec
emilie	NOM	emilie
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
cuisses	NOM	cuisse
abdos	NOM	abdos
fessiers	ADJ	fessier
;	PUN	;
de	PRP	de
15	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
16	NUM	@card@
baby	NOM	baby
gym	NOM	gym
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
à	PRP	à
5	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
aéro	NOM	aéro
jazz	NOM	jazz
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
à	PRP	à
14	NUM	@card@
ans	NOM	an
,	PUN	,
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
cours	NOM	cour|cours
cocktail	NOM	cocktail
.	SENT	.
cours	NOM	cour|cours
informatique	ADJ	informatique
:	PUN	:
des	PRP:det	du
cours	NOM	cour|cours
d'	PRP	de
initiation	NOM	initiation
sont	VER:pres	être
proposés	VER:pper	proposer
par	PRP	par
familles	NOM	famille
rurales	ADJ	rural
à	PRP	à
l'	DET:ART	le
annexe	ADJ	annexe
saint-jacques	NOM	saint-jacques
.	SENT	.
contact	NOM	contact
:	PUN	:
philippe	ADJ	philippe
contet	NOM	contet
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.86	NUM	@card@
.	SENT	.
76.72	NUM	@card@
.	SENT	.
88	NUM	@card@
