loto	NOM	loto
:	PUN	:
dimanche	NOM	dimanche
23	NUM	@card@
février	NOM	février
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
georges-brassens	ADJ	georges-brassens
de	PRP	de
la	DET:ART	le
mcl	NOM	mcl
.	SENT	.
concours	NOM	concours
officiels	ADJ	officiel
:	PUN	:
samedi	NOM	samedi
10	NUM	@card@
mai	NOM	mai
,	PUN	,
en	PRP	en
triplettes	NOM	triplette
75	NUM	@card@
%	SYM	%
po	NOM	po
.	SENT	.
mardi	NOM	mardi
27	NUM	@card@
mai	NOM	mai
,	PUN	,
concours	NOM	concours
des	PRP:det	du
aînés	NOM	aîné
en	PRP	en
triplettes	NOM	triplette
.	SENT	.
dimanche	NOM	dimanche
6	NUM	@card@
juillet	NOM	juillet
,	PUN	,
doublettes	NOM	doublette
50	NUM	@card@
%	SYM	%
po	NOM	po
.	SENT	.
dimanche	NOM	dimanche
3	NUM	@card@
août	NOM	août
,	PUN	,
doublettes	NOM	doublette
50	NUM	@card@
%	SYM	%
po	NOM	po
.	SENT	.
challenges	NOM	challenge
:	PUN	:
dimanche	NOM	dimanche
20	NUM	@card@
avril	NOM	avril
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
plaine	NOM	plaine
à	PRP	à
bulgnéville	NOM	bulgnéville
.	SENT	.
dimanche	NOM	dimanche
1	NUM	@card@
e	NOM	e
r	VER:subi	r
juin	NOM	juin
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
plaine	NOM	plaine
à	PRP	à
martigny	NAM	martigny
.	SENT	.
samedi	NOM	samedi
14	NUM	@card@
juin	NOM	juin
,	PUN	,
challenge	VER:pres	challenger
henri	VER:pper	henri
vaubourg	NOM	vaubourg
en	PRP	en
tête	NOM	tête
à	PRP	à
tête	NOM	tête
.	SENT	.
dimanche	NOM	dimanche
20	NUM	@card@
juillet	NOM	juillet
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
plaine	NOM	plaine
à	PRP	à
vittel	NAM	Vittel
.	SENT	.
samedi	NOM	samedi
16	NUM	@card@
août	NOM	août
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
ville	NOM	ville
de	PRP	de
contrexéville	NOM	contrexéville
en	PRP	en
tête	NOM	tête
à	PRP	à
tête	NOM	tête
.	SENT	.
samedi	NOM	samedi
27	NUM	@card@
septembre	NOM	septembre
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
plaine	NOM	plaine
à	PRP	à
contrexéville	NOM	contrexéville
.	SENT	.
samedi	NOM	samedi
11	NUM	@card@
octobre	NOM	octobre
,	PUN	,
challenge	NOM	challenge
de	PRP	de
la	DET:ART	le
boule	NOM	boule
légère	ADJ	léger
avec	PRP	avec
repas	NOM	repas
à	PRP	à
20	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
mcl	NOM	mcl
.	SENT	.
concours	NOM	concours
vacanciers	ADJ	vacancier
:	PUN	:
vendredi	NOM	vendredi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
en	PRP	en
doublette	NOM	doublette
fermée	VER:pper	fermer
:	PUN	:
23	NUM	@card@
mai	NOM	mai
;	PUN	;
6	NUM	@card@
juin	NOM	juin
;	PUN	;
4	NUM	@card@
juillet	NOM	juillet
;	PUN	;
25	NUM	@card@
juillet	NOM	juillet
;	PUN	;
8	NUM	@card@
août	NOM	août
;	PUN	;
22	NUM	@card@
août	NOM	août
.	SENT	.
assemblée	NOM	assemblée
générale	ADJ	général
,	PUN	,
le	DET:ART	le
samedi	NOM	samedi
15	NUM	@card@
novembre	NOM	novembre
à	PRP	à
17	NUM	@card@
h	ABR	heure
en	PRP	en
salle	NOM	salle
12	NUM	@card@
de	PRP	de
la	DET:ART	le
mcl	NOM	mcl
.	SENT	.
