arnaville	NOM	arnaville
:	PUN	:
mardi	NOM	mardi
(	PUN	(
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
),	NOM	),
jeudi	NOM	jeudi
(	PUN	(
14	NUM	@card@
h-	ABR	h-
16	NUM	@card@
h),	NOM	h),
vendredi	NOM	vendredi
(	PUN	(
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
-	PUN	-
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
16	NUM	@card@
h-	NOM	h-
18	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
.	SENT	.
bayonville	NOM	bayonville
:	PUN	:
mardi	NOM	mardi
(	PUN	(
17	NUM	@card@
-	PUN	-
18	NUM	@card@
h),	NOM	h),
vendredi	NOM	vendredi
(	PUN	(
18	NUM	@card@
-	PUN	-
19	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
.	SENT	.
beaumont	NOM	beaumont
:	PUN	:
mardi	NOM	mardi
et	KON	et
vendredi	NOM	vendredi
(	PUN	(
14	NUM	@card@
-	PUN	-
16	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
bouillonville	NOM	bouillonville
:	PUN	:
vendredi	NOM	vendredi
(	PUN	(
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
-	PUN	-
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
en	PRP	en
mairie	NOM	mairie
dommartin-la-chaussée	ADJ	dommartin-la-chaussée
:	PUN	:
chez	PRP	chez
denis	NOM	denis
petit	ADJ	petit
,	PUN	,
2	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
ferme	ADJ	ferme
.	SENT	.
essey-et-maizerais	VER:cond	essey-et-maizerais
:	PUN	:
au	PRP:det	au
bureau	NOM	bureau
de	PRP	de
poste	NOM	poste
et	KON	et
en	PRP	en
mairie	NOM	mairie
.	SENT	.
fey-en-haye	NOM	fey-en-haye
:	PUN	:
chez	PRP	chez
robert	NOM	robert
el	VER:subi	el
founi	VER:pper	founi
,	PUN	,
13	NUM	@card@
rue	NOM	rue
du	PRP:det	du
bois-le-prêtre	NOM	bois-le-prêtre
.	SENT	.
flirey	NOM	flirey
:	PUN	:
mardi	NOM	mardi
et	KON	et
jeudi	NOM	jeudi
(	PUN	(
16	NUM	@card@
h-	ABR	h-
19	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
et	KON	et
à	PRP	à
l'	DET:ART	le
école	NOM	école
.	SENT	.
jaulny	NOM	jaulny
:	PUN	:
mardi	NOM	mardi
et	KON	et
jeudi	NOM	jeudi
(	PUN	(
18	NUM	@card@
h-	ABR	h-
19	NUM	@card@
h),	NOM	h),
samedi	NOM	samedi
(	PUN	(
11	NUM	@card@
h-	ABR	h-
12	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
et	KON	et
chez	PRP	chez
jean-marie	NOM	jean-marie
philippe	ADJ	philippe
,	PUN	,
5	NUM	@card@
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
ancienne	ADJ	ancien
poste	NOM	poste
.	SENT	.
limey	NOM	limey
:	PUN	:
jeudi	NOM	jeudi
(	PUN	(
10	NUM	@card@
h-	ABR	h-
12	NUM	@card@
h	ABR	heure
et	KON	et
16	NUM	@card@
h-	NOM	h-
18	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
lironville	NOM	lironville
:	PUN	:
vendredi	NOM	vendredi
(	PUN	(
10	NUM	@card@
h-	ABR	h-
12	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
mamey	ADJ	mamey
:	PUN	:
lundi	NOM	lundi
matin	NOM	matin
et	KON	et
mardi	NOM	mardi
(	PUN	(
14	NUM	@card@
h-	ABR	h-
18	NUM	@card@
h)	NOM	h)
en	PRP	en
mairie	NOM	mairie
mandres-aux-quatre-tours	NOM	mandres-aux-quatre-tours
:	PUN	:
lundi	NOM	lundi
,	PUN	,
mardi	NOM	mardi
,	PUN	,
mercredi	NOM	mercredi
,	PUN	,
vendredi	NOM	vendredi
(	PUN	(
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h),	NOM	h),
jeudi	NOM	jeudi
