montbeliard	NOM	montbeliard
.	SENT	.
_	ADJ	_
mi-temps	NOM	mi-temps
0	NUM	@card@
-	PUN	-
0	NUM	@card@
;	PUN	;
146	NUM	@card@
spectateurs	NOM	spectateur
;	PUN	;
arbitrage	NOM	arbitrage
de	PRP	de
m.	ABR	m.
rebaud	NOM	rebaud
;	PUN	;
buts	NOM	but
:	PUN	:
ameyapoh	NOM	ameyapoh
(	PUN	(
58	NUM	@card@
e),	NOM	e),
de	PRP	de
carvalho	NOM	carvalho
(	PUN	(
78	NUM	@card@
e)	NOM	e)
pour	PRP	pour
sochaux	NOM	sochaux
;	PUN	;
avertissements	NOM	avertissement
:	PUN	:
zaïri	NOM	zaïri
(	PUN	(
27	NUM	@card@
e),	NOM	e),
karam	NOM	karam
(	PUN	(
38	NUM	@card@
e)	NOM	e)
à	PRP	à
sochaux	NOM	sochaux
;	PUN	;
njemane	NOM	njemane
(	PUN	(
40	NUM	@card@
e)	NOM	e)
à	PRP	à
raon	NOM	raon
l'	DET:ART	le
etape	NOM	etape
;	PUN	;
expulsion	NOM	expulsion
:	PUN	:
n'	ADV	ne
daw	NOM	daw
(	PUN	(
73	NUM	@card@
e)	NOM	e)
à	PRP	à
sochaux	NOM	sochaux
.	SENT	.
les	DET:ART	le
équipes	NOM	équipe
:	PUN	:
sochaux	ADJ	sochaux
(	PUN	(
2	NUM	@card@
)	PUN	)
:	PUN	:
daguet	NOM	daguet
-	PUN	-
raschke	NOM	raschke
,	PUN	,
haaby	NOM	haaby
,	PUN	,
tall	NOM	tall
,	PUN	,
quevedo	NOM	quevedo
-	PUN	-
holbein	NOM	holbein
(	PUN	(
puis	ADV	puis
n'	ADV	ne
daw	NOM	daw
à	PRP	à
la	DET:ART	le
46	NUM	@card@
e),	NOM	e),
tassali	NOM	tassali
,	PUN	,
karam	NOM	karam
(	PUN	(
puis	ADV	puis
ameyapoh	ADJ	ameyapoh
à	PRP	à
la	DET:ART	le
46	NUM	@card@
e)	NOM	e)
-	PUN	-
zaïri	NOM	zaïri
,	PUN	,
de	PRP	de
carvalho	NOM	carvalho
(	PUN	(
puis	ADV	puis
boumelaha	NOM	boumelaha
à	PRP	à
la	DET:ART	le
81	NUM	@card@
e)	NOM	e)
raon	NOM	raon
l'	DET:ART	le
etape	NOM	etape
:	PUN	:
jechoux	ADJ	jechoux
-	PUN	-
baret	NOM	baret
,	PUN	,
njemane	NOM	njemane
,	PUN	,
poirot	NOM	poirot
,	PUN	,
billoir	NOM	billoir
-	PUN	-
michon	NOM	michon
(	PUN	(
puis	ADV	puis
a.	ADJ	a.
benkajjane	NOM	benkajjane
à	PRP	à
la	DET:ART	le
85	NUM	@card@
e),	NOM	e),
yoro	NOM	yoro
,	PUN	,
voinson	NOM	voinson
(	PUN	(
puis	ADV	puis
h.	ADJ	h.
benkajjane	NOM	benkajjane
à	PRP	à
la	DET:ART	le
83	NUM	@card@
e),	NOM	e),
boissenin	NOM	boissenin
-	PUN	-
el	VER:simp	el
kahla	NOM	kahla
(	PUN	(
puis	ADV	puis
mangenot	ADJ	mangenot
à	PRP	à
la	DET:ART	le
70	NUM	@card@
e),	NOM	e),
violant	VER:ppre	violer
