première	NUM	premier
journée	NOM	journée
:	PUN	:
-	PUN	-
jeudi	NOM	jeudi
30	NUM	@card@
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
3	NUM	@card@
e	ADJ	e
rch	NOM	rch
-	PUN	-
chv	NOM	chv
.	SENT	.
deuxième	NUM	deuxième
journée	NOM	journée
:	PUN	:
-	PUN	-
jeudi	NOM	jeudi
6	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
3	NUM	@card@
alérions	NOM	alérion
-	PUN	-
cora	NOM	cora
verdun	ADJ	verdun
.	SENT	.
-	PUN	-
mercredi	NOM	mercredi
12	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
2	NUM	@card@
e	ADJ	e
chasseurs	NOM	chasseur
-	PUN	-
3	NUM	@card@
e	NOM	e
rhc	ADJ	rhc
.	SENT	.
-	PUN	-
jeudi	NOM	jeudi
13	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
chv	NOM	chv
-	PUN	-
rupt-en-woëvre	NOM	rupt-en-woëvre
.	SENT	.
troisième	NUM	troisième
journée	NOM	journée
:	PUN	:
-	PUN	-
mercredi	NOM	mercredi
19	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
rupt-en-woëvre	NOM	rupt-en-woëvre
-	PUN	-
2	NUM	@card@
e	ADJ	e
chasseurs	NOM	chasseur
.	SENT	.
-	PUN	-
jeudi	NOM	jeudi
20	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
chv	NOM	chv
-	PUN	-
3	NUM	@card@
alérions	NOM	alérion
.	SENT	.
-	PUN	-
jeudi	NOM	jeudi
6	NUM	@card@
mars	NOM	mars
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
3	NUM	@card@
e	NOM	e
rhc	ADJ	rhc
-	PUN	-
huntsman	NOM	huntsman
.	SENT	.
quatrième	NUM	quatrième
journée	NOM	journée
:	PUN	:
-	PUN	-
mercredi	NOM	mercredi
26	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
cora	NOM	cora
verdun	ADJ	verdun
-	PUN	-
3	NUM	@card@
e	NOM	e
rhc	ADJ	rhc
.	SENT	.
-	PUN	-
jeudi	NOM	jeudi
27	NUM	@card@
février	NOM	février
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
2	NUM	@card@
e	ADJ	e
chasseurs	NOM	chasseur
-	PUN	-
chv	NOM	chv
.	SENT	.
-	PUN	-
jeudi	NOM	jeudi
13	NUM	@card@
mars	NOM	mars
(	PUN	(
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
huntsman	NOM	huntsman
-	PUN	-
rupt-en-woëvre	NOM	rupt-en-woëvre
.	SENT	.
