ciné-foyer	NOM	ciné-foyer
:	PUN	:
vendredi	NOM	vendredi
et	KON	et
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
meurs	VER:pres	mourir
un	DET:ART	un
autre	ADJ	autre
jour	NOM	jour
»,	ADJ	»,
un	DET:ART	un
film	NOM	film
d'	PRP	de
espionnage	NOM	espionnage
avec	PRP	avec
pierre	NOM	pierre
brosman	NOM	brosman
.	SENT	.
chorale	ADJ	choral
:	PUN	:
répétition	NOM	répétition
ce	PRO:DEM	ce
jeudi	NOM	jeudi
à	PRP	à
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
gymnastique	ADJ	gymnastique
:	PUN	:
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
«	PUN:cit	«
cultur	NOM	cultur
o'	ADJ	o'
corps	NOM	corps
»	PUN:cit	»
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
ecole	NOM	ecole
de	PRP	de
musiciens	NOM	musicien
:	PUN	:
séance	NOM	séance
animée	VER:pper	animer
par	PRP	par
pierre-marie	NOM	pierre-marie
budelot	ADJ	budelot
,	PUN	,
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
.	SENT	.
club	NOM	club
:	PUN	:
réunion	NOM	réunion
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
vallée	NOM	vallée
du	PRP:det	du
salon	NOM	salon
»	PUN:cit	»
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
couyba	VER:simp	couyba
.	SENT	.
judo	NOM	judo
:	PUN	:
formation	NOM	formation
des	PRP:det	du
débutants	ADJ	débutant
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
judo	NOM	judo
.	SENT	.
sécurité	NOM	sécurité
sociale	ADJ	social
:	PUN	:
permanence	NOM	permanence
de	PRP	de
la	DET:ART	le
caisse	NOM	caisse
primaire	ADJ	primaire
d'	PRP	de
assurance	NOM	assurance
maladie	NOM	maladie
ce	PRO:DEM	ce
jeudi	NOM	jeudi
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
communauté	NOM	communauté
de	PRP	de
communes	NOM	commune
des	PRP:det	du
4	NUM	@card@
rivières	NOM	rivière
.	SENT	.
