pêcheurs	NOM	pêcheur
:	PUN	:
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
société	NOM	société
de	PRP	de
pêche	NOM	pêche
de	PRP	de
beaujeu	NOM	beaujeu
«	PUN:cit	«
la	DET:ART	le
gaule	NOM	gaule
saônoise	ADJ	saônoise
»	PUN:cit	»
aura	NOM	aura
lieu	NOM	lieu
vendredi	NOM	vendredi
31	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
de	PRP	de
beaujeu	NOM	beaujeu
,	PUN	,
suivie	VER:pper	suivre
du	PRP:det	du
verre	NOM	verre
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
.	SENT	.
syndicat	NOM	syndicat
d'	PRP	de
initiative	NOM	initiative
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
afin	KON	afin
de	PRP	de
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
le	DET:ART	le
nouveau	ADJ	nouveau
bureau	NOM	bureau
,	PUN	,
ce	PRO:DEM	ce
mardi	NOM	mardi
4	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
de	PRP	de
beaujeu	NOM	beaujeu
.	SENT	.
anciens	ADJ	ancien
combattants	NOM	combattant
:	PUN	:
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
des	PRP:det	du
anciens	ADJ	ancien
combattants	NOM	combattant
de	PRP	de
beaujeu	NOM	beaujeu
se	PRO:PER	se
tiendra	VER:futu	tenir
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
«	PUN:cit	«
ùbouj'beaujeu	NOM	ùbouj'beaujeu
»	PUN:cit	»
:	PUN	:
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
bouj'beaujeu	NOM	bouj'beaujeu
»	PUN:cit	»
aura	VER:futu	avoir
lieu	NOM	lieu
vendredi	NOM	vendredi
7	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
