dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
du	PRP:det	du
projet	NOM	projet
éducatif	ADJ	éducatif
local	ADJ	local
,	PUN	,
la	DET:ART	le
commune	NOM	commune
propose	VER:pres	proposer
aux	PRP:det	au
jeunes	ADJ	jeune
essertois	NOM	essertois
durant	PRP	durant
les	DET:ART	le
vacances	NOM	vacance
de	PRP	de
février	NOM	février
et	KON	et
de	PRP	de
pâques	NOM	pâque|pâques
,	PUN	,
les	DET:ART	le
stages	NOM	stage
suivants	ADJ	suivant
:	PUN	:
février	NOM	février
:	PUN	:
pavillon	NOM	pavillon
des	PRP:det	du
sciences	NOM	science
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
21	NUM	@card@
février	NOM	février
;	PUN	;
tir	NOM	tir
à	PRP	à
l'	DET:ART	le
arc	NOM	arc
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
du	PRP:det	du
24	NUM	@card@
au	PRP:det	au
28	NUM	@card@
février	NOM	février
;	PUN	;
escrime	NOM	escrime
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
12	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
21	NUM	@card@
février	NOM	février
.	SENT	.
pâques	NOM	pâque|pâques
:	PUN	:
escrime	NOM	escrime
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
du	PRP:det	du
16	NUM	@card@
au	PRP:det	au
18	NUM	@card@
avril	NOM	avril
;	PUN	;
pavillon	NOM	pavillon
des	PRP:det	du
sciences	NOM	science
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
8	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
du	PRP:det	du
14	NUM	@card@
au	PRP:det	au
18	NUM	@card@
avril	NOM	avril
;	PUN	;
tir	NOM	tir
à	PRP	à
l'	DET:ART	le
arc	NOM	arc
pour	PRP	pour
les	DET:ART	le
jeunes	NOM	jeune
de	PRP	de
12	NUM	@card@
à	PRP	à
16	NUM	@card@
ans	NOM	an
du	PRP:det	du
14	NUM	@card@
au	PRP:det	au
18	NUM	@card@
avril	NOM	avril
.	SENT	.
venez	VER:pres	venir
nombreux	ADJ	nombreux
découvrir	VER:infi	découvrir
ces	PRO:DEM	ce
activités	NOM	activité
,	PUN	,
quelques	PRO:IND	quelque
places	NOM	place
sont	VER:pres	être
encore	ADV	encore
disponibles	ADJ	disponible
.	SENT	.
renseignements	NOM	renseignement
et	KON	et
inscriptions	NOM	inscription
:	PUN	:
sandra	NOM	sandra
rambeau	NOM	rambeau
,	PUN	,
mairie	NOM	mairie
d'	PRP	de
essert	NOM	essert
,	PUN	,
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
21.33	NUM	@card@
.	SENT	.
20	NUM	@card@
