anteuil	NOM	anteuil
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
athose	NOM	athose
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
avilley	NAM	avilley
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
baume-les-dames	NOM	baume-les-dames
:	PUN	:
samedi	NOM	samedi
à	PRP	à
10	NUM	@card@
h	ABR	heure
(	PUN	(
hôpital	NOM	hôpital
)	PUN	)
et	KON	et
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
cour	NOM	cour
)	PUN	)
;	PUN	;
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
clerval	NOM	clerval
:	PUN	:
samedi	NOM	samedi
à	PRP	à
18	NUM	@card@
h.	ABR	h.
cusance	NOM	cusance
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
domprel	NOM	domprel
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
etalans	NOM	etalans
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
15	NUM	@card@
guyans-vennes	NOM	guyans-vennes
:	PUN	:
samedi	NOM	samedi
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
laviron	NOM	laviron
:	PUN	:
samedi	NOM	samedi
à	PRP	à
19	NUM	@card@
h.	ABR	h.
orchamps-vennes	ADJ	orchamps-vennes
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
sancey-le-grand	NOM	sancey-le-grand
:	PUN	:
dimanche	NOM	dimanche
à	PRP	à
10	NUM	@card@
h.	ABR	h.
uzelle	NOM	uzelle
:	PUN	:
samedi	NOM	samedi
à	PRP	à
20	NUM	@card@
h.	ABR	h.
