cette	PRO:DEM	ce
année	NOM	année
encore	ADV	encore
,	PUN	,
la	DET:ART	le
troupe	NOM	troupe
théâtrale	ADJ	théâtral
du	PRP:det	du
village	NOM	village
s'	PRO:PER	se
est	VER:pres	être
surpassée	VER:pper	surpasser
.	SENT	.
elle	PRO:PER	elle
joue	VER:pres	jouer
une	DET:ART	un
comédie	NOM	comédie
vaudeville	NOM	vaudeville
en	PRP	en
deux	NUM	deux
actes	NOM	acte
de	PRP	de
francis	NOM	francis
joffo	ADJ	joffo
,	PUN	,
intitulée	VER:pper	intituler
«	PUN:cit	«
vacances	NOM	vacance
de	PRP	de
rêve	NOM	rêve
»	PUN:cit	»
un	DET:ART	un
cocktail	NOM	cocktail
explosif	ADJ	explosif
,	PUN	,
magistralement	ADV	magistralement
interprété	VER:pper	interpréter
par	PRP	par
les	DET:ART	le
huit	NUM	huit
acteurs	NOM	acteur
de	PRP	de
la	DET:ART	le
troupe	NOM	troupe
,	PUN	,
dans	PRP	dans
des	PRP:det	du
décors	NOM	décor
fabriqués	VER:pper	fabriquer
avec	PRP	avec
goût	NOM	goût
par	PRP	par
les	DET:ART	le
mains	NOM	main
talentueuses	ADJ	talentueux
des	PRP:det	du
membres	NOM	membre
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
décorateurs	NOM	décorateur
.	SENT	.
deux	NUM	deux
couples	NOM	couple
louent	VER:pres	louer
une	DET:ART	un
maison	NOM	maison
sur	PRP	sur
la	DET:ART	le
côte-d'azur	NOM	côte-d'azur
.	SENT	.
malheureusement	ADV	malheureusement
,	PUN	,
un	DET:ART	un
accident	NOM	accident
perturbe	VER:pres	perturber
l'	DET:ART	le
un	NOM	un
d'	PRP	de
eux	PRO:PER	eux
,	PUN	,
l'	DET:ART	le
autre	ADJ	autre
se	PRO:PER	se
retrouvant	VER:ppre	retrouver
alors	ADV	alors
dans	PRP	dans
la	DET:ART	le
villa	NOM	villa
occupée	VER:pper	occuper
par	PRP	par
des	PRP:det	du
squatters	NOM	squatter
peu	ADV	peu
scrupuleux	ADJ	scrupuleux
.	SENT	.
des	PRP:det	du
séances	NOM	séance
seront	VER:futu	être
données	VER:pper	donner
aujourd'hui	ADV	aujourd'hui
et	KON	et
samedi	NOM	samedi
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
la	DET:ART	le
grande	ADJ	grand
salle	NOM	salle
du	PRP:det	du
lycée	NOM	lycée
technologique	ADJ	technologique
;	PUN	;
vendredi	NOM	vendredi
7	NUM	@card@
et	KON	et
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
de	PRP	de
cinéma	NOM	cinéma
de	PRP	de
charmoille	NOM	charmoille
;	PUN	;
samedi	NOM	samedi
15	NUM	@card@
février	NOM	février
et	KON	et
samedi	NOM	samedi
22	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
foyer	NOM	foyer
de	PRP	de
maîche	NOM	maîche
.	SENT	.
