pendant	PRP	pendant
les	DET:ART	le
vacances	NOM	vacance
de	PRP	de
février	NOM	février
,	PUN	,
du	PRP:det	du
24	NUM	@card@
au	PRP:det	au
28	NUM	@card@
février	NOM	février
et	KON	et
du	PRP:det	du
3	NUM	@card@
au	PRP:det	au
7	NUM	@card@
mars	NOM	mars
,	PUN	,
la	DET:ART	le
mjc	NOM	mjc
des	PRP:det	du
hauts-de-beauregard	NOM	hauts-de-beauregard
propose	VER:pres	proposer
diverses	ADJ	divers
activités	NOM	activité
:	PUN	:
-	PUN	-
une	DET:ART	un
exposition	NOM	exposition
la	DET:ART	le
science	NOM	science
au	PRP:det	au
quotidien	NOM	quotidien
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
entrée	NOM	entrée
libre	ADJ	libre
et	KON	et
gratuite	ADJ	gratuit
pour	KON	pour
petits	ADJ	petit
et	KON	et
grands	ADJ	grand
.	SENT	.
journées	NOM	journée
luge	NOM	luge
:	PUN	:
départ	NOM	départ
9	NUM	@card@
h	ABR	heure
,	PUN	,
retour	NOM	retour
18	NUM	@card@
h	ABR	heure
,	PUN	,
repas	NOM	repas
tiré	VER:pper	tirer
du	PRP:det	du
sac	NOM	sac
(	PUN	(
fourni	VER:pper	fournir
par	PRP	par
les	DET:ART	le
parents	NOM	parent|parents
).	ABR	).
pour	PRP	pour
les	DET:ART	le
5	NUM	@card@
à	PRP	à
7	NUM	@card@
ans	NOM	an
,	PUN	,
lundi	NOM	lundi
24	NUM	@card@
jeudi	NOM	jeudi
27	NUM	@card@
février	NOM	février
et	KON	et
mardi	NOM	mardi
4	NUM	@card@
mars	NOM	mars
;	PUN	;
pour	PRP	pour
les	DET:ART	le
8	NUM	@card@
à	PRP	à
10	NUM	@card@
ans	NOM	an
,	PUN	,
mardi	NOM	mardi
25	NUM	@card@
vendredi	NOM	vendredi
28	NUM	@card@
février	NOM	février
et	KON	et
mercredi	NOM	mercredi
5	NUM	@card@
mars	NOM	mars
;	PUN	;
pour	PRP	pour
les	DET:ART	le
11	NUM	@card@
à	PRP	à
14	NUM	@card@
ans	NOM	an
mercredi	NOM	mercredi
26	NUM	@card@
lundi	NOM	lundi
3	NUM	@card@
et	KON	et
jeudi	NOM	jeudi
6	NUM	@card@
mars	NOM	mars
.	SENT	.
-	PUN	-
stage	NOM	stage
aéromodélisme	NOM	aéromodélisme
pour	PRP	pour
les	DET:ART	le
7	NUM	@card@
à	PRP	à
11	NUM	@card@
ans	NOM	an
,	PUN	,
animé	VER:pper	animer
par	PRP	par
«	PUN:cit	«
sabri	NOM	sabri
»	PUN:cit	»
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
(	PUN	(
le	DET:ART	le
repas	NOM	repas
de	PRP	de
midi	NOM	midi
est	VER:pres	être
fourni	VER:pper	fournir
par	PRP	par
la	DET:ART	le
mjc	NOM	mjc
).	ABR	).
ce	PRO:DEM	ce
stage	NOM	stage
s'	PRO:PER	se
adresse	VER:pres	adresser
aux	PRP:det	au
aéromodélistes	NOM	aéromodéliste
débutants	ADJ	débutant
et	KON	et
permet	VER:pres	permettre
de	PRP	de
réaliser	VER:infi	réaliser
des	PRP:det	du
avions	NOM	avion
qui	PRO:REL	qui
volent	VER:pres	voler
.	SENT	.
tous	PRO:IND	tout
les	DET:ART	le
après-midi	NOM	après-midi
sont	VER:pres	être
consacrés	VER:pper	consacrer
à	PRP	à
la	DET:ART	le
pratique	NOM	pratique
du	PRP:det	du
sport	NOM	sport
.	SENT	.
lundi	NOM	lundi
24	NUM	@card@
piscine	NOM	piscine
;	PUN	;
mardi	NOM	mardi
25	NUM	@card@
sports	NOM	sport
collectifs	ADJ	collectif
;	PUN	;
mercredi	NOM	mercredi
26	NUM	@card@
cinéma	NOM	cinéma
;	PUN	;
jeudi	NOM	jeudi
27	NUM	@card@
jeux	NOM	jeu
en	PRP	en
réseau	NOM	réseau
;	PUN	;
vendredi	NOM	vendredi
28	NUM	@card@
essai	NOM	essai
des	PRP:det	du
maquettes	NOM	maquette
volantes	ADJ	volant
.	SENT	.
participation	NOM	participation
carte	VER:pres	carter
adhérent	ADJ	adhérent
mjc	NOM	mjc
obligatoire	ADJ	obligatoire
6,10	NUM	@card@
euros	NOM	euro
.	SENT	.
journée	NOM	journée
neige	NOM	neige
:	PUN	:
transport	NOM	transport
aller	NOM	aller
et	KON	et
retour	NOM	retour
prêt	ADJ	prêt
de	PRP	de
luge	NOM	luge
encadrement	NOM	encadrement
10	NUM	@card@
euros	NOM	euro
.	SENT	.
stage	NOM	stage
aéromodélisme	NOM	aéromodélisme
:	PUN	:
accueil	NOM	accueil
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h,	NOM	h,
repas	NOM	repas
de	PRP	de
midi	NOM	midi
,	PUN	,
fournitures	NOM	fourniture
éducatives	ADJ	éducatif
,	PUN	,
encadrement	NOM	encadrement
45	NUM	@card@
euros	NOM	euro
.	SENT	.
exposition	NOM	exposition
science	NOM	science
au	PRP:det	au
quotidien	NOM	quotidien
:	PUN	:
gratuit	ADJ	gratuit
.	SENT	.
renseignements	NOM	renseignement
et	KON	et
inscriptions	NOM	inscription
:	PUN	:
mjc	NOM	mjc
beauregard	NOM	beauregard
,	PUN	,
place	NOM	place
maurice	NAM	Maurice
ravel	NOM	ravel
,	PUN	,
nancy	NOM	nancy
,	PUN	,
téléphone	NOM	téléphone
03.83	NUM	@card@
.	SENT	.
96.39	NUM	@card@
.	SENT	.
70.	PRO	@ord@
,	PUN	,
télécopie	NOM	télécopie
03.83	NUM	@card@
.	SENT	.
96.82	NUM	@card@
.	SENT	.
10	NUM	@card@
