espinho	NOM	espinho
.	SENT	.
_	ADJ	_
mi-temps	NOM	mi-temps
:	PUN	:
15	NUM	@card@
-	PUN	-
11	NUM	@card@
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
.	SENT	.
dolejs	NOM	dolejs
et	KON	et
kohout	NOM	kohout
(	PUN	(
tch	NOM	tch
).	VER:ppre	).
spectateurs	NOM	spectateur
:	PUN	:
4.000	NUM	@card@
environ	NOM	environ
.	SENT	.
marqueurs	NOM	marqueur
:	PUN	:
france	NOM	france
:	PUN	:
fernandez	VER:pres	fernandez
(	PUN	(
3	NUM	@card@
),	NOM	),
burdet	NOM	burdet
(	PUN	(
2	NUM	@card@
),	ABR	),
b.	ABR	b.
gille	NOM	gille
(	PUN	(
6	NUM	@card@
),	NOM	),
kempé	ADJ	kempé
(	PUN	(
1	NUM	@card@
),	ABR	),
g.	ABR	g.
anquetil	NOM	anquetil
(	PUN	(
2	NUM	@card@
),	NOM	),
girault	ADJ	girault
(	PUN	(
3	NUM	@card@
),	NOM	),
houlet	ADJ	houlet
(	PUN	(
5	NUM	@card@
dont	PRO:REL	dont
4	NUM	@card@
pen	NOM	pen
.	SENT	.
),	ADJ	),
richardson	NOM	richardson
(	PUN	(
1	NUM	@card@
),	NOM	),
abati	VER:pper	abati
(	PUN	(
3	NUM	@card@
),	NOM	),
cazal	ADJ	cazal
(	PUN	(
4	NUM	@card@
).	ABR	).
suède	NOM	suède
:	PUN	:
wislander	NOM	wislander
(	PUN	(
1	NUM	@card@
),	NOM	),
arrhenlus	ADJ	arrhenlus
(	PUN	(
3	NUM	@card@
),	NOM	),
frandesjo	ADJ	frandesjo
(	PUN	(
1	NUM	@card@
),	NOM	),
pettersson	NOM	pettersson
(	PUN	(
8	NUM	@card@
dont	PRO:REL	dont
4	NUM	@card@
pen	NOM	pen
.	SENT	.
),	NOM	),
lovgren	ADJ	lovgren
(	PUN	(
4	NUM	@card@
),	ABR	),
k.	ABR	k.
andersson	NOM	andersson
(	PUN	(
1	NUM	@card@
),	NOM	),
olsson	NOM	olsson
(	PUN	(
1	NUM	@card@
),	ABR	),
m.	ABR	m.
andersson	NOM	andersson
(	PUN	(
2	NUM	@card@
),	NOM	),
larsson	NOM	larsson
(	PUN	(
2	NUM	@card@
),	NOM	),
vranjes	ADJ	vranjes
(	PUN	(
1	NUM	@card@
).	ABR	).
