mlle	VER:cond	mlle
yvonne	VER:pres	yvonne
le	DET:ART	le
fourn	NOM	fourn
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
été	VER:pper	être
directrice	ADJ	directeur
des	PRP:det	du
services	NOM	service
économiques	ADJ	économique
du	PRP:det	du
centre	NOM	centre
hospitalier	ADJ	hospitalier
de	PRP	de
verdun	ADJ	verdun
jusqu'au	NOM	jusqu'au
31	NUM	@card@
décembre	NOM	décembre
1975	NUM	@card@
vient	VER:pres	venir
de	PRP	de
décéder	VER:infi	décéder
.	SENT	.
née	VER:pper	naître
à	PRP	à
brest	NOM	brest
le	DET:ART	le
2	NUM	@card@
avril	NOM	avril
1914	NUM	@card@
elle	PRO:PER	elle
est	VER:pres	être
arrivée	VER:pper	arriver
avec	PRP	avec
ses	DET:POS	son
parents	NOM	parent|parents
dans	PRP	dans
le	DET:ART	le
verdunois	NOM	verdunois
en	PRP	en
1922	NUM	@card@
à	PRP	à
haudiomont	VER:futu	haudiomont
d'	PRP	de
abord	NOM	abord
,	PUN	,
puis	ADV	puis
à	PRP	à
douaumont	VER:futu	douaumont
et	KON	et
à	PRP	à
verdun	NOM	verdun
.	SENT	.
après	PRP	après
quelques	PRO:IND	quelque
mois	NOM	moi|mois
en	PRP	en
qualité	NOM	qualité
de	PRP	de
secrétaire	NOM	secrétaire
dans	PRP	dans
une	DET:ART	un
entreprise	NOM	entreprise
locale	ADJ	local
,	PUN	,
elle	PRO:PER	elle
entre	VER:subp	entrer
aux	PRP:det	au
hospices	NOM	hospice
civils	ADJ	civil
de	PRP	de
verdun	NOM	verdun
le	DET:ART	le
22	NUM	@card@
septembre	NOM	septembre
1931	NUM	@card@
en	PRP	en
qualité	NOM	qualité
de	PRP	de
dactylo-comptable	NOM	dactylo-comptable
.	SENT	.
le	DET:ART	le
13	NUM	@card@
juin	NOM	juin
1940	NUM	@card@
elle	PRO:PER	elle
prend	VER:pres	prendre
en	PRP	en
charge	NOM	charge
l'	DET:ART	le
évacuation	NOM	évacuation
des	PRP:det	du
malades	NOM	malade
et	KON	et
pensionnaires	NOM	pensionnaire
des	PRP:det	du
hospices	NOM	hospice
civils	ADJ	civil
de	PRP	de
verdun	NOM	verdun
vers	PRP	vers
rochefort	NOM	rochefort
.	SENT	.
elle	PRO:PER	elle
est	VER:pres	être
officiellement	ADV	officiellement
nommée	VER:pper	nommer
économe	ADJ	économe
le	DET:ART	le
8	NUM	@card@
avril	NOM	avril
1949	NUM	@card@
après	PRP	après
concours	NOM	concours
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
assumé	VER:pper	assumer
,	PUN	,
à	PRP	à
trois	NUM	trois
reprises	NOM	reprise
,	PUN	,
l'	DET:ART	le
intérim	NOM	intérim
du	PRP:det	du
directeur	NOM	directeur
de	PRP	de
l'	DET:ART	le
établissement	NOM	établissement
,	PUN	,
ainsi	KON	ainsi
que	KON	que
du	PRP:det	du
centre	NOM	centre
sanitaire	ADJ	sanitaire
d'	PRP	de
argonne	NOM	argonne
.	SENT	.
elle	PRO:PER	elle
avait	VER:impf	avoir
pris	VER:pper	prendre
sa	DET:POS	son
retraite	NOM	retraite
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
janvier	NOM	janvier
1976	NUM	@card@
en	PRP	en
qualité	NOM	qualité
de	PRP	de
directeur	NOM	directeur
adjoint	VER:pper	adjoindre
et	KON	et
s'	PRO:PER	se
était	VER:impf	être
installée	VER:pper	installer
à	PRP	à
glorieux	ADJ	glorieux
.	SENT	.
trésorière	NOM	trésorière
de	PRP	de
l'	DET:ART	le
amicale	ADJ	amical
du	PRP:det	du
personnel	NOM	personnel
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
organisé	VER:pper	organiser
pendant	PRP	pendant
de	PRP	de
nombreuses	ADJ	nombreux
années	NOM	année
le	DET:ART	le
voyage	NOM	voyage
annuel	ADJ	annuel
des	PRP:det	du
retraités	NOM	retraité
.	SENT	.
elle	PRO:PER	elle
s'	PRO:PER	se
est	VER:pres	être
consacrée	VER:pper	consacrer
à	PRP	à
l'	DET:ART	le
atelier	NOM	atelier
d'	PRP	de
ergothérapie	NOM	ergothérapie
de	PRP	de
la	DET:ART	le
maison	NOM	maison
de	PRP	de
retraite	NOM	retraite
sainte-catherine	ADJ	sainte-catherine
.	SENT	.
nombreux	ADJ	nombreux
sont	VER:pres	être
les	DET:ART	le
enfants	NOM	enfant
qui	PRO:REL	qui
,	PUN	,
en	PRP	en
plus	ADV	plus
de	PRP	de
ses	DET:POS	son
neveux	NOM	neveu
et	KON	et
nièces	NOM	nièce
,	PUN	,
l'	PRO:PER	la|le
appelaient	VER:impf	appeler
marraine	NOM	marraine
alors	ADV	alors
que	KON	que
les	DET:ART	le
ouvriers	NOM	ouvrier
des	PRP:det	du
services	NOM	service
généraux	ADJ	général
se	PRO:PER	se
souviennent	VER:pres	souvenir
de	PRP	de
«	PUN:cit	«
la	DET:ART	le
patronne	NOM	patron|patronne
».	VER:pper	».
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
sa	DET:POS	son
carrière	NOM	carrière
exceptionnelle	ADJ	exceptionnel
,	PUN	,
elle	PRO:PER	elle
a	VER:pres	avoir
marqué	VER:pper	marquer
de	PRP	de
sa	DET:POS	son
personnalité	NOM	personnalité
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
de	PRP	de
verdun	NOM	verdun
par	PRP	par
son	DET:POS	son
courage	NOM	courage
,	PUN	,
sa	DET:POS	son
volonté	NOM	volonté
,	PUN	,
son	DET:POS	son
dévouement	NOM	dévouement
et	KON	et
sa	DET:POS	son
générosité	NOM	générosité
.	SENT	.
ses	DET:POS	son
obsèques	NOM	obsèques
seront	VER:futu	être
célébrées	VER:pper	célébrer
demain	ADV	demain
samedi	NOM	samedi
à	PRP	à
10	NUM	@card@
h	ABR	heure
à	PRP	à
l'	DET:ART	le
église	NOM	église
saint-amand	ADJ	saint-amand
de	PRP	de
glorieux	ADJ	glorieux
.	SENT	.
nos	DET:POS	notre
