asbb	NOM	asbb
football	NOM	football
,	PUN	,
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
:	PUN	:
les	DET:ART	le
13	NUM	@card@
ans	NOM	an
(	PUN	(
avec	PRP	avec
etain	NOM	etain
)	PUN	)
au	PRP:det	au
stade	NOM	stade
de	PRP	de
mangiennes	NOM	mangiennes
contre	PRP	contre
verdun-belleville	NOM	verdun-belleville
,	PUN	,
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
les	DET:ART	le
18	NUM	@card@
ans	NOM	an
(	PUN	(
avec	PRP	avec
etain	NOM	etain
)	PUN	)
au	PRP:det	au
stade	NOM	stade
d'	PRP	de
etain	NOM	etain
contre	PRP	contre
vaucouleurs	NOM	vaucouleurs
,	PUN	,
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
dimanche	NOM	dimanche
:	PUN	:
seniors	NOM	senior
a	VER:pres	avoir
,	PUN	,
déplacement	NOM	déplacement
à	PRP	à
longuyon	NOM	longuyon
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
seniors	NOM	senior
b	ADJ	b
,	PUN	,
reçoit	VER:pres	recevoir
saint-mihiel	NOM	saint-mihiel
c	VER:subi	c
à	PRP	à
15	NUM	@card@
h	ABR	heure
au	PRP:det	au
stade	NOM	stade
brabois	NOM	brabois
.	SENT	.
asjpb	NOM	asjpb
basket-ball	NOM	basket-ball
,	PUN	,
samedi	NOM	samedi
:	PUN	:
mini-poussins	NOM	mini-poussins
,	PUN	,
déplacement	NOM	déplacement
à	PRP	à
j	NOM	j
	ADJ	
uf-homécourt	ADJ	uf-homécourt
match	NOM	match
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
poussins	NOM	poussin
1	NUM	@card@
déplacement	NOM	déplacement
à	PRP	à
j	NOM	j
	ADJ	
uf-homécourt	ADJ	uf-homécourt
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
poussins	NOM	poussin
2	NUM	@card@
reçoit	VER:pres	recevoir
gorcy	ADJ	gorcy
match	NOM	match
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
benjamins	NOM	benjamin
,	PUN	,
reçoit	VER:pres	recevoir
j	NOM	j
	ADJ	
uf-homécourt	ADJ	uf-homécourt
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
minimes	ADJ	minime
filles	NOM	fille
,	PUN	,
déplacement	NOM	déplacement
au	PRP:det	au
sluc	NOM	sluc
nancy	NOM	nancy
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
(	PUN	(
départ	NOM	départ
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
;	PUN	;
cadettes	ADJ	cadet
,	PUN	,
déplacement	NOM	déplacement
à	PRP	à
valleroy	NOM	valleroy
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
cadets	ADJ	cadet
,	PUN	,
déplacement	NOM	déplacement
à	PRP	à
auboué	NOM	auboué
match	NOM	match
à	PRP	à
15	NUM	@card@
h	ABR	heure
;	PUN	;
seniors	NOM	senior
b	ADJ	b
,	PUN	,
déplacement	NOM	déplacement
à	PRP	à
herserange	NOM	herserange
match	NOM	match
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
ping-pong	NOM	ping-pong
fjep	NOM	fjep
:	PUN	:
à	PRP	à
15	NUM	@card@
h	ABR	heure
au	PRP:det	au
gymnase	NOM	gymnase
,	PUN	,
bouligny	VER:pper	bouligny
1	NUM	@card@
reçoit	VER:pres	recevoir
spincourt	NOM	spincourt
2	NUM	@card@
et	KON	et
bouligny	NAM	bouligny
2	NUM	@card@
reçoit	VER:pres	recevoir
damvillers	NOM	damvillers
2	NUM	@card@
;	PUN	;
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
bouligny	NAM	bouligny
3	NUM	@card@
se	PRO:PER	se
déplace	VER:pres	déplacer
à	PRP	à
spincourt	NOM	spincourt
3	NUM	@card@
