xertigny	NAM	xertigny
:	PUN	:
_	ADJ	_
ce	PRO:DEM	ce
vendredi	NOM	vendredi
,	PUN	,
14	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
de	PRP	de
l'	DET:ART	le
ancienne	ADJ	ancien
mairie	NOM	mairie
,	PUN	,
belote	NOM	belote
,	PUN	,
avec	PRP	avec
les	DET:ART	le
seniors	NOM	senior
du	PRP:det	du
priolet	NOM	priolet
.	SENT	.
_	ADJ	_
samedi	NOM	samedi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
,	PUN	,
école	NOM	école
du	PRP:det	du
centre	NOM	centre
,	PUN	,
soirée	NOM	soirée
jeux	NOM	jeu
de	PRP	de
l'	DET:ART	le
alex	NOM	alex
.	SENT	.
thaon-les-vosges	NOM	thaon-les-vosges
:	PUN	:
ce	PRO:DEM	ce
vendredi	NOM	vendredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
samedi	NOM	samedi
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
22	NUM	@card@
h	ABR	heure
et	KON	et
dimanche	NOM	dimanche
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
à	PRP	à
la	DET:ART	le
rotonde	NOM	rotonde
,	PUN	,
salon	NOM	salon
du	PRP:det	du
mariage	NOM	mariage
.	SENT	.
le	DET:ART	le
thillot	NOM	thillot
:	PUN	:
ce	PRO:DEM	ce
vendredi	NOM	vendredi
,	PUN	,
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
,	PUN	,
visite	NOM	visite
guidée	VER:pper	guider
du	PRP:det	du
site	NOM	site
minier	ADJ	minier
et	KON	et
de	PRP	de
la	DET:ART	le
maison	NOM	maison
des	PRP:det	du
hautes	ADJ	haut
mynes	NOM	mynes
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
25.03	NUM	@card@
.	SENT	.
33	NUM	@card@
uriménil	NOM	uriménil
:	PUN	:
samedi	NOM	samedi
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
polyvalente	ADJ	polyvalent
,	PUN	,
loto	NOM	loto
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
association	NOM	association
sportive	ADJ	sportif
et	KON	et
culturelle	ADJ	culturel
.	SENT	.
le	DET:ART	le
menil	NOM	menil
:	PUN	:
samedi	NOM	samedi
,	PUN	,
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
familiale	ADJ	familial
,	PUN	,
théâtre	NOM	théâtre
,	PUN	,
avec	PRP	avec
la	DET:ART	le
troupe	NOM	troupe
locale	ADJ	local
.	SENT	.
epinal	NOM	epinal
:	PUN	:
samedi	NOM	samedi
,	PUN	,
20	NUM	@card@
h	ABR	heure
,	PUN	,
halle	NOM	halle
des	PRP:det	du
sports	NOM	sport
,	PUN	,
grand	ADJ	grand
prix	NOM	prix
de	PRP	de
france	NOM	france
de	PRP	de
rock	NOM	rock
acrobatique	ADJ	acrobatique
,	PUN	,
avec	PRP	avec
le	DET:ART	le
dance	NOM	dance
center	ADJ	center
de	PRP	de
golgey	NOM	golgey
.	SENT	.
darney	NOM	darney
:	PUN	:
_	ADJ	_
samedi	NOM	samedi
,	PUN	,
20	NUM	@card@
h	ABR	heure
45	NUM	@card@
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
«	PUN:cit	«
riz	NOM	riz
et	KON	et
jeunesse	NOM	jeunesse
»,	ADJ	»,
comédie	NOM	comédie
,	PUN	,
avec	PRP	avec
la	DET:ART	le
troupe	NOM	troupe
théâtrale	ADJ	théâtral
de	PRP	de
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
.	SENT	.
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
,	PUN	,
tournoi	NOM	tournoi
éliminatoire	ADJ	éliminatoire
de	PRP	de
tarot	NOM	tarot
comptant	VER:ppre	compter
pour	PRP	pour
la	DET:ART	le
finale	NOM	finale
départementale	ADJ	départemental
,	PUN	,
avec	PRP	avec
les	DET:ART	le
anciens	NOM	ancien
d'	PRP	de
afn	NOM	afn
.	SENT	.
remiremont	VER:futu	remiremont
:	PUN	:
_	ADJ	_
samedi	NOM	samedi
,	PUN	,
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
palais	NOM	palais
des	PRP:det	du
congrès	NOM	congrès
,	PUN	,
la	DET:ART	le
fête	NOM	fête
des	PRP:det	du
chansons	NOM	chanson
,	PUN	,
avec	PRP	avec
la	DET:ART	le
troupe	NOM	troupe
«	PUN:cit	«
tourdion	NOM	tourdion
plus	ADV	plus
»,	ADJ	»,
au	PRP:det	au
profit	NOM	profit
de	PRP	de
la	DET:ART	le
croix-rouge	NOM	croix-rouge
,	PUN	,
avec	PRP	avec
différents	ADJ	différent
comités	NOM	comité
d'	PRP	de
entreprises	NOM	entreprise
locaux	ADJ	local
.	SENT	.
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
au	PRP:det	au
plan	NOM	plan
d'	PRP	de
eau	NOM	eau
,	PUN	,
observations	NOM	observation
ornithologiques	ADJ	ornithologique
,	PUN	,
avec	PRP	avec
«	PUN:cit	«
oiseaux-nature	NOM	oiseaux-nature
»	PUN:cit	»
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
,	PUN	,
espace	NOM	espace
du	PRP:det	du
volontaire	NOM	volontaire
,	PUN	,
loto	NOM	loto
,	PUN	,
avec	PRP	avec
le	DET:ART	le
kiwanis	NOM	kiwanis
club	NOM	club
.	SENT	.
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
17	NUM	@card@
h	ABR	heure
,	PUN	,
centre	NOM	centre
culturel	ADJ	culturel
,	PUN	,
concert	NOM	concert
de	PRP	de
l'	DET:ART	le
ensemble	NOM	ensemble
forlane	NOM	forlane
,	PUN	,
avec	PRP	avec
musique	NOM	musique
à	PRP	à
remiremont	VER:futu	remiremont
.	SENT	.
saint-amé	NOM	saint-amé
:	PUN	:
samedi	NOM	samedi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
des	PRP:det	du
corbelières	NOM	corbelières
,	PUN	,
loto	NOM	loto
,	PUN	,
avec	PRP	avec
l'	DET:ART	le
union	NOM	union
sportive	ADJ	sportif
.	SENT	.
dommartin-lès-remiremont	NOM	dommartin-lès-remiremont
:	PUN	:
samedi	NOM	samedi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
mille-club	NOM	mille-club
,	PUN	,
belote	NOM	belote
,	PUN	,
avec	PRP	avec
la	DET:ART	le
mjc	NOM	mjc
.	SENT	.
saulxures-sur-moselotte	NOM	saulxures-sur-moselotte
:	PUN	:
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
base	NOM	base
de	PRP	de
loisirs	NOM	loisir
de	PRP	de
la	DET:ART	le
moselotte	ADJ	moselotte
,	PUN	,
brocante	VER:pres	brocanter
toutes	PRO:IND	tout
pêches	NOM	pêche
.	SENT	.
_	ADJ	_
dimanche	NOM	dimanche
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
,	PUN	,
aux	PRP:det	au
salles	NOM	salle
paroissiales	ADJ	paroissial
,	PUN	,
loto	NOM	loto
,	PUN	,
avec	PRP	avec
la	DET:ART	le
classe	NOM	classe
2005	NUM	@card@
