lure	NOM	lure
:	PUN	:
en	PRP	en
prénational	NOM	prénational
,	PUN	,
les	DET:ART	le
lurons	NOM	luron
se	PRO:PER	se
rendront	VER:futu	rendre
à	PRP	à
besançon	NOM	besançon
ce	PRO:DEM	ce
samedi	NOM	samedi
soir	NOM	soir
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
y	PRO:PER	y
rencontrer	VER:infi	rencontrer
le	DET:ART	le
hbc	NOM	hbc
.	SENT	.
même	ADJ	même
destination	NOM	destination
,	PUN	,
mêmes	ADJ	même
horaires	NOM	horaire
pour	PRP	pour
les	DET:ART	le
filles	NOM	fille
qui	PRO:REL	qui
affronteront	VER:futu	affronter
l'	DET:ART	le
esb	NOM	esb
.	SENT	.
dimanche	NOM	dimanche
,	PUN	,
les	DET:ART	le
séniors	ADJ	séniors
filles	NOM	fille
(	PUN	(
2	NUM	@card@
)	PUN	)
accueilleront	VER:futu	accueillir
à	PRP	à
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
bavans	ADJ	bavans
;	PUN	;
à	PRP	à
la	DET:ART	le
même	ADJ	même
heure	NOM	heure
,	PUN	,
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
se	PRO:PER	se
rendent	VER:pres	rendre
à	PRP	à
besançon	NOM	besançon
;	PUN	;
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
reçoivent	VER:pres	recevoir
l'	DET:ART	le
esb	NOM	esb
et	KON	et
enfin	ADV	enfin
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
les	DET:ART	le
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
accueillent	VER:pres	accueillir
villersexel	NOM	villersexel
.	SENT	.
melisey	NOM	melisey
-	PUN	-
saint-barthélemy	NOM	saint-barthélemy
:	PUN	:
samedi	NOM	samedi
,	PUN	,
l'	DET:ART	le
école	NOM	école
de	PRP	de
hand	ADJ	hand
joue	NOM	joue
à	PRP	à
luxeuil	NOM	luxeuil
à	PRP	à
14	NUM	@card@
h.	ABR	h.
les	DET:ART	le
moins	ADV	moins
de	PRP	de
15	NUM	@card@
ans	NOM	an
,	PUN	,
garçons	NOM	garçon
reçoivent	VER:pres	recevoir
belfort	NOM	belfort
à	PRP	à
14	NUM	@card@
h.	ABR	h.
les	DET:ART	le
moins	ADV	moins
de	PRP	de
16	NUM	@card@
ans	NOM	an
filles	NOM	fille
jouent	VER:pres	jouer
à	PRP	à
beex	NOM	beex
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
jouent	VER:pres	jouer
à	PRP	à
maîche	NOM	maîche
à	PRP	à
15	NUM	@card@
h	ABR	heure
45	NUM	@card@
les	DET:ART	le
poussines	NOM	poussine
jouent	VER:pres	jouer
à	PRP	à
villersexel	NOM	villersexel
à	PRP	à
17	NUM	@card@
h.	ABR	h.
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
filles	NOM	fille
(	PUN	(
a	VER:pres	avoir
)	PUN	)
jouent	VER:pres	jouer
à	PRP	à
pontarlier	NOM	pontarlier
à	PRP	à
16	NUM	@card@
h.	ABR	h.
les	DET:ART	le
moins	ADV	moins
de	PRP	de
13	NUM	@card@
ans	NOM	an
filles	NOM	fille
(	PUN	(
b	VER:pper	b
)	PUN	)
jouent	VER:pres	jouer
à	PRP	à
val	NOM	val
d'	PRP	de
oye	NOM	oye
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
seniors	NOM	senior
garçons	NOM	garçon
(	PUN	(
a	VER:pres	avoir
)	PUN	)
jouent	VER:pres	jouer
à	PRP	à
chaussin	NOM	chaussin
à	PRP	à
19	NUM	@card@
h.	ABR	h.
dimanche	NOM	dimanche
,	PUN	,
les	DET:ART	le
seniors	NOM	senior
garçons	NOM	garçon
b	VER:subi	b
se	PRO:PER	se
déplacent	VER:pres	déplacer
à	PRP	à
beex	NOM	beex
à	PRP	à
10	NUM	@card@
h.	ABR	h.
les	DET:ART	le
seniors	NOM	senior
filles	NOM	fille
reçoivent	VER:pres	recevoir
fougerolles	NOM	fougerolles
à	PRP	à
14	NUM	@card@
h.	ABR	h.
les	DET:ART	le
moins	ADV	moins
de	PRP	de
18	NUM	@card@
ans	NOM	an
garçons	NOM	garçon
reçoivent	VER:pres	recevoir
rougemont	VER:futu	rougemont
à	PRP	à
16	NUM	@card@
h.	ABR	h.
