en	PRP	en
ce	PRO:DEM	ce
début	NOM	début
d'	PRP	de
année	NOM	année
,	PUN	,
le	DET:ART	le
maire	NOM	maire
,	PUN	,
paul	NOM	paul
etienne	ADJ	etienne
,	PUN	,
a	VER:pres	avoir
souhaité	VER:pper	souhaiter
la	DET:ART	le
bienvenue	NOM	bienvenu|bienvenue
aux	PRP:det	au
douze	NUM	douze
nouveaux	ADJ	nouveau
foyers	NOM	foyer
qui	PRO:REL	qui
ont	VER:pres	avoir
choisi	VER:pper	choisir
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
de	PRP	de
s'	PRO:PER	se
installer	VER:infi	installer
au	PRP:det	au
village	NOM	village
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
signe	NOM	signe
que	KON	que
ces	PRO:DEM	ce
nouveaux	ADJ	nouveau
«	PUN:cit	«
ville-sur-illonais	NOM	ville-sur-illonais
»	PUN:cit	»
l'	PRO:PER	la|le
ont	VER:pres	avoir
trouvé	VER:pper	trouver
agréable	ADJ	agréable
au	PRP:det	au
point	NOM	point
d'	PRP	de
y	PRO:PER	y
poser	VER:infi	poser
leurs	DET:POS	leur
valises	NOM	valise
.	SENT	.
et	KON	et
le	DET:ART	le
maire	NOM	maire
d'	PRP	de
espérer	VER:infi	espérer
qu'	KON	que
ils	PRO:PER	il
s'	PRO:PER	se
y	PRO:PER	y
plairont	VER:futu	plaire
au	PRP:det	au
point	NOM	point
d'	PRP	de
y	PRO:PER	y
vivre	VER:infi	vivre
de	PRP	de
nombreuses	ADJ	nombreux
années	NOM	année
.	SENT	.
comme	ADV	comme
cadeau	NOM	cadeau
de	PRP	de
bienvenue	NOM	bienvenu|bienvenue
,	PUN	,
m.	ABR	m.
etienne	NOM	etienne
leur	PRO:PER	lui
a	VER:pres	avoir
remis	VER:pper	remettre
l'	DET:ART	le
ouvrage	NOM	ouvrage
de	PRP	de
m.	ABR	m.
morizot	NOM	morizot
«	PUN:cit	«
a	VER:pres	avoir
la	DET:ART	le
découverte	NOM	découverte
de	PRP	de
ville-sur-illon	NOM	ville-sur-illon
»	PUN:cit	»
ce	PRO:DEM	ce
qui	PRO:REL	qui
permettra	VER:futu	permettre
à	PRP	à
chacun	PRO:IND	chacun
de	PRP	de
ces	PRO:DEM	ce
foyers	NOM	foyer
de	PRP	de
se	PRO:PER	se
familiariser	VER:infi	familiariser
rapidement	ADV	rapidement
avec	PRP	avec
le	DET:ART	le
passé	NOM	passé
de	PRP	de
ce	PRO:DEM	ce
bourg	NOM	bourg
célèbre	ADJ	célèbre
.	SENT	.
bonne	ADJ	bon
intégration	NOM	intégration
à	PRP	à
didier	ADJ	didier
formet	NOM	formet
et	KON	et
coralie	NOM	coralie
robin	ADJ	robin
au	PRP:det	au
lotissement	NOM	lotissement
,	PUN	,
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
pecqueux	NOM	pecqueux
,	PUN	,
rue	NOM	rue
de	PRP	de
mirecourt	NOM	mirecourt
,	PUN	,
johan	ADJ	johan
renaud	NOM	renaud
et	KON	et
sa	DET:POS	son
compagne	NOM	compagne
,	PUN	,
rue	NOM	rue
des	PRP:det	du
fossés	NOM	fossé
,	PUN	,
mme	VER:simp	mme
millot	NOM	millot
et	KON	et
ses	DET:POS	son
filles	NOM	fille
,	PUN	,
rue	NOM	rue
général	ADJ	général
ferry	NOM	ferry
,	PUN	,
jérôme	NOM	jérôme
thouvenin	NOM	thouvenin
et	KON	et
a.	VER:simp	a.
maire	NOM	maire
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
2	NUM	@card@
e	ADJ	e
db	NOM	db
,	PUN	,
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
sébastien	NOM	sébastien
marchand	ADJ	marchand
,	PUN	,
rue	NOM	rue
de	PRP	de
la	DET:ART	le
2	NUM	@card@
e	ADJ	e
db	NOM	db
,	PUN	,
virginie	NOM	virginie
demange	NOM	demange
et	KON	et
son	DET:POS	son
compagnon	NOM	compagnon
,	PUN	,
rue	NOM	rue
du	PRP:det	du
général	ADJ	général
ferry	NOM	ferry
,	PUN	,
jean-philippe	NOM	jean-philippe
colin	NOM	colin
et	KON	et
sarah	NOM	sarah
pernin	ADJ	pernin
,	PUN	,
rue	NOM	rue
du	PRP:det	du
général	ADJ	général
ferry	NOM	ferry
,	PUN	,
david	NOM	david
villière	ADJ	villière
et	KON	et
sabrine	VER:subp	sabrine
clément	ADJ	clément
,	PUN	,
route	NOM	route
de	PRP	de
la	DET:ART	le
vierge	NOM	vierge
,	PUN	,
m.	ABR	m.
et	KON	et
mme	VER:subi	mme
christophe	ADJ	christophe
pecqueux	NOM	pecqueux
,	PUN	,
rue	NOM	rue
de	PRP	de
mirecourt	NOM	mirecourt
,	PUN	,
david	NOM	david
mourey	NOM	mourey
et	KON	et
hélène	NOM	hélène
bodez	NOM	bodez
,	PUN	,
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
etang	NOM	etang
,	PUN	,
virginie	NOM	virginie
martin	NOM	martin
et	KON	et
son	DET:POS	son
compagnon	NOM	compagnon
,	PUN	,
rue	NOM	rue
de	PRP	de
dommartin	NOM	dommartin
.	SENT	.
