toute	PRO:IND	tout
activation	NOM	activation
du	PRP:det	du
programme	NOM	programme
de	PRP	de
retraitement	NOM	retraitement
de	PRP	de
plutonium	NOM	plutonium
à	PRP	à
des	PRP:det	du
fins	NOM	fin
militaires	ADJ	militaire
par	PRP	par
la	DET:ART	le
corée	NOM	corée
du	PRP:det	du
nord	NOM	nord
serait	VER:cond	être
une	DET:ART	un
provocation	NOM	provocation
,	PUN	,
a	VER:pres	avoir
indiqué	VER:pper	indiquer
hier	ADV	hier
la	DET:ART	le
maison	NOM	maison
blanche	ADJ	blanc
.	SENT	.
cette	PRO:DEM	ce
déclaration	NOM	déclaration
fait	VER:pres	faire
suite	NOM	suite
à	PRP	à
des	PRP:det	du
informations	NOM	information
selon	PRP	selon
lesquelles	PRO:REL	lequel
des	PRP:det	du
satellites	NOM	satellite
espion	NOM	espion
américains	NOM	américain
auraient	VER:cond	avoir
repéré	VER:pper	repérer
un	DET:ART	un
ballet	NOM	ballet
de	PRP	de
camions	NOM	camion
autour	ADV	autour
de	PRP	de
la	DET:ART	le
centrale	ADJ	central
nucléaire	NOM	nucléaire
de	PRP	de
yongbyon	NOM	yongbyon
.	SENT	.
selon	PRP	selon
des	PRP:det	du
experts	NOM	expert
,	PUN	,
pyongyang	NOM	pyongyang
pourrait	VER:cond	pouvoir
,	PUN	,
soit	KON	soit
essayer	VER:infi	essayer|essayer
de	PRP	de
dissimuler	VER:infi	dissimuler
le	DET:ART	le
combustible	NOM	combustible
de	PRP	de
cette	PRO:DEM	ce
centrale	NOM	centrale
,	PUN	,
soit	KON	soit
le	PRO:PER	le
transporter	VER:infi	transporter
dans	PRP	dans
une	DET:ART	un
usine	NOM	usine
de	PRP	de
retraitement	NOM	retraitement
pour	PRP	pour
le	PRO:PER	le
convertir	VER:infi	convertir
en	PRP	en
plutonium	NOM	plutonium
à	PRP	à
usage	NOM	usage
militaire	ADJ	militaire
.	SENT	.
