/	PUN	/
classement	NOM	classement
:	PUN	:
laval	ADJ	laval
:	PUN	:
12	NUM	@card@
e,	ABR	e,
27	NUM	@card@
pts	NOM	pts
;	PUN	;
asnl	NOM	asnl
:	PUN	:
20	NUM	@card@
e,	ABR	e,
21	NUM	@card@
pts	NOM	pts
.	SENT	.
buts	NOM	but
:	PUN	:
laval	ADJ	laval
:	PUN	:
21	NUM	@card@
-	PUN	-
23	NUM	@card@
(	PUN	(
15	NUM	@card@
-	PUN	-
7	NUM	@card@
à	PRP	à
domicile	NOM	domicile
)	PUN	)
;	PUN	;
asnl	NOM	asnl
:	PUN	:
17	NUM	@card@
-	PUN	-
27	NUM	@card@
(	PUN	(
4	NUM	@card@
-	PUN	-
17	NUM	@card@
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
).	ABR	).
-	PUN	-
victoires	NOM	victoire
:	PUN	:
laval	ADJ	laval
:	PUN	:
7	NUM	@card@
(	PUN	(
toutes	PRO:IND	tout
à	PRP	à
domicile	NOM	domicile
)	PUN	)
;	PUN	;
asnl	NOM	asnl
:	PUN	:
5	NUM	@card@
(	PUN	(
aucune	PRO:IND	aucun
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
).	ABR	).
-	PUN	-
nuls	ADJ	nul
:	PUN	:
laval	ADJ	laval
:	PUN	:
6	NUM	@card@
(	PUN	(
3	NUM	@card@
à	PRP	à
domicile	NOM	domicile
)	PUN	)
;	PUN	;
asnl	NOM	asnl
:	PUN	:
6	NUM	@card@
(	PUN	(
2	NUM	@card@
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
).	ABR	).
-	PUN	-
défaites	VER:pper	défaire
:	PUN	:
laval	ADJ	laval
:	PUN	:
8	NUM	@card@
(	PUN	(
une	NUM	un
à	PRP	à
domicile	NOM	domicile
)	PUN	)
;	PUN	;
asnl	NOM	asnl
:	PUN	:
10	NUM	@card@
(	PUN	(
8	NUM	@card@
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
).	VER:futu	).
meilleurs	ADJ	meilleur
buteurs	NOM	buteur
:	PUN	:
laval	ADJ	laval
:	PUN	:
mauricio	NOM	mauricio
6	NUM	@card@
;	PUN	;
asnl	NOM	asnl
:	PUN	:
dufresne	NOM	dufresne
4	NUM	@card@
absents	NOM	absent
:	PUN	:
-	PUN	-
laval	ADJ	laval
:	PUN	:
ba	VER:pper	ba
(	PUN	(
suspendu	VER:pper	suspendre
)	PUN	)
;	PUN	;
mace	NOM	mace
(	PUN	(
blessé	NOM	blessé
).	ADJ	).
-	PUN	-
asnl	NOM	asnl
:	PUN	:
biancalani	VER:pper	biancalani
,	PUN	,
moreau	ADJ	moreau
,	PUN	,
rodrigues	NOM	rodrigues
,	PUN	,
curbelo	NOM	curbelo
,	PUN	,
wiart	NOM	wiart
,	PUN	,
rigole	NOM	rigole
(	PUN	(
blessés	VER:pper	blesser
)	PUN	)
;	PUN	;
bockhorni	VER:pper	bockhorni
,	PUN	,
s.	ABR	s.
camara	NOM	camara
,	PUN	,
diakhate	NOM	diakhate
,	PUN	,
sekour	NOM	sekour
,	PUN	,
assous	NOM	assous
;	PUN	;
taouil	NOM	taouil
,	PUN	,
brison	NOM	brison
(	PUN	(
choix	NOM	choix
de	PRP	de
l'	DET:ART	le
entraîneur	NOM	entraîneur
).	ABR	).
face	NOM	face
à	PRP	à
face	NOM	face
à	PRP	à
laval	NOM	laval
en	PRP	en
championnat	NOM	championnat
:	PUN	:
17	NUM	@card@
dont	PRO:REL	dont
6	NUM	@card@
en	PRP	en
d	NOM	d
2	NUM	@card@
;	PUN	;
pour	PRP	pour
laval	NOM	laval
:	PUN	:
6	NUM	@card@
victoires	NOM	victoire
,	PUN	,
8	NUM	@card@
nuls	ADJ	nul
,	PUN	,
3	NUM	@card@
défaites	NOM	défaite
;	PUN	;
buts	NOM	but
:	PUN	:
18	NUM	@card@
-	PUN	-
15	NUM	@card@
le	DET:ART	le
dernier	ADJ	dernier
:	PUN	:
2	NUM	@card@
février	NOM	février
2002	NUM	@card@
-	PUN	-
laval	ADJ	laval
bat	VER:pres	battre
asnl	NOM	asnl
1	NUM	@card@
-	PUN	-
0	NUM	@card@
le	DET:ART	le
but	NOM	but
:	PUN	:
mauricio	NOM	mauricio
(	PUN	(
80	NUM	@card@
').	ABR	').
arbitre	NOM	arbitre
m.	VER:subi	m.
bonnin	ADJ	bonnin
;	PUN	;
2.726	NUM	@card@
spectateurs	NOM	spectateur
;	PUN	;
aucun	PRO:IND	aucun
avertissement	NOM	avertissement
.	SENT	.
asnl	NOM	asnl
:	PUN	:
laquait	VER:impf	laquer
,	PUN	,
beda	NOM	beda
,	PUN	,
hognon	NOM	hognon
,	PUN	,
lécluse	ADJ	lécluse
,	PUN	,
fischer	NOM	fischer
,	PUN	,
ramond	NOM	ramond
,	PUN	,
zerka	NOM	zerka
puis	ADV	puis
moracchini	VER:pper	moracchini
(	PUN	(
65	NUM	@card@
'),	NOM	'),
bockhorni	VER:pper	bockhorni
puis	ADV	puis
dufresne	NOM	dufresne
(	PUN	(
82	NUM	@card@
'),	NOM	'),
nicaise	NOM	nicaise
puis	ADV	puis
taouil	NOM	taouil
(	PUN	(
74	NUM	@card@
'),	NOM	'),
rigole	NOM	rigole
,	PUN	,
fouret	ADJ	fouret
.	SENT	.
le	DET:ART	le
match	NOM	match
aller	VER:infi	aller
:	PUN	:
asnl	NOM	asnl
bat	VER:pres	battre
laval	NOM	laval
2	NUM	@card@
-	PUN	-
1	NUM	@card@
la	DET:ART	le
prochaine	ADJ	prochain
journée	NOM	journée
:	PUN	:
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
:	PUN	:
laval	ADJ	laval
va	VER:pres	aller
à	PRP	à
châteauroux	NOM	châteauroux
;	PUN	;
asnl	NOM	asnl
reçoit	VER:pres	recevoir
clermont	NOM	clermont
.	SENT	.
