sa	DET:POS	son
voiture	NOM	voiture
zigzaguait	VER:impf	zigzaguer
dangereusement	ADV	dangereusement
jeudi	NOM	jeudi
après-midi	NOM	après-midi
rue	VER:pres	ruer
saint-georges	NOM	saint-georges
à	PRP	à
nancy	NOM	nancy
,	PUN	,
sur	PRP	sur
les	DET:ART	le
voies	NOM	voie
réservées	VER:pper	réserver
au	PRP:det	au
tram	NOM	tram
.	SENT	.
il	PRO:PER	il
avait	VER:impf	avoir
percuté	VER:pper	percuter
un	DET:ART	un
trottoir	NOM	trottoir
puis	ADV	puis
tenté	VER:pper	tenter
de	PRP	de
dépasser	VER:infi	dépasser
une	DET:ART	un
rame	NOM	rame
.	SENT	.
les	DET:ART	le
crs	NOM	crs
ont	VER:pres	avoir
interpellé	VER:pper	interpeller
le	DET:ART	le
conducteur	NOM	conducteur
et	KON	et
l'	PRO:PER	la|le
ont	VER:pres	avoir
placé	VER:pper	placer
en	PRP	en
garde	NOM	garde
à	PRP	à
vue	NOM	vue
.	SENT	.
au	PRP:det	au
moment	NOM	moment
du	PRP:det	du
contrôle	NOM	contrôle
,	PUN	,
alors	ADV	alors
qu'	KON	que
il	PRO:PER	il
se	PRO:PER	se
rendait	VER:impf	rendre
à	PRP	à
un	DET:ART	un
entretien	NOM	entretien
d'	PRP	de
embauche	NOM	embauche
,	PUN	,
il	PRO:PER	il
affichait	VER:impf	afficher
un	DET:ART	un
taux	NOM	tau|taux
de	PRP	de
2,7	NUM	@card@
grammes	NOM	gramme
d'	PRP	de
alcool	NOM	alcool
par	PRP	par
litre	NOM	litre
de	PRP	de
sang	NOM	sang
.	SENT	.
or	KON	or
cet	PRO:DEM	ce
infirmier	NOM	infirmier
,	PUN	,
âgé	ADJ	âgé
de	PRP	de
47	NUM	@card@
ans	NOM	an
,	PUN	,
et	KON	et
originaire	ADJ	originaire
de	PRP	de
jarménil	NOM	jarménil
,	PUN	,
était	VER:impf	être
sous	PRP	sous
le	DET:ART	le
coup	NOM	coup
d'	PRP	de
une	DET:ART	un
précédente	ADJ	précédent
condamnation	NOM	condamnation
pour	PRP	pour
conduite	NOM	conduite
en	PRP	en
état	NOM	état
alcoolique	ADJ	alcoolique
.	SENT	.
il	PRO:PER	il
bénéficiait	VER:impf	bénéficier
d'	PRP	de
un	DET:ART	un
permis	NOM	permis
aménagé	VER:pper	aménager
.	SENT	.
il	PRO:PER	il
a	VER:pres	avoir
déclaré	VER:pper	déclarer
qu'	KON	que
il	PRO:PER	il
avait	VER:impf	avoir
actuellement	ADV	actuellement
quelques	PRO:IND	quelque
difficultés	NOM	difficulté
personnelles	ADJ	personnel
.	SENT	.
en	PRP	en
état	NOM	état
de	PRP	de
récidive	NOM	récidive
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
été	VER:pper	être
placé	VER:pper	placer
hier	ADV	hier
en	PRP	en
détention	NOM	détention
provisoire	ADJ	provisoire
en	PRP	en
attendant	VER:ppre	attendre
une	DET:ART	un
probable	ADJ	probable
comparution	NOM	comparution
immédiate	ADJ	immédiat
lundi	NOM	lundi
.	SENT	.
