après	PRP	après
l'	DET:ART	le
approbation	NOM	approbation
du	PRP:det	du
ps	NOM	ps
de	PRP	de
la	DET:ART	le
réunion	NOM	réunion
de	PRP	de
décembre	NOM	décembre
2002	NUM	@card@
les	DET:ART	le
élus	NOM	élu
communautaires	ADJ	communautaire
ont	VER:pres	avoir
travaillé	VER:pper	travailler
sur	PRP	sur
les	DET:ART	le
sujets	NOM	sujet
ci-dessous	ADV	ci-dessous
.	SENT	.
a	VER:pres	avoir
l'	DET:ART	le
unanimité	NOM	unanimité
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
décidé	VER:pper	décider
:	PUN	:
a	VER:pres	avoir
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
,	PUN	,
emmanuel	ADJ	emmanuel
badot	NOM	badot
est	VER:pres	être
embauché	VER:pper	embaucher
comme	ADV	comme
agent	NOM	agent
administratif	ADJ	administratif
pour	PRP	pour
le	DET:ART	le
tri	NOM	tri
sélectif	ADJ	sélectif
.	SENT	.
il	PRO:PER	il
sera	VER:futu	être
chargé	VER:pper	charger
de	PRP	de
la	DET:ART	le
communication	NOM	communication
du	PRP:det	du
tri-sélectif	NOM	tri-sélectif
ainsi	KON	ainsi
que	KON	que
du	PRP:det	du
gardiennage	NOM	gardiennage
de	PRP	de
quatre	NUM	quatre
déchetteries	NOM	déchetteries
relais	NOM	relais
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
.	SENT	.
en	PRP	en
outre	ADV	outre
,	PUN	,
il	PRO:PER	il
sera	VER:futu	être
mis	VER:pper	mettre
à	PRP	à
la	DET:ART	le
disposition	NOM	disposition
du	PRP:det	du
siomca	NOM	siomca
d'	PRP	de
audeux	NOM	audeux
pour	PRP	pour
une	DET:ART	un
période	NOM	période
de	PRP	de
trois	NUM	trois
ans	NOM	an
à	PRP	à
compter	VER:infi	compter
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
2002	NUM	@card@
suivant	PRP	suivant
une	DET:ART	un
convention	NOM	convention
établie	VER:pper	établir
avec	PRP	avec
le	DET:ART	le
siomca	NOM	siomca
.	SENT	.
quatre	NUM	quatre
postes	NOM	poste|postes
d'	PRP	de
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
sont	VER:pres	être
prévus	VER:pper	prévoir
pour	PRP	pour
les	DET:ART	le
déchetteries	NOM	déchetteries
relais	NOM	relais
à	PRP	à
raison	NOM	raison
de	PRP	de
