besançon	NOM	besançon
les	DET:ART	le
4	NUM	@card@
5	ABR	@card@
6	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
la	DET:ART	le
dernière	ADJ	dernier
bande	NOM	bande
»	PUN:cit	»
de	PRP	de
samuel	ADJ	samuel
beckett	NOM	beckett
,	PUN	,
compagnie	NOM	compagnie
bacchus	NOM	bacchus
,	PUN	,
avec	PRP	avec
j.	ABR	j.
pétrement	NOM	pétrement
,	PUN	,
en	PRP	en
collaboration	NOM	collaboration
avec	PRP	avec
le	DET:ART	le
nouveau	ADJ	nouveau
théâtre	NOM	théâtre
théâtre	NOM	théâtre
bacchus	NOM	bacchus
03.81	NUM	@card@
.	SENT	.
82.22	NUM	@card@
.	SENT	.
48	NUM	@card@
les	DET:ART	le
4	NUM	@card@
6	ABR	@card@
7	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
les	DET:ART	le
5	NUM	@card@
et	KON	et
8	NUM	@card@
février/19	ABR	février/19
h	ABR	heure
«	PUN:cit	«
la	DET:ART	le
dernière	ADJ	dernier
bande	NOM	bande
»	PUN:cit	»
mise	VER:pper	mettre
en	PRP	en
scène	NOM	scène
:	PUN	:
denis	NOM	denis
marleau	NOM	marleau
,	PUN	,
par	PRP	par
le	DET:ART	le
théâtre	NOM	théâtre
ubu	ADJ	ubu
,	PUN	,
montréal	ADJ	montréal
théâtre	NOM	théâtre
de	PRP	de
l'	DET:ART	le
espace	NOM	espace
01.81	NUM	@card@
.	SENT	.
51.13	NUM	@card@
.	SENT	.
13	NUM	@card@
le	DET:ART	le
11	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
sexe	NOM	sexe
,	PUN	,
magouilles	NOM	magouille
et	KON	et
culture	NOM	culture
générale	ADJ	général
»	PUN:cit	»
avec	PRP	avec
laurent	VER:pres	laurer
baffie	NOM	baffie
théâtre	NOM	théâtre
tarifs	NOM	tarif
:	PUN	:
de	PRP	de
30	NUM	@card@
à	PRP	à
38	NUM	@card@
	ABR	
03.81	NUM	@card@
.	SENT	.
81.00	NUM	@card@
.	SENT	.
21	NUM	@card@
le	DET:ART	le
14	NUM	@card@
février/20	ABR	février/20
h	ABR	heure
«	PUN:cit	«
la	DET:ART	le
jalousie	NOM	jalousie
»	PUN:cit	»
pièce	NOM	pièce
de	PRP	de
sacha	NOM	sacha
guitry	NOM	guitry
,	PUN	,
mise	VER:pper	mettre
en	PRP	en
scène	NOM	scène
par	PRP	par
bernard	NOM	bernard
murat	NOM	murat
.	SENT	.
avec	PRP	avec
michel	ADJ	michel
piccoli	NOM	piccoli
,	PUN	,
nathalie	NOM	nathalie
roussel	ADJ	roussel
,	PUN	,
jean-pierre	NOM	jean-pierre
michaël	NAM	michaël
.	SENT	.
opéra-théâtre	NOM	opéra-théâtre
03.81	NUM	@card@
.	SENT	.
87.81	NUM	@card@
.	SENT	.
97	NUM	@card@
bethoncourt	NOM	bethoncourt
le	DET:ART	le
11	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
contes	NOM	conte
«	PUN:cit	«
a	VER:pres	avoir
la	DET:ART	le
courte	ADJ	court
échelle	NOM	échelle
»	PUN:cit	»
petites	ADJ	petit
histoires	NOM	histoire
pour	PRP	pour
finir	VER:infi	finir
de	PRP	de
grandir	VER:infi	grandir
.	SENT	.
11	NUM	@card@
,	NOM	,
tarif	NOM	tarif
réduit	VER:pper	réduire
10	NUM	@card@
,	NOM	,
jeunes	ADJ	jeune
6,40	NUM	@card@
	NOM	
arche	NOM	arche
03.81	NUM	@card@
.	SENT	.
97.35	NUM	@card@
.	SENT	.
12	NUM	@card@
le	DET:ART	le
7	NUM	@card@
février/20	ABR	février/20
h	ABR	heure
«	PUN:cit	«
mauvaise	ADJ	mauvais
herbe	NOM	herbe
»	PUN:cit	»
théâtre	NOM	théâtre
et	KON	et
marionnettes	NOM	marionnette
tout	ADV	tout
public	ADJ	public
dès	PRP	dès
9	NUM	@card@
ans	NOM	an
11	NUM	@card@
,	NOM	,
tarif	NOM	tarif
réduit	VER:pper	réduire
10	NUM	@card@
,	NOM	,
jeunes	ADJ	jeune
6,40	NUM	@card@
	NOM	
arche	NOM	arche
03.81	NUM	@card@
.	SENT	.
97.35	NUM	@card@
.	SENT	.
12	NUM	@card@
montbéliard	NOM	montbéliard
le	DET:ART	le
6	NUM	@card@
février/19	NOM	février/19
h	ABR	heure
30	ABR	@card@
le	DET:ART	le
7	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
le	DET:ART	le
dernier	ADJ	dernier
jour	NOM	jour
d'	PRP	de
un	NOM	un
condamné	VER:pper	condamner
»	PUN:cit	»
de	PRP	de
victor	NOM	victor
hugo	ADJ	hugo
14	NUM	@card@
,	NOM	,
tarif	NOM	tarif
réduit	VER:pper	réduire
10	NUM	@card@
	NOM	
palot	NOM	palot
0.805	NUM	@card@
.	SENT	.
710.700	NUM	@card@
.	SENT	.
sochaux	NOM	sochaux
le	DET:ART	le
10	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
la	DET:ART	le
jalousie	NOM	jalousie
»	PUN:cit	»
de	PRP	de
sacha	NOM	sacha
guitry	NOM	guitry
30	NUM	@card@
	NOM	
mals	ADJ	mal
03.81	NUM	@card@
.	SENT	.
94.16	NUM	@card@
.	SENT	.
62	NUM	@card@
villers-le-lac	NOM	villers-le-lac
le	DET:ART	le
14	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
je	PRO:PER	je
suis	VER:pres	suivre|être
votre	DET:POS	votre
idole	NOM	idole
,	PUN	,
le	DET:ART	le
best	NOM	best
of	ADJ	of
»	PUN:cit	»
spectacle	NOM	spectacle
de	PRP	de
sylvie	NOM	sylvie
joly	ADJ	joly
