audincourt	ADJ	audincourt
jusqu'au	NOM	jusqu'au
8	NUM	@card@
février	NOM	février
mardi/14	NOM	mardi/14
h	ABR	heure
-	PUN	-
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
mercredi/9	NOM	mercredi/9
h-12	NOM	h-12
h	ABR	heure
et	KON	et
14	NUM	@card@
h-18	NOM	h-18
h.	VER:subi	h.
jeudi	NOM	jeudi
,	PUN	,
vendredi/14	ABR	vendredi/14
h-18	ABR	h-18
h.	ABR	h.
samedi/9	ABR	samedi/9
h	ABR	heure
30	NUM	@card@
-	PUN	-
16	NUM	@card@
h	ABR	heure
le	DET:ART	le
sénégal	ADJ	sénégal
photos	NOM	photo
et	KON	et
artisanat	NOM	artisanat
bibliothèque	NOM	bibliothèque
du	PRP:det	du
14	NUM	@card@
février	NOM	février
au	PRP:det	au
2	NUM	@card@
mars	NOM	mars
mardi/14	NOM	mardi/14
h-18	ABR	h-18
h	ABR	heure
30	NUM	@card@
mercredi/9	NOM	mercredi/9
h-12	NOM	h-12
h	ABR	heure
et	KON	et
14	NUM	@card@
h-18	NOM	h-18
h.	VER:subi	h.
jeudi	NOM	jeudi
,	PUN	,
vendredi/14	ABR	vendredi/14
h-18	ABR	h-18
h.	ABR	h.
samedi/9	ABR	samedi/9
h	ABR	heure
30	NUM	@card@
-	PUN	-
16	NUM	@card@
h	ABR	heure
helfiger	VER:infi	helfiger
bibliothèque	NOM	bibliothèque
03.81	NUM	@card@
.	SENT	.
34.16	NUM	@card@
.	SENT	.
24	NUM	@card@
besançon	NOM	besançon
le	DET:ART	le
2	NUM	@card@
février	NOM	février
«	PUN:cit	«
plantu	ADJ	plantu
,	PUN	,
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
»	PUN:cit	»
dessins	NOM	dessin
de	PRP	de
presse	NOM	presse
fjt	ADJ	fjt
les	DET:ART	le
oiseaux	NOM	oiseau
48	NUM	@card@
rue	NOM	rue
des	PRP:det	du
cras	NOM	cras
03.81	NUM	@card@
.	SENT	.
40.32	NUM	@card@
.	SENT	.
00	NUM	@card@
jusqu'au	NOM	jusqu'au
16	NUM	@card@
février/13	ABR	février/13
h	ABR	heure
30	NUM	@card@
-	PUN	-
18	NUM	@card@
h	ABR	heure
(	PUN	(
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi	NOM	vendredi
)	PUN	)
;	PUN	;
15	NUM	@card@
h-18	NOM	h-18
h	ABR	heure
(	PUN	(
samedi	NOM	samedi
et	KON	et
dimanche	NOM	dimanche
)	PUN	)
«	PUN:cit	«
alliages	NOM	alliage
»	PUN:cit	»
entrée	NOM	entrée
libre	ADJ	libre
.	SENT	.
classes	NOM	classe
et	KON	et
groupes	NOM	groupe
sur	PRP	sur
rendez-vous	NOM	rendez-vous
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
65.71	NUM	@card@
.	SENT	.
28	NUM	@card@
iufm	NOM	iufm
de	PRP	de
franche-comté	NOM	franche-comté
fort	ADJ	fort
griffon	NOM	griffon
bethoncourt	ADJ	bethoncourt
jusqu'au	NOM	jusqu'au
8	NUM	@card@
février	NOM	février
mardi	NOM	mardi
,	PUN	,
jeudi/14	ABR	jeudi/14
h-18	ABR	h-18
h.	ABR	h.
mercredi/9	ABR	mercredi/9
h-17	ABR	h-17
h	ABR	heure
30	NUM	@card@
vendredi/9	NOM	vendredi/9
h-12	NOM	h-12
h	ABR	heure
et	KON	et
15	NUM	@card@
h-18	NOM	h-18
h.	VER:subi	h.
samedi/10	ADJ	samedi/10
h-12	NOM	h-12
h	ABR	heure
et	KON	et
13	NUM	@card@
h-16	NOM	h-16
h	ABR	heure
30	NUM	@card@
léopold	NOM	léopold
sédar	ADJ	sédar
senghor	ADJ	senghor
bibliothèque	NOM	bibliothèque
le	DET:ART	le
16	NUM	@card@
février/9	NOM	février/9
h-18	ABR	h-18
h	ABR	heure
salon	NOM	salon
du	PRP:det	du
collectionneur	NOM	collectionneur
exposition	NOM	exposition
sur	PRP	sur
les	DET:ART	le
pompiers	NOM	pompier
.	SENT	.
soldats	NOM	soldat
de	PRP	de
plomb	NOM	plomb
,	PUN	,
fèves	NOM	fève
,	PUN	,
bagues	NOM	bague|bagues
de	PRP	de
cigares	NOM	cigare
,	PUN	,
monnaies	NOM	monnaie
...	PUN	...
organisé	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
association	NOM	association
philatélique	ADJ	philatélique
entrée	NOM	entrée
1,50	NUM	@card@
	NOM	
arche	NOM	arche
03.81	NUM	@card@
.	SENT	.
90.23	NUM	@card@
.	SENT	.
52	ABR	@card@
grand-charmont	VER:futu	grand-charmont
jusqu'au	NOM	jusqu'au
7	NUM	@card@
février	NOM	février
«	PUN:cit	«
les	DET:ART	le
monstres	NOM	monstre
»	PUN:cit	»
bibliothèque	NOM	bibliothèque
du	PRP:det	du
centre	NOM	centre
culturel	ADJ	culturel
03.81	NUM	@card@
.	SENT	.
95.39	NUM	@card@
.	SENT	.
65	NUM	@card@
maîche	NOM	maîche
jusqu'au	NOM	jusqu'au
5	NUM	@card@
mars/14	ABR	mars/14
h-18	ABR	h-18
h	ABR	heure
30	NUM	@card@
(	PUN	(
mardi	NOM	mardi
)	PUN	)
;	PUN	;
10	NUM	@card@
h-12	NOM	h-12
h	ABR	heure
-	PUN	-
14	NUM	@card@
h-18	NOM	h-18
h	ABR	heure
(	PUN	(
mercredi	NOM	mercredi
)	PUN	)
;	PUN	;
14	NUM	@card@
h-18	NOM	h-18
h	ABR	heure
(	PUN	(
vendredi	NOM	vendredi
)	PUN	)
;	PUN	;
10	NUM	@card@
h-12	NOM	h-12
h	ABR	heure
-	PUN	-
14	NUM	@card@
h-17	NOM	h-17
h	ABR	heure
(	PUN	(
samedi	NOM	samedi
)	PUN	)
«	PUN:cit	«
histoire	NOM	histoire
d'	PRP	de
images	NOM	image
»	PUN:cit	»
promenade	NOM	promenade
dans	PRP	dans
l'	DET:ART	le
illustration	NOM	illustration
destinée	VER:pper	destiner
à	PRP	à
la	DET:ART	le
jeunesse	NOM	jeunesse
d'	PRP	de
hier	NOM	hier
et	KON	et
d'	PRP	de
aujourd'hui	ADV	aujourd'hui
.	SENT	.
exposition	NOM	exposition
muséographique	ADJ	muséographique
et	KON	et
livresque	ADJ	livresque
en	PRP	en
partenariat	NOM	partenariat
avec	PRP	avec
les	DET:ART	le
musées	NOM	musée
de	PRP	de
baume-les-dames	NOM	baume-les-dames
.	SENT	.
bibliothèque	NOM	bibliothèque
municipale	ADJ	municipal
château	NOM	château
du	PRP:det	du
désert	NOM	désert
03.81	NUM	@card@
.	SENT	.
64.18	NUM	@card@
.	SENT	.
61	NUM	@card@
montbéliard	NOM	montbéliard
le	DET:ART	le
2	NUM	@card@
février/10	NOM	février/10
h-20	ABR	h-20
h	ABR	heure
forum	NOM	forum
des	PRP:det	du
sports	NOM	sport
mécaniques	ADJ	mécanique
et	KON	et
des	PRP:det	du
loisirs	NOM	loisir
halle	NOM	halle
polyvalente	ADJ	polyvalent
03.81	NUM	@card@
.	SENT	.
35.40	NUM	@card@
.	SENT	.
68	NUM	@card@
jusqu'au	NOM	jusqu'au
23	NUM	@card@
février	NOM	février
du	PRP:det	du
mardi	NOM	mardi
au	PRP:det	au
samedi/14	ADJ	samedi/14
h-18	NOM	h-18
h	ABR	heure
dimanche/15	ABR	dimanche/15
h-18	ABR	h-18
h	ABR	heure
rainier	NOM	rainier
lericolais	VER:impf	lericolais
centre	NOM	centre
régional	ADJ	régional
d'	PRP	de
art	NOM	art
contemporain	ADJ	contemporain
03.81	NUM	@card@
.	SENT	.
94.43	NUM	@card@
.	SENT	.
58	NUM	@card@
jusqu'au	NOM	jusqu'au
28	NUM	@card@
février	NOM	février
du	PRP:det	du
lundi	NOM	lundi
au	PRP:det	au
vendredi/9	NOM	vendredi/9
h-12	NOM	h-12
h	ABR	heure
et	KON	et
14	NUM	@card@
h-18	NOM	h-18
h	ABR	heure
samedi	NOM	samedi
et	KON	et
dimanche/14	NOM	dimanche/14
h-18	ABR	h-18
h	ABR	heure
projet	NOM	projet
d'	PRP	de
agglomération	NOM	agglomération
scot	ADJ	scot
développement	NOM	développement
de	PRP	de
la	DET:ART	le
micro-région	NOM	micro-région
pour	PRP	pour
les	DET:ART	le
vingt	NUM	vingt
prochaines	ADJ	prochain
années	NOM	année
espace	NOM	espace
galilée	ADJ	galilée
03.81	NUM	@card@
.	SENT	.
91.46	NUM	@card@
.	SENT	.
83	NUM	@card@
jusqu'au	NOM	jusqu'au
31	NUM	@card@
mars	NOM	mars
(	PUN	(
sous	PRP	sous
réserve	NOM	réserve
)	PUN	)
cité	NOM	cité
citoyenneté	NOM	citoyenneté
hall	NOM	hall
de	PRP	de
la	DET:ART	le
communauté	NOM	communauté
d'	PRP	de
agglomération	NOM	agglomération
03.81	NUM	@card@
.	SENT	.
91.46	NUM	@card@
.	SENT	.
83	NUM	@card@
jusqu'au	NOM	jusqu'au
15	NUM	@card@
février	NOM	février
mardi	NOM	mardi
,	PUN	,
