du	PRP:det	du
château	NOM	château
de	PRP	de
la	DET:ART	le
star	NOM	star
academy	ADJ	academy
à	PRP	à
micropolis	NOM	micropolis
,	PUN	,
en	PRO:PER	en
passant	VER:ppre	passer
par	PRP	par
l'	DET:ART	le
olympia	NOM	olympia
,	PUN	,
jean-pascal	NOM	jean-pascal
n'	ADV	ne
arrête	VER:pres	arrêter
pas	ADV	pas
.	SENT	.
le	DET:ART	le
chanteur-agitateur	NOM	chanteur-agitateur
,	PUN	,
qui	PRO:REL	qui
s'	PRO:PER	se
essaie	VER:pres	essayer
aussi	ADV	aussi
à	PRP	à
la	DET:ART	le
comédie	NOM	comédie
et	KON	et
à	PRP	à
l'	DET:ART	le
animation	NOM	animation
sur	PRP	sur
les	DET:ART	le
plateaux	NOM	plateau
de	PRP	de
télévision	NOM	télévision
,	PUN	,
n'	ADV	ne
est	VER:pres	être
jamais	ADV	jamais
mieux	ADV	mieux
que	KON	que
sur	PRP	sur
une	DET:ART	un
scène	NOM	scène
.	SENT	.
les	DET:ART	le
fans	NOM	fan
bisontins	ADJ	bisontin
pourront	VER:futu	pouvoir
le	PRO:PER	le
vérifier	VER:infi	vérifier
le	DET:ART	le
12	NUM	@card@
février	NOM	février
et	KON	et
reprendre	VER:infi	reprendre
avec	PRP	avec
lui	PRO:PER	lui
le	DET:ART	le
refrain	NOM	refrain
de	PRP	de
la	DET:ART	le
«	PUN:cit	«
chanson	NOM	chanson
c.	ABR	c.
..	ABR	..
».	ABR	».
jean-pascal	NOM	jean-pascal
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
premier	NUM	premier
album	NOM	album
cartonne	VER:pres	cartonner
,	PUN	,
glisse	NOM	glisse
de	PRP	de
la	DET:ART	le
chanson	NOM	chanson
paillarde	ADJ	paillard
à	PRP	à
la	DET:ART	le
ballade	NOM	ballade
sentimentale	ADJ	sentimental
.	SENT	.
mais	KON	mais
l'	DET:ART	le
ex-académicien	NOM	ex-académicien
peut	VER:pres	pouvoir
également	ADV	également
se	PRO:PER	se
montrer	VER:infi	montrer
plus	ADV	plus
rock	NOM	rock
ou	KON	ou
plus	ADV	plus
reggae	ADJ	reggae
.	SENT	.
un	DET:ART	un
vrai	ADJ	vrai
caméléon	NOM	caméléon
de	PRP	de
la	DET:ART	le
chanson	NOM	chanson
.	SENT	.
jean-pascal	NOM	jean-pascal
,	PUN	,
concert	NOM	concert
le	DET:ART	le
mercredi	NOM	mercredi
12	NUM	@card@
février	NOM	février
à	PRP	à
micropolis	NOM	micropolis
besançon	ADJ	besançon
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
tarif	NOM	tarif
plein	ADJ	plein
:	PUN	:
30	NUM	@card@
.	ABR	.
tarif	NOM	tarif
réduit	VER:pper	réduire
:	PUN	:
28	NUM	@card@
.	ABR	.
renseignements	NOM	renseignement
:	PUN	:
losp	NOM	losp
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.81	NUM	@card@
.	SENT	.
81.00	NUM	@card@
.	SENT	.
21	NUM	@card@
