gy	ADV	gy
le	DET:ART	le
22	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	NUM	@card@
musique	NOM	musique
de	PRP	de
chambre	NOM	chambre
concert	NOM	concert
de	PRP	de
clôture	NOM	clôture
de	PRP	de
la	DET:ART	le
master	NOM	master
class	ADJ	class
auberge	VER:pres	auberger
du	PRP:det	du
cloître	NOM	cloître
«	PUN:cit	«
maison	NOM	maison
des	PRP:det	du
suédois	ADJ	suédois
»	PUN:cit	»
03.84	NUM	@card@
.	SENT	.
32.93	NUM	@card@
.	SENT	.
92	NUM	@card@
gray	NOM	gray
le	DET:ART	le
7	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	NUM	@card@
concert	NOM	concert
pour	PRP	pour
les	DET:ART	le
sinistrés	NOM	sinistré
du	PRP:det	du
gard	NOM	gard
avec	PRP	avec
cinq	NUM	cinq
chorales	ADJ	choral
basilique	NOM	basilique
03.84	NUM	@card@
.	SENT	.
32.84	NUM	@card@
.	SENT	.
94	NUM	@card@
héricourt	NOM	héricourt
le	DET:ART	le
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février/20	NOM	février/20
h	ABR	heure
30	NUM	@card@
orchestre	NOM	orchestre
de	PRP	de
besançon	NOM	besançon
musiques	NOM	musique
en	PRP	en
héricourt	ADJ	héricourt
eglise	NOM	eglise
saint-christophe	NOM	saint-christophe
03.84	NUM	@card@
.	SENT	.
56.73	NUM	@card@
.	SENT	.
02	NUM	@card@
le	DET:ART	le
8	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	ABR	@card@
«	PUN:cit	«
génération	NOM	génération
harmonique	ADJ	harmonique
»	PUN:cit	»
musique	NOM	musique
italienne	ADJ	italien
du	PRP:det	du
xviie	ADJ	xviie
siècle	NOM	siècle
temple	NOM	temple
03.84	NUM	@card@
.	SENT	.
56.73	NUM	@card@
.	SENT	.
02	NUM	@card@
lure	NOM	lure
le	DET:ART	le
15	NUM	@card@
février/21	ABR	février/21
h	ABR	heure
«	PUN:cit	«
monkomarok	NOM	monkomarok
»	PUN:cit	»
auditorium	NOM	auditorium
luxeuil	NOM	luxeuil
le	DET:ART	le
15	NUM	@card@
février/20	NOM	février/20
h	ABR	heure
30	NUM	@card@
musique	NOM	musique
de	PRP	de
chambre	NOM	chambre
avec	PRP	avec
mark	NOM	mark
drobinsky	NOM	drobinsky
et	KON	et
l'	DET:ART	le
orchestre	NOM	orchestre
de	PRP	de
chambre	NOM	chambre
de	PRP	de
novossibirsk	NOM	novossibirsk
espace	NOM	espace
molière	NOM	molière
