cet	PRO:DEM	ce
après-midi	NOM	après-midi
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
,	PUN	,
loto	NOM	loto
à	PRP	à
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
fêtes	NOM	fête
du	PRP:det	du
village	NOM	village
organisé	VER:pper	organiser
par	PRP	par
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
madagascar	NOM	madagascar
...	PUN	...
et	KON	et
nous	PRO:PER	nous
»,	VER:cond	»,
de	PRP	de
villers-le-sec	NOM	villers-le-sec
,	PUN	,
au	PRP:det	au
profit	NOM	profit
de	PRP	de
l'	DET:ART	le
oeuvre	NOM	œuvre
humanitaire	ADJ	humanitaire
du	PRP:det	du
père	NOM	père
pédro	NOM	pédro
.	SENT	.
ouverture	NOM	ouverture
des	PRP:det	du
portes	NOM	porte
à	PRP	à
12	NUM	@card@
h	ABR	heure
45	NUM	@card@
