classé	VER:pper	classer
patrimoine	NOM	patrimoine
naturel	ADJ	naturel
mondial	ADJ	mondial
par	PRP	par
l'	DET:ART	le
unesco	NOM	unesco
depuis	PRP	depuis
décembre	NOM	décembre
dernier	ADJ	dernier
,	PUN	,
le	DET:ART	le
glacier	NOM	glacier
suisse	ADJ	suisse
d'	PRP	de
aletsch	NOM	aletsch
constitue	VER:pres	constituer
le	DET:ART	le
plus	ADV	plus
long	ADJ	long
fleuve	NOM	fleuve
de	PRP	de
glace	NOM	glace
des	PRP:det	du
alpes	NOM	alpe
avec	PRP	avec
ses	DET:POS	son
23	NUM	@card@
kilomètres	NOM	kilomètre
de	PRP	de
longueur	NOM	longueur
.	SENT	.
une	DET:ART	un
randonnée	NOM	randonnée
de	PRP	de
plusieurs	PRO:IND	plusieurs
heures	NOM	heure
,	PUN	,
entre	PRP	entre
riederalp	NOM	riederalp
et	KON	et
belalp	NOM	belalp
,	PUN	,
donne	VER:pres	donner
vite	ADV	vite
un	DET:ART	un
aperçu	NOM	aperçu
de	PRP	de
la	DET:ART	le
majestueuse	ADJ	majestueux
grandeur	NOM	grandeur
et	KON	et
de	PRP	de
la	DET:ART	le
puissance	NOM	puissance
émotionnelle	ADJ	émotionnel
intacte	ADJ	intact
de	PRP	de
cet	PRO:DEM	ce
univers	NOM	univers
hors	PRP	hors
du	PRP:det	du
commun	NOM	commun
.	SENT	.
renseignements	NOM	renseignement
à	PRP	à
aletsch	NOM	aletsch
ferien	NOM	ferien
3983	NUM	@card@
breiten	ADJ	breiten
ob	NOM	ob
mörel	NOM	mörel
,	PUN	,
tél	ABR	téléphone
:	PUN	:
(+)	ABR	(+)
41.027	NUM	@card@
.	SENT	.
928.60	NUM	@card@
.	SENT	.
00	NUM	@card@
ou	KON	ou
www	NOM	www
.	SENT	.
aletsch	NOM	aletsch
.	SENT	.
ch	NOM	ch
