adca	VER:simp	adca
le	DET:ART	le
club	NOM	club
se	PRO:PER	se
réunira	VER:futu	réunir
ce	PRO:DEM	ce
mardi	NOM	mardi
,	PUN	,
4	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
partir	VER:infi	partir
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
st-martin	ADJ	st-martin
pour	PRP	pour
un	DET:ART	un
après-midi	NOM	après-midi
récréatif	ADJ	récréatif
suivi	VER:pper	suivre
d'	PRP	de
un	DET:ART	un
goûter	NOM	goûter
.	SENT	.
ecole	NOM	ecole
de	PRP	de
musique	NOM	musique
dimanche	NOM	dimanche
prochain	ADJ	prochain
,	PUN	,
9	NUM	@card@
février	NOM	février
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
st-martin	ADJ	st-martin
,	PUN	,
concert	NOM	concert
interprété	VER:pper	interpréter
par	PRP	par
les	DET:ART	le
élèves	NOM	élève
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
d'	PRP	de
argonne	NOM	argonne
.	SENT	.
au	PRP:det	au
programme	NOM	programme
,	PUN	,
piano	ADV	piano
classique	ADJ	classique
,	PUN	,
flûte	NOM	flûte
traversière	ADJ	traversier
,	PUN	,
guitare	NOM	guitare
,	PUN	,
percussions	NOM	percussion
,	PUN	,
musique	NOM	musique
d'	PRP	de
ensemble	NOM	ensemble
et	KON	et
saxophone	NOM	saxophone
.	SENT	.
entrée	NOM	entrée
gratuite	ADJ	gratuit
.	SENT	.
