evénement	NOM	evénement
sportif	ADJ	sportif
majeur	ADJ	majeur
aujourd'hui	ADV	aujourd'hui
sur	PRP	sur
le	DET:ART	le
plateau	NOM	plateau
de	PRP	de
villers	NOM	villers
avec	PRP	avec
les	DET:ART	le
championnats	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
de	PRP	de
cross-country	NOM	cross-country
.	SENT	.
au	PRP:det	au
programme	NOM	programme
:	PUN	:
-	PUN	-
vétérans	NOM	vétéran
hommes	NOM	homme
(	PUN	(
1933	NUM	@card@
-	PUN	-
63	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
9.000	NUM	@card@
m.	ABR	m.
-	PUN	-
minimes	ADJ	minime
femmes	NOM	femme
(	PUN	(
1988	NUM	@card@
-	PUN	-
89	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
11	NUM	@card@
h	ABR	heure
35	NUM	@card@
3.200	NUM	@card@
m.	ABR	m.
-	PUN	-
minimes	ADJ	minime
hommes	NOM	homme
(	PUN	(
1988	NUM	@card@
-	PUN	-
89	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
11	NUM	@card@
h	ABR	heure
55	NUM	@card@
4.000	NUM	@card@
m.	ABR	m.
-	PUN	-
cadettes	ADJ	cadet
(	PUN	(
1986	NUM	@card@
-	PUN	-
87	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
12	NUM	@card@
h	ABR	heure
20	NUM	@card@
4.000	NUM	@card@
m.	ABR	m.
-	PUN	-
cadets	ADJ	cadet
(	PUN	(
1986	NUM	@card@
-	PUN	-
87	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
12	NUM	@card@
h	ABR	heure
45	NUM	@card@
4.600	NUM	@card@
m.	ABR	m.
-	PUN	-
juniors	NOM	junior
femmes	NOM	femme
(	PUN	(
1984	NUM	@card@
-	PUN	-
85	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
13	NUM	@card@
h	ABR	heure
15	NUM	@card@
4.900	NUM	@card@
m.	ABR	m.
-	PUN	-
juniors	NOM	junior
hommes	NOM	homme
(	PUN	(
1984	NUM	@card@
-	PUN	-
85	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
13	NUM	@card@
h	ABR	heure
45	NUM	@card@
6.800	NUM	@card@
m.	ABR	m.
-	PUN	-
cross	NOM	cross
court	ADJ	court
femmes	NOM	femme
,	PUN	,
espoirs	NOM	espoir
(	PUN	(
1981	NUM	@card@
-	PUN	-
83	NUM	@card@
),	NOM	),
seniors	NOM	senior
(	PUN	(
1964	NUM	@card@
-	PUN	-
80	NUM	@card@
),	NOM	),
vétérans	NOM	vétéran
(	PUN	(
1933	NUM	@card@
-	PUN	-
63	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
14	NUM	@card@
h	ABR	heure
20	NUM	@card@
4.000	NUM	@card@
m.	ABR	m.
-	PUN	-
cross	NOM	cross
court	ADJ	court
hommes	NOM	homme
,	PUN	,
«	PUN:cit	«
espoirs	NOM	espoir
»	PUN:cit	»
(	PUN	(
1981	NUM	@card@
-	PUN	-
83	NUM	@card@
),	NOM	),
«	PUN:cit	«
seniors	NOM	senior
»	PUN:cit	»
(	PUN	(
1946	NUM	@card@
-	PUN	-
80	NUM	@card@
),	NOM	),
«	PUN:cit	«
vétérans	NOM	vétéran
»	PUN:cit	»
(	PUN	(
1933	NUM	@card@
-	PUN	-
63	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
14	NUM	@card@
h	ABR	heure
45	NUM	@card@
4.000	NUM	@card@
m.	ABR	m.
-	PUN	-
femmes	NOM	femme
,	PUN	,
«	PUN:cit	«
espoirs	NOM	espoir
»	PUN:cit	»
(	PUN	(
1981	NUM	@card@
-	PUN	-
83	NUM	@card@
),	NOM	),
«	PUN:cit	«
seniors	NOM	senior
»	PUN:cit	»
(	PUN	(
1964	NUM	@card@
-	PUN	-
80	NUM	@card@
),	NOM	),
«	PUN:cit	«
vétérans	NOM	vétéran
»	PUN:cit	»
(	PUN	(
1933	NUM	@card@
-	PUN	-
63	NUM	@card@
),	NOM	),
départ	VER:pres	départir
à	PRP	à
15	NUM	@card@
h	ABR	heure
05	NUM	@card@
6.800	NUM	@card@
m.	ABR	m.
-	PUN	-
cross	NOM	cross
des	PRP:det	du
as	NOM	as
,	PUN	,
«	PUN:cit	«
espoirs	NOM	espoir
»	PUN:cit	»
(	PUN	(
1981	NUM	@card@
-	PUN	-
83	NUM	@card@
),	NOM	),
«	PUN:cit	«
seniors	NOM	senior
»	PUN:cit	»
(	PUN	(
1964	NUM	@card@
-	PUN	-
80	NUM	@card@
),	ABR	),
10.700	NUM	@card@
m.	ABR	m.
