obéissance	NOM	obéissance
:	PUN	:
-	PUN	-
brevet	NOM	brevet
:	PUN	:
hélène	NOM	hélène
chevrier	NOM	chevrier
et	KON	et
réglisse	NOM	réglisse
,	PUN	,
carn	ADJ	carn
terrier	NOM	terrier
;	PUN	;
jean-yves	NOM	jean-yves
gauthier	NOM	gauthier
et	KON	et
pangloss	NOM	pangloss
,	PUN	,
dogue	NOM	dogue
allemand	ADJ	allemand
;	PUN	;
laurent	VER:pres	laurer
imard	NOM	imard
et	KON	et
reddy	NOM	reddy
,	PUN	,
boxer	VER:infi	boxer
;	PUN	;
véronique	NOM	véronique
laporte	ADJ	laporte
et	KON	et
shaft	NOM	shaft
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
tervueren	ADJ	tervueren
;	PUN	;
ingrid	ADJ	ingrid
laroche	NOM	laroche
et	KON	et
roxane	NOM	roxane
;	PUN	;
eric	ADJ	eric
siebert	NOM	siebert
et	KON	et
staff	NOM	staff
,	PUN	,
berger	NOM	berger
de	PRP	de
beauce	NOM	beauce
;	PUN	;
nicolas	VER:simp	nicolas
rugraff	NOM	rugraff
et	KON	et
otero	NOM	otero
.	SENT	.
tous	PRO:IND	tout
ont	VER:pres	avoir
réussi	VER:pper	réussir
le	DET:ART	le
brevet	NOM	brevet
et	KON	et
peuvent	VER:pres	pouvoir
accéder	VER:infi	accéder
à	PRP	à
la	DET:ART	le
classe	NOM	classe
i.	ABR	i.
-	PUN	-
classe	NOM	classe
i	ADJ	i
,	PUN	,
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
un	DET:ART	un
qualificatif	NOM	qualificatif
excellent	ADJ	excellent
et	KON	et
peuvent	VER:pres	pouvoir
accéder	VER:infi	accéder
à	PRP	à
la	DET:ART	le
classe	NOM	classe
ii	NOM	ii
:	PUN	:
ingrid	ADJ	ingrid
laroche	NOM	laroche
et	KON	et
roxane	NOM	roxane
;	PUN	;
lore	NOM	lore
schuler	NOM	schuler
et	KON	et
freyja	NOM	freyja
,	PUN	,
hovawart	NOM	hovawart
;	PUN	;
nicolas	VER:simp	nicolas
rugrafff	NOM	rugrafff
et	KON	et
otero	NOM	otero
.	SENT	.
-	PUN	-
classe	NOM	classe
ii	NOM	ii
,	PUN	,
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
leurs	DET:POS	leur
3	NUM	@card@
qualificatifs	NOM	qualificatif
et	KON	et
peuvent	VER:pres	pouvoir
accéder	VER:infi	accéder
à	PRP	à
la	DET:ART	le
classe	NOM	classe
iii	NOM	iii
:	PUN	:
lionel	NOM	lionel
duménil	NOM	duménil
et	KON	et
oackland	NOM	oackland
,	PUN	,
scottish	NOM	scottish
terrier	NOM	terrier
;	PUN	;
fanny	NOM	fanny
moraux	ADJ	moral
et	KON	et
polka	NOM	polka
,	PUN	,
golden	NOM	golden
retriever	NOM	retriever
.	SENT	.
-	PUN	-
classe	NOM	classe
iii	NOM	iii
:	PUN	:
chistian	NOM	chistian
voltz	NAM	voltz
et	KON	et
malkho	NOM	malkho
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
tervueren	ADJ	tervueren
,	PUN	,
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
10	NUM	@card@
concours	NOM	concours
en	PRP	en
classe	NOM	classe
iii	NOM	iii
avec	PRP	avec
10	NUM	@card@
qualificatifs	NOM	qualificatif
excellents	ADJ	excellent
;	PUN	;
8	NUM	@card@
è	NOM	è
aux	PRP:det	au
championnats	NOM	championnat
de	PRP	de
france	NOM	france
à	PRP	à
douai	VER:simp	douer
,	PUN	,
3	NUM	@card@
è	NOM	è
au	PRP:det	au
championnat	NOM	championnat
de	PRP	de
france	NOM	france
du	PRP:det	du
berger	NOM	berger
belge	ADJ	belge
à	PRP	à
saint-denis	NOM	saint-denis
de	PRP	de
l'	DET:ART	le
hôtel	NOM	hôtel
,	PUN	,
vice-champion	NOM	vice-champion
de	PRP	de
lorraine	NOM	lorrain
à	PRP	à
mont-saint-martin	NOM	mont-saint-martin
.	SENT	.
avec	PRP	avec
stan	NOM	stan
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
tervueren	ADJ	tervueren
,	PUN	,
christian	NOM	christian
voltz	NAM	voltz
a	VER:pres	avoir
obtenu	VER:pper	obtenir
la	DET:ART	le
qualification	NOM	qualification
en	PRP	en
brevet	NOM	brevet
,	PUN	,
classe	NOM	classe
i	ADJ	i
,	PUN	,
ii	NOM	ii
et	KON	et
iii	NOM	iii
plus	ADV	plus
2	NUM	@card@
concours	NOM	concours
en	PRP	en
classe	NOM	classe
iii	NOM	iii
,	PUN	,
un	DET:ART	un
excellent	ADJ	excellent
et	KON	et
un	DET:ART	un
très	ADV	très
bon	ADJ	bon
(	PUN	(
alpen	NOM	alpen
championship	NOM	championship
de	PRP	de
linz	NOM	linz
-	PUN	-
autriche	ADJ	autriche
).	NOM	).
en	PRP	en
ring	NOM	ring
:	PUN	:
guy	ADJ	guy
fois	NOM	foi|fois
et	KON	et
scout	ADJ	scout
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
tervueren	ADJ	tervueren
,	PUN	,
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
leur	DET:POS	leur
qualification	NOM	qualification
au	PRP:det	au
brevet	NOM	brevet
,	PUN	,
2	NUM	@card@
en	PRP	en
classe	NOM	classe
i	ADJ	i
,	PUN	,
avec	PRP	avec
des	PRP:det	du
qualificatifs	NOM	qualificatif
excellents	ADJ	excellent
.	SENT	.
primo	ADV	primo
orlandini	NOM	orlandini
et	KON	et
otis	NOM	otis
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
malinois	ADJ	malinois
,	PUN	,
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
6	NUM	@card@
concours	NOM	concours
en	PRP	en
classe	NOM	classe
iii	NOM	iii
,	PUN	,
avec	PRP	avec
6	NUM	@card@
qualificatifs	NOM	qualificatif
excellents	ADJ	excellent
,	PUN	,
dont	PRO:REL	dont
un	DET:ART	un
sélectif	ADJ	sélectif
au	PRP:det	au
championnat	NOM	championnat
de	PRP	de
france	NOM	france
;	PUN	;
5	NUM	@card@
è	NOM	è
au	PRP:det	au
championnat	NOM	championnat
de	PRP	de
lorraine	NOM	lorrain
.	SENT	.
primo	ADV	primo
orlandini	NOM	orlandini
et	KON	et
patsy	NOM	patsy
,	PUN	,
berger	NOM	berger
belge	ADJ	belge
malinois	ADJ	malinois
,	PUN	,
ont	VER:pres	avoir
obtenu	VER:pper	obtenir
leur	DET:POS	leur
qualification	NOM	qualification
en	PRP	en
brevet	NOM	brevet
,	PUN	,
2	NUM	@card@
en	PRP	en
classe	NOM	classe
i	ADJ	i
,	PUN	,
2	NUM	@card@
en	PRP	en
