denis	NOM	denis
burel	ADJ	burel
,	PUN	,
directeur	NOM	directeur
du	PRP:det	du
foyer	NOM	foyer
d'	PRP	de
accueil	NOM	accueil
spécialisé	VER:pper	spécialiser
et	KON	et
jean-louis	NOM	jean-louis
cossin	ADJ	cossin
,	PUN	,
président	NOM	président
du	PRP:det	du
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
,	PUN	,
ont	VER:pres	avoir
présenté	VER:pper	présenter
leurs	DET:POS	leur
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
pour	PRP	pour
2003	NUM	@card@
à	PRP	à
l'	DET:ART	le
ensemble	NOM	ensemble
du	PRP:det	du
personnel	NOM	personnel
,	PUN	,
aux	PRP:det	au
résidants	ADJ	résidant
,	PUN	,
leurs	DET:POS	leur
familles	NOM	famille
et	KON	et
aux	PRP:det	au
élus	NOM	élu
locaux	ADJ	local
.	SENT	.
dans	PRP	dans
son	DET:POS	son
discours	NOM	discours
,	PUN	,
m.	ABR	m.
burel	ADJ	burel
a	VER:pres	avoir
relaté	VER:pper	relater
d'	PRP	de
une	DET:ART	un
manière	NOM	manière
générale	ADJ	général
les	DET:ART	le
événements	NOM	événement
2002	NUM	@card@
au	PRP:det	au
niveau	NOM	niveau
social	ADJ	social
,	PUN	,
évoquant	VER:ppre	évoquer
le	DET:ART	le
passage	NOM	passage
à	PRP	à
l'	DET:ART	le
euro	NAM	euro
:	PUN	:
«	PUN:cit	«
nous	PRO:PER	nous
devons	VER:pres	devoir
nous	PRO:PER	nous
rappeler	VER:infi	rappeler
que	KON	que
l'	DET:ART	le
homme	NOM	homme
doit	VER:pres	devoir
être	VER:infi	être
au	PRP:det	au
centre	NOM	centre
de	PRP	de
toutes	PRO:IND	tout
les	DET:ART	le
actions	NOM	action
politiques	ADJ	politique
pour	PRP	pour
éviter	VER:infi	éviter
que	KON	que
les	DET:ART	le
peuples	NOM	peuple
perdent	VER:pres	perdre
leur	DET:POS	leur
humanité	NOM	humanité
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
pourquoi	ADV	pourquoi
au	PRP:det	au
carrefour	NOM	carrefour
d'	PRP	de
accompagnement	NOM	accompagnement
du	PRP:det	du
public	NOM	public
social	ADJ	social
(	PUN	(
caps	NOM	cap
),	ADJ	),
nous	PRO:PER	nous
plaçons	VER:pres	placer
l'	DET:ART	le
usager	NOM	usager
au	PRP:det	au
centre	NOM	centre
de	PRP	de
nos	DET:POS	notre
ambitions	NOM	ambition
afin	KON	afin
de	PRP	de
ne	ADV	ne
pas	ADV	pas
perdre	VER:infi	perdre
le	DET:ART	le
