peronnas	VER:simp	peronnas
.	SENT	.
_	NOM	_
bourg-péronnas	ADJ	bourg-péronnas
et	KON	et
sochaux	ADJ	sochaux
(	PUN	(
2	NUM	@card@
)	PUN	)
2	NUM	@card@
-	PUN	-
2	NUM	@card@
malgré	PRP	malgré
le	DET:ART	le
froid	NOM	froid
ambiant	ADJ	ambiant
,	PUN	,
sans	PRP	sans
doute	NOM	doute
aussi	ADV	aussi
pour	PRP	pour
le	PRO:PER	le
combattre	VER:infi	combattre
!,	NOM	!,
les	DET:ART	le
locaux	NOM	local
affichaient	VER:impf	afficher
de	PRP	de
belles	ADJ	beau
ardeurs	NOM	ardeur
offensives	ADJ	offensif
en	PRP	en
ce	PRO:DEM	ce
début	NOM	début
de	PRP	de
rencontre	NOM	rencontre
...	PUN	...
le	DET:ART	le
temps	NOM	temps
pour	PRP	pour
le	DET:ART	le
mâconnais	ADJ	mâconnais
zaïri	NOM	zaïri
de	PRP	de
trouver	VER:infi	trouver
ses	DET:POS	son
marques	NOM	marque
en	PRP	en
humant	VER:ppre	humer
l'	DET:ART	le
air	NOM	air
du	PRP:det	du
pays	NOM	pays
.	SENT	.
sur	PRP	sur
une	DET:ART	un
mauvaise	ADJ	mauvais
relance	NOM	relance
de	PRP	de
la	DET:ART	le
défense	NOM	défense
bressane	ADJ	bressan
,	PUN	,
le	DET:ART	le
futur	NOM	futur
international	ADJ	international
marocain	ADJ	marocain
héritait	VER:impf	hériter
du	PRP:det	du
ballon	NOM	ballon
aux	PRP:det	au
vingt	NUM	vingt
mètres	NOM	mètre
,	PUN	,
s'	PRO:PER	se
offrait	VER:impf	offrir
un	DET:ART	un
petit	ADJ	petit
pont	NOM	pont
sur	PRP	sur
salama	NOM	salama
mais	KON	mais
croisait	VER:impf	croiser
trop	ADV	trop
sa	DET:POS	son
frappe	NOM	frappe
à	PRP	à
ras	NOM	ras
de	PRP	de
terre	NOM	terre
(	PUN	(
11	NUM	@card@
e).	ABR	e).
malgré	PRP	malgré
une	DET:ART	un
tendance	NOM	tendance
à	PRP	à
exagérer	VER:infi	exagérer
le	DET:ART	le
trait	NOM	trait
,	PUN	,
l'	DET:ART	le
ancien	ADJ	ancien
gueugnonnais	NOM	gueugnonnais
allait	VER:impf	aller
éclabousser	VER:infi	éclabousser
de	PRP	de
sa	DET:POS	son
classe	NOM	classe
la	DET:ART	le
rencontre	NOM	rencontre
,	PUN	,
en	PRP	en
multipliant	VER:ppre	multiplier
les	DET:ART	le
appels	NOM	appel
de	PRP	de
balle	NOM	balle
,	PUN	,
les	DET:ART	le
passements	NOM	passement
de	PRP	de
jambes	NOM	jambe
et	KON	et
autres	ADJ	autre
accélérations	NOM	accélération
dans	PRP	dans
le	DET:ART	le
dos	NOM	dos
de	PRP	de
la	DET:ART	le
défense	NOM	défense
.	SENT	.
sur	PRP	sur
un	DET:ART	un
débordement	NOM	débordement
de	PRP	de
zaïri	NOM	zaïri
sur	PRP	sur
l'	DET:ART	le
aile	NOM	aile
droite	ADJ	droit
,	PUN	,
qui	PRO:REL	qui
évitait	VER:impf	éviter
la	DET:ART	le
sortie	NOM	sortie
de	PRP	de
but	NOM	but
pour	PRP	pour
redresser	VER:infi	redresser
un	DET:ART	un
centre	NOM	centre
tendu	ADJ	tendu
détourné	VER:pper	détourner
en	PRP	en
catastrophe	NOM	catastrophe
par	PRP	par
pansier	NOM	pansier
dans	PRP	dans
les	DET:ART	le
pieds	NOM	pied
de	PRP	de
baruxakis	NOM	baruxakis
,	PUN	,
esseulé	VER:pper	esseuler
au	PRP:det	au
six	NUM	six
mètres	NOM	mètre
pour	PRP	pour
