lundi	NOM	lundi
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
départ	NOM	départ
de	PRP	de
la	DET:ART	le
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
.	SENT	.
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
patchwork	NOM	patchwork
.	SENT	.
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
1	NUM	@card@
e	NOM	e
r	VER:subi	r
groupe	NOM	groupe
de	PRP	de
judo	NOM	judo
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
comité	NOM	comité
de	PRP	de
familles	NOM	famille
rurales	ADJ	rural
.	SENT	.
mardi	NOM	mardi
09	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
gym	NOM	gym
volontaire	ADJ	volontaire
.	SENT	.
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
d'	PRP	de
encadrement	NOM	encadrement
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
stretching	NOM	stretching
.	SENT	.
mercredi	NOM	mercredi
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
anglais	ADJ	anglais
.	SENT	.
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
:	PUN	:
arts	NOM	art
du	PRP:det	du
cirque	NOM	cirque
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
et	KON	et
gym	NOM	gym
.	SENT	.
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
entraînement	NOM	entraînement
de	PRP	de
foot	NOM	foot
.	SENT	.
20	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
danses	NOM	danse
de	PRP	de
salon	NOM	salon
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
maison	NOM	maison
paroissiale	ADJ	paroissial
,	PUN	,
rencontre	NOM	rencontre
des	PRP:det	du
parents	NOM	parent|parents
dont	PRO:REL	dont
les	DET:ART	le
enfants	NOM	enfant
feront	VER:futu	faire
leur	DET:POS	leur
1	NUM	@card@
è	NOM	è
re	VER:subi	re
communion	NOM	communion
le	DET:ART	le
15	NUM	@card@
juin	NOM	juin
.	SENT	.
jeudi	NOM	jeudi
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
couture	NOM	couture
.	SENT	.
17	NUM	@card@
h	ABR	heure
10	NUM	@card@
:	PUN	:
premier	NUM	premier
des	PRP:det	du
trois	NUM	trois
cours	NOM	cour|cours
de	PRP	de
judo	NOM	judo
.	SENT	.
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
taï	NOM	taï
chi	NOM	chi
chuan	ADJ	chuan
et	KON	et
gym	NOM	gym
volontaire	ADJ	volontaire
.	SENT	.
vendredi	NOM	vendredi
14	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
atelier	NOM	atelier
dentelle	NOM	dentelle
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
musculation	NOM	musculation
et	KON	et
step	NOM	step
.	SENT	.
19	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
badminton	NOM	badminton
.	SENT	.
20	NUM	@card@
h	ABR	heure
00	NUM	@card@
:	PUN	:
entraînement	NOM	entraînement
de	PRP	de
basket	NOM	basket
.	SENT	.
20	NUM	@card@
g	NOM	g
30	NUM	@card@
:	PUN	:
réunion	NOM	réunion
de	PRP	de
l'	DET:ART	le
eap	NOM	eap
.	SENT	.
samedi	NOM	samedi
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
basket	NOM	basket
joue	VER:pres	jouer
contre	PRP	contre
le	DET:ART	le
centre	NOM	centre
de	PRP	de
détention	NOM	détention
de	PRP	de
toul	NOM	toul
.	SENT	.
