les	PRO:PER	la|le
médaillés	VER:pper	médailler
or	NOM	or
(	PUN	(
50	NUM	@card@
dons	NOM	don
et	KON	et
plus	ADV	plus
)	PUN	)
:	PUN	:
annie	VER:pper	annie
adam	NOM	adam
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
eliane	ADJ	eliane
arnaud	NAM	Arnaud
(	PUN	(
maxéville	NOM	maxéville
),	ADJ	),
véronique	NOM	véronique
baumann	NOM	baumann
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
pascale	ADJ	pascal
carly	NOM	carly
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
serge	NOM	serge
deprey	NOM	deprey
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
agnès	NOM	agnès
gincre	VER:infi	gincre
(	PUN	(
villers	NOM	villers
),	ADJ	),
stéphanie	NOM	stéphanie
gounant	VER:ppre	gounant
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
claude	NOM	claude
gustin	ADJ	gustin
(	PUN	(
villers	NOM	villers
),	ADJ	),
jean	NOM	jean
kontz	NAM	kontz
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
jean-pierre	NOM	jean-pierre
lafosse	ADJ	lafosse
(	PUN	(
maxéville	VER:pres	maxéville
),	ADJ	),
catherine	NOM	catherine
mangeot	ADJ	mangeot
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
fabienne	NOM	fabienne
paulus	ADJ	paulus
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
michèle	NOM	michèle
ratel	NOM	ratel
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
markus	NOM	markus
rebmann	ADJ	rebmann
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
claude	NOM	claude
romary	NOM	romary
(	PUN	(
villers	NOM	villers
),	ADJ	),
michel	NOM	michel
rousse	ADJ	roux
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
jean-marc	NOM	jean-marc
sigel	ADJ	sigel
(	PUN	(
seichamps	NOM	seichamps
),	ADJ	),
jacques	NOM	jacque|jacques
thomas	NOM	thomas
(	PUN	(
villers	NOM	villers
),	ADJ	),
jean-pierre	NOM	jean-pierre
veber	NOM	veber
(	PUN	(
nancy	NOM	nancy
),	ADJ	),
françois	ADJ	françois
wilm	NOM	wilm
(	PUN	(
saulxures	NOM	saulxures
).	ADJ	).
