besancon	NOM	besancon
.	SENT	.
_	NOM	_
sochaux	ADJ	sochaux
bat	VER:pres	battre
auxerre	NOM	auxerre
11	NUM	@card@
-	PUN	-
5	NUM	@card@
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
gazélec	NOM	gazélec
d'	PRP	de
auxerre	NOM	auxerre
,	PUN	,
le	DET:ART	le
fc	NOM	fc
sochaux	ADJ	sochaux
s'	PRO:PER	se
est	VER:pres	être
montré	VER:pper	montrer
efficace	ADJ	efficace
grâce	NOM	grâce
au	PRP:det	au
trio	NOM	trio
domon	ADJ	domon
,	PUN	,
courty	NOM	courty
et	KON	et
cheney	NOM	cheney
,	PUN	,
invaincu	ADJ	invaincu
en	PRP	en
simples	ADJ	simple
.	SENT	.
a	VER:pres	avoir
souligner	VER:infi	souligner
les	DET:ART	le
«	PUN:cit	«
perfs	NOM	perfs
»	PUN:cit	»
à	PRP	à
25	NUM	@card@
et	KON	et
30	NUM	@card@
de	PRP	de
domon	NOM	domon
(	PUN	(
à	PRP	à
40	NUM	@card@
).	ABR	).
les	DET:ART	le
résultats	NOM	résultat
simples	ADJ	simple
:	PUN	:
jacquot	NOM	jacquot
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
rhoulah	NOM	rhoulah
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
bordebeure	NOM	bordebeure
(	PUN	(
n	VER:simp	n
°	NOM	°
823	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
lambert	NOM	lambert
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
n	VER:simp	n
°	NOM	°
842	NUM	@card@
)	PUN	)
bat	VER:pres	battre
le	DET:ART	le
floch	NOM	floch
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
bat	NOM	bat
rhoulah	NOM	rhoulah
3	NUM	@card@
-	PUN	-
2	NUM	@card@
battu	VER:pper	battre
par	PRP	par
bordebeure	NOM	bordebeure
0	NUM	@card@
-	PUN	-
3	NUM	@card@
desquiens	NOM	desquiens
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
le	DET:ART	le
floch	NOM	floch
3	NUM	@card@
-	PUN	-
0	NUM	@card@
battu	VER:pper	battre
par	PRP	par
bordebeure	NOM	bordebeure
0	NUM	@card@
-	PUN	-
3	NUM	@card@
domon	NOM	domon
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
40	NUM	@card@
)	PUN	)
bat	NOM	bat
brale	ADJ	brale
(	PUN	(
à	PRP	à
30	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
0	NUM	@card@
bat	NOM	bat
poitevin	ADJ	poitevin
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
2	NUM	@card@
courty	NOM	courty
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
bat	VER:pres	battre
mathieu	NOM	mathieu
(	PUN	(
à	PRP	à
30	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
1	NUM	@card@
bat	NOM	bat
brale	ADJ	brale
3	NUM	@card@
-	PUN	-
0	NUM	@card@
bat	NOM	bat
poitevin	ADJ	poitevin
3	NUM	@card@
-	PUN	-
0	NUM	@card@
cheney	NOM	cheney
(	PUN	(
sochaux	ADJ	sochaux
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
bat	NOM	bat
poitevin	ADJ	poitevin
3	NUM	@card@
-	PUN	-
0	NUM	@card@
et	KON	et
mathieu	NOM	mathieu
3	NUM	@card@
-	PUN	-
2	NUM	@card@
doubles	NOM	double
:	PUN	:
lambert-desquiens	NOM	lambert-desquiens
battent	VER:pres	battre
bordebeure-rhoulah	NOM	bordebeure-rhoulah
3	NUM	@card@
-	PUN	-
2	NUM	@card@
mathieu-poitevin	NOM	mathieu-poitevin
battent	VER:pres	battre
courty-cheney	NOM	courty-cheney
3	NUM	@card@
-	PUN	-
1	NUM	@card@
