espoirs	NOM	espoir
,	PUN	,
seniors	NOM	senior
hommes	NOM	homme
1	NUM	@card@
el	ADJ	el
haddad	NOM	haddad
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
40	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
2	NUM	@card@
mamhoudi	NOM	mamhoudi
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
41	NUM	@card@
'	PUN	'
13	NUM	@card@
;	PUN	;
3	NUM	@card@
soltani	NOM	soltani
(	PUN	(
fcsmà	ABR	fcsmà
41	NUM	@card@
'	PUN	'
27	NUM	@card@
;	PUN	;
4	NUM	@card@
kenane	NOM	kenane
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
41	NUM	@card@
'	PUN	'
57	NUM	@card@
;	PUN	;
5	NUM	@card@
freudenreich	NOM	freudenreich
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
42	NUM	@card@
'	PUN	'
07	NUM	@card@
;	PUN	;
6	NUM	@card@
charid	NAM	charid
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
42	NUM	@card@
'	PUN	'
22	NUM	@card@
;	PUN	;
7	NUM	@card@
antunes	NOM	antunes
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
42	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
8	NUM	@card@
tournier	NOM	tournier
(	PUN	(
dac	NOM	dac
)	PUN	)
42	NUM	@card@
'	PUN	'
54	NUM	@card@
;	PUN	;
9	NUM	@card@
weiss	NOM	weiss
(	PUN	(
ind	VER:pper	ind
)	PUN	)
43	NUM	@card@
'	PUN	'
05	NUM	@card@
;	PUN	;
10	NUM	@card@
lippi	NOM	lippi
(	PUN	(
lons	VER:pper	lons
)	PUN	)
43	NUM	@card@
'	PUN	'
28	NUM	@card@
;	PUN	;
11	NUM	@card@
grandjean	NOM	grandjean
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
43	NUM	@card@
'	PUN	'
45	NUM	@card@
;	PUN	;
12	NUM	@card@
klinguer	NOM	klinguer
(	PUN	(
lons	VER:pper	lons
)	PUN	)
43	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
13	NUM	@card@
charmoille	NOM	charmoille
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
44	NUM	@card@
'	PUN	'
04	NUM	@card@
;	PUN	;
14	NUM	@card@
durand	NOM	durand
(	PUN	(
gahs	NOM	gahs
)	PUN	)
44	NUM	@card@
'	PUN	'
28	NUM	@card@
;	PUN	;
15	NUM	@card@
mairot	NOM	mairot
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
44	NUM	@card@
'	PUN	'
40	NUM	@card@
;	PUN	;
16	NUM	@card@
mignotte	NOM	mignotte
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
44	NUM	@card@
'	PUN	'
50	NUM	@card@
;	PUN	;
17	NUM	@card@
monnot	NOM	monnot
(	PUN	(
dac	NOM	dac
)	PUN	)
44	NUM	@card@
'	PUN	'
57	NUM	@card@
;	PUN	;
18	NUM	@card@
plousey	NOM	plousey
(	PUN	(
gahs	NOM	gahs
)	PUN	)
45	NUM	@card@
'	PUN	'
00	NUM	@card@
;	PUN	;
19	NUM	@card@
weber	NOM	weber
(	PUN	(
ind	VER:pper	ind
)	PUN	)
45	NUM	@card@
'	PUN	'
03	NUM	@card@
;	PUN	;
20	NUM	@card@
clayrac	NOM	clayrac
(	PUN	(
luxeuil	NOM	luxeuil
)	PUN	)
45	NUM	@card@
'	PUN	'
14	NUM	@card@
;	PUN	;
21	NUM	@card@
belakri	NOM	belakri
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
45	NUM	@card@
'	PUN	'
16	NUM	@card@
;	PUN	;
22	NUM	@card@
perron	NOM	perron
(	PUN	(
chatenois	NOM	chatenois
)	PUN	)
45	NUM	@card@
'	PUN	'
27	NUM	@card@
;	PUN	;
23	NUM	@card@
didierjean	NOM	didierjean
(	PUN	(
gahs	NOM	gahs
)	PUN	)
45	NUM	@card@
'	PUN	'
35	NUM	@card@
;	PUN	;
24	NUM	@card@
golder	NOM	golder
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
45	NUM	@card@
'	PUN	'
43	NUM	@card@
25	NUM	@card@
nicolle	NOM	nicolle
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
45	NUM	@card@
'	PUN	'
48	NUM	@card@
;	PUN	;
26	NUM	@card@
billamboz	NOM	billamboz
(	PUN	(
dac	NOM	dac
)	PUN	)
45	NUM	@card@
'	PUN	'
53	NUM	@card@
;	PUN	;
27	NUM	@card@
abdelhouad	NOM	abdelhouad
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
45	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
28	NUM	@card@
masson	NOM	masson
(	PUN	(
dac	NOM	dac
)	PUN	)
46	NUM	@card@
'	PUN	'
08	NUM	@card@
;	PUN	;
29	NUM	@card@
decreuse	NOM	decreuse
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
46	NUM	@card@
'	PUN	'
10	NUM	@card@
;	PUN	;
30	NUM	@card@
missey	NOM	missey
(	PUN	(
gahs	NOM	gahs
)	PUN	)
46	NUM	@card@
'	PUN	'
26	NUM	@card@
;	PUN	;
31	NUM	@card@
pillet	NOM	pillet
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
46	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
32	NUM	@card@
haye	NOM	haye
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
36	NUM	@card@
'	PUN	'
34	NUM	@card@
;	PUN	;
33	NUM	@card@
large	ADJ	large
(	PUN	(
anjoutey	NOM	anjoutey
)	PUN	)
46	NUM	@card@
'	PUN	'
40	NUM	@card@
;	PUN	;
34	NUM	@card@
marchal	NOM	marchal
(	PUN	(
anjoutey	NOM	anjoutey
)	PUN	)
46	NUM	@card@
'	PUN	'
42	NUM	@card@
;	PUN	;
35	NUM	@card@
fugagnoli	NOM	fugagnoli
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
47	NUM	@card@
'	PUN	'
25	NUM	@card@
;	PUN	;
36	NUM	@card@
burnequez	NOM	burnequez
(	PUN	(
dac	NOM	dac
)	PUN	)
47	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
37	NUM	@card@
farescour	NOM	farescour
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
47	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
38	NUM	@card@
bouzer	NOM	bouzer
(	PUN	(
gahs	NOM	gahs
)	PUN	)
47	NUM	@card@
'	PUN	'
45	NUM	@card@
;	PUN	;
39	NUM	@card@
lamberon	NOM	lamberon
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
48	NUM	@card@
'	PUN	'
00	NUM	@card@
40	NUM	@card@
clerc	NOM	clerc
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
48	NUM	@card@
'	PUN	'
14	NUM	@card@
;	PUN	;
41	NUM	@card@
collombet	NOM	collombet
(	PUN	(
sgh	NOM	sgh
)	PUN	)
48	NUM	@card@
'	PUN	'
26	NUM	@card@
;	PUN	;
42	NUM	@card@
maurice	NOM	maurice
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
48	NUM	@card@
'	PUN	'
34	NUM	@card@
;	PUN	;
43	NUM	@card@
goux	NOM	goux
(	PUN	(
luxeuil	NOM	luxeuil
)	PUN	)
48	NUM	@card@
'	PUN	'
38	NUM	@card@
;	PUN	;
44	NUM	@card@
tournier	NOM	tournier
(	PUN	(
luxeuil	NOM	luxeuil
)	PUN	)
48	NUM	@card@
'	PUN	'
41	NUM	@card@
;	PUN	;
45	NUM	@card@
golder	NOM	golder
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
48	NUM	@card@
'	PUN	'
47	NUM	@card@
;	PUN	;
46	NUM	@card@
olivier	NOM	olivier
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
48	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
47	NUM	@card@
ledentu	NOM	ledentu
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
49	NUM	@card@
'	PUN	'
03	NUM	@card@
;	PUN	;
48	NUM	@card@
perret	NOM	perret
(	PUN	(
gahs	NOM	gahs
)	PUN	)
49	NUM	@card@
'	PUN	'
31	NUM	@card@
;	PUN	;
49	NUM	@card@
bruchon	NOM	bruchon
(	PUN	(
sgh	NOM	sgh
)	PUN	)
49	NUM	@card@
'	PUN	'
59	NUM	@card@
;	PUN	;
50	NUM	@card@
moustaoui	NOM	moustaoui
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
50	NUM	@card@
'	PUN	'
16	NUM	@card@
;	PUN	;
51	NUM	@card@
coelo	NOM	coelo
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
50	NUM	@card@
'	PUN	'
21	NUM	@card@
;	PUN	;
52	NUM	@card@
cremille	NOM	cremille
(	PUN	(
gahs	NOM	gahs
)	PUN	)
50	NUM	@card@
'	PUN	'
21	NUM	@card@
;	PUN	;
53	NUM	@card@
meslot	NOM	meslot
(	PUN	(
luxeuil	NOM	luxeuil
)	PUN	)
50	NUM	@card@
'	PUN	'
23	NUM	@card@
;	PUN	;
54	NUM	@card@
mekki	NOM	mekki
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
50	NUM	@card@
'	PUN	'
23	NUM	@card@
;	PUN	;
55	NUM	@card@
corniche	NOM	corniche
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
51	NUM	@card@
'	PUN	'
26	NUM	@card@
;	PUN	;
56	NUM	@card@
debray	NOM	debray
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
52	NUM	@card@
'	PUN	'
17	NUM	@card@
;	PUN	;
57	NUM	@card@
rayot	NOM	rayot
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
53	NUM	@card@
'	PUN	'
05	NUM	@card@
;	PUN	;
58	NUM	@card@
gasser	NOM	gasser
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
53	NUM	@card@
'	PUN	'
25	NUM	@card@
;	PUN	;
59	NUM	@card@
rigoulot	ADJ	rigoulot
(	PUN	(
sgh	NOM	sgh
)	PUN	)
53	NUM	@card@
'	PUN	'
33	NUM	@card@
;	PUN	;
60	NUM	@card@
cottin	NOM	cottin
(	PUN	(
gahs	NOM	gahs
)	PUN	)
55	NUM	@card@
'	PUN	'
01	NUM	@card@
;	PUN	;
61	NUM	@card@
rayot	NOM	rayot
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
56	NUM	@card@
'	PUN	'
57	NUM	@card@
;	PUN	;
62	NUM	@card@
achaibou	NOM	achaibou
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
56	NUM	@card@
'	PUN	'
59	NUM	@card@
par	PRP	par
équipes	NOM	équipe
:	PUN	:
1	NUM	@card@
fc	NOM	fc
sochaux	ADJ	sochaux
montbéliard	ADJ	montbéliard
(	PUN	(
el	VER:simp	el
haddad	NOM	haddad
,	PUN	,
soltani	ADJ	soltani
,	PUN	,
kenane	NOM	kenane
,	PUN	,
charid	NAM	charid
,	PUN	,
grandjean	NOM	grandjean
,	PUN	,
charmoille	NOM	charmoille
)	PUN	)
;	PUN	;
2	NUM	@card@
aire	NOM	aire
urbaine	ADJ	urbain
nord	ADJ	nord
franche-comté	NOM	franche-comté
;	PUN	;
3	NUM	@card@
doubs	NOM	doubs
sud	ADJ	sud
athlé	ADJ	athlé
;	PUN	;
4	NUM	@card@
dole	VER:pres	doler
ac	ABR	ac
;	PUN	;
5	NUM	@card@
ga	NOM	ga
haut-saônois	ADJ	haut-saônois
;	PUN	;
6	NUM	@card@
fc	NOM	fc
sochaux	ADJ	sochaux
montbéliard	ADJ	montbéliard
(	PUN	(
2	NUM	@card@
)	PUN	)
espoirs	NOM	espoir
,	PUN	,
seniors	NOM	senior
,	PUN	,
vétérans	NOM	vétéran
femmes	NOM	femme
1	NUM	@card@
piot	NOM	piot
(	PUN	(
sgh	NOM	sgh
)	PUN	)
31	NUM	@card@
'	PUN	'
11	NUM	@card@
;	PUN	;
2	NUM	@card@
grandvoinet	NOM	grandvoinet
(	PUN	(
fcsm	NOM	fcsm
)	PUN	)
32	NUM	@card@
'	PUN	'
24	NUM	@card@
;	PUN	;
3	NUM	@card@
perrenoud	NOM	perrenoud
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
32	NUM	@card@
'	PUN	'
43	NUM	@card@
;	PUN	;
4	NUM	@card@
andré-mairot	NOM	andré-mairot
(	PUN	(
dac	NOM	dac
)	PUN	)
32	NUM	@card@
'	PUN	'
54	NUM	@card@
;	PUN	;
5	NUM	@card@
clerc	NOM	clerc
ex	ADV	ex
kogut	NOM	kogut
(	PUN	(
dsa	VER:simp	dsa
)	PUN	)
33	NUM	@card@
'	PUN	'
19	NUM	@card@
;	PUN	;
6	NUM	@card@
mauvais	NOM	mauvais
(	PUN	(
auanfc	NOM	auanfc
)	PUN	)
33	NUM	@card@
'	PUN	'
32	NUM	@card@
;	PUN	;
7	NUM	@card@
emery	NOM	emery
(	PUN	(
asptt	NOM	asptt
besançon	ADJ	besançon
)	PUN	)
