lisbonne	NOM	lisbonne
.	SENT	.
_	ADJ	_
arbitres	NOM	arbitre
:	PUN	:
mm	NOM	mm
goulao	NOM	goulao
et	KON	et
macau	NOM	macau
(	PUN	(
portugal	ADJ	portugal
).	NOM	).
12.000	NUM	@card@
spectateurs	NOM	spectateur
.	SENT	.
mi-temps	NOM	mi-temps
:	PUN	:
16	NUM	@card@
-	PUN	-
11	NUM	@card@
france	NOM	france
:	PUN	:
martini	NOM	martini
(	PUN	(
1	NUM	@card@
'	PUN	'
à	PRP	à
60	NUM	@card@
')	NOM	')
:	PUN	:
16	NUM	@card@
arrêts	NOM	arrêt
dont	PRO:REL	dont
0	NUM	@card@
/	PUN	/
2	NUM	@card@
pen	NOM	pen
.,	ADJ	.,
omeyer	VER:infi	omeyer
;	PUN	;
fernandez	VER:pres	fernandez
0	NUM	@card@
/	PUN	/
4	NUM	@card@
dinart	NOM	dinart
,	PUN	,
burdet	NOM	burdet
1	NUM	@card@
/	PUN	/
1	NUM	@card@
b.	ABR	b.
gille	NOM	gille
3	NUM	@card@
/	PUN	/
7	NUM	@card@
kempé	NOM	kempé
,	PUN	,
narcisse	NOM	narcisse
7	NUM	@card@
/	PUN	/
14	NUM	@card@
anquetil	NOM	anquetil
2	NUM	@card@
/	PUN	/
2	NUM	@card@
golic	NOM	golic
2	NUM	@card@
/	PUN	/
7	NUM	@card@
houlet	NOM	houlet
2	NUM	@card@
/	PUN	/
2	NUM	@card@
pen	NOM	pen
.,	ADJ	.,
richardson	NOM	richardson
(	PUN	(
cap	NOM	cap
.	SENT	.
)	PUN	)
2	NUM	@card@
/	PUN	/
3	NUM	@card@
abati	NOM	abati
4	NUM	@card@
/	PUN	/
8	NUM	@card@
cazal	NOM	cazal
4	NUM	@card@
/	PUN	/
6	NUM	@card@
espagne	NOM	espagne
:	PUN	:
hombrados	NOM	hombrados
(	PUN	(
1	NUM	@card@
'	PUN	'
à	PRP	à
60	NUM	@card@
')	NOM	')
:	PUN	:
20	NUM	@card@
arrêts	NOM	arrêt
dont	PRO:REL	dont
0	NUM	@card@
/	PUN	/
1	NUM	@card@
pen	NOM	pen
.,	ADJ	.,
barrufet	NOM	barrufet
0	NUM	@card@
/	PUN	/
1	NUM	@card@
pen	NOM	pen
.	SENT	.
;	PUN	;
garcia	NOM	garcia
0	NUM	@card@
/	PUN	/
1	NUM	@card@
prieto	NOM	prieto
,	PUN	,
masip	NOM	masip
(	PUN	(
cap	NOM	cap
.	SENT	.
)	PUN	)
1	NUM	@card@
/	PUN	/
3	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
/	PUN	/
1	NUM	@card@
pen	NOM	pen
.,	ADJ	.,
o'	ADJ	o'
callaghan	NOM	callaghan
0	NUM	@card@
/	PUN	/
2	NUM	@card@
garralda	NOM	garralda
0	NUM	@card@
/	PUN	/
2	NUM	@card@
dusjhebaev	NOM	dusjhebaev
5	NUM	@card@
/	PUN	/
11	NUM	@card@
m.	ABR	m.
ortega	NOM	ortega
,	PUN	,
hernandez	NOM	hernandez
3	NUM	@card@
/	PUN	/
6	NUM	@card@
colon	NOM	colon
2	NUM	@card@
/	PUN	/
2	NUM	@card@
entrerrios	NOM	entrerrios
4	NUM	@card@
/	PUN	/
9	NUM	@card@
romero	NOM	romero
0	NUM	@card@
/	PUN	/
1	NUM	@card@
a.	ABR	a.
ortega	NOM	ortega
7	NUM	@card@
/	PUN	/
11	NUM	@card@
dont	PRO:REL	dont
1	NUM	@card@
/	PUN	/
1	NUM	@card@
pen	NOM	pen
.	SENT	.
