pôle	NOM	pôle
de	PRP	de
randonnée	NOM	randonnée
de	PRP	de
l'	DET:ART	le
aire	NOM	aire
urbaine	ADJ	urbain
:	PUN	:
du	PRP:det	du
6	NUM	@card@
au	PRP:det	au
8	NUM	@card@
juin	NOM	juin
,	PUN	,
randonnée	NOM	randonnée
pédestre	ADJ	pédestre
,	PUN	,
accompagnée	VER:pper	accompagner
par	PRP	par
des	PRP:det	du
ânes	NOM	âne
,	PUN	,
pour	PRP	pour
20	NUM	@card@
à	PRP	à
25	NUM	@card@
personnes	NOM	personne
maxi	ADJ	maxi
;	PUN	;
6	NUM	@card@
juin	NOM	juin
,	PUN	,
étape	NOM	étape
d'	PRP	de
héricourt	NOM	héricourt
au	PRP:det	au
fort	NOM	fort
de	PRP	de
vézelois	NOM	vézelois
,	PUN	,
dîner	VER:infi	dîner
et	KON	et
nuit	VER:pres	nuire
passés	VER:pper	passer
dans	PRP	dans
le	DET:ART	le
fort	ADJ	fort
;	PUN	;
7	NUM	@card@
juin	NOM	juin
,	PUN	,
étape	NOM	étape
du	PRP:det	du
fort	NOM	fort
de	PRP	de
vézelois	NOM	vézelois
au	PRP:det	au
fort	ADJ	fort
dorsner	NOM	dorsner
(	PUN	(
giromagny	NOM	giromagny
),	ADJ	),
petit	ADJ	petit
déjeuner	NOM	déjeuner
au	PRP:det	au
fort	NOM	fort
de	PRP	de
vézelois	NOM	vézelois
,	PUN	,
parcours	NOM	parcours
en	PRP	en
voiture	NOM	voiture
jusqu'au	NOM	jusqu'au
fort	ADJ	fort
de	PRP	de
bessoncourt	NOM	bessoncourt
,	PUN	,
départ	NOM	départ
de	PRP	de
l'	DET:ART	le
étape	NOM	étape
pédestre	ADJ	pédestre
de	PRP	de
bessoncourt	NOM	bessoncourt
à	PRP	à
giromagny	NAM	giromagny
,	PUN	,
dîner	NOM	dîner
et	KON	et
nuit	NOM	nuit
passés	VER:pper	passer
dans	PRP	dans
le	DET:ART	le
fort	ADJ	fort
(	PUN	(
éventuellement	ADV	éventuellement
animation	NOM	animation
,	PUN	,
contes	NOM	conte
en	PRP	en
soirée	NOM	soirée
)	PUN	)
;	PUN	;
8	NUM	@card@
juin	NOM	juin
,	PUN	,
retour	NOM	retour
à	PRP	à
héricourt	NOM	héricourt
,	PUN	,
petit	ADJ	petit
déjeuner	NOM	déjeuner
au	PRP:det	au
fort	ADJ	fort
de	PRP	de
giromagny	NAM	giromagny
.	SENT	.
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
de	PRP	de
belfort	NOM	belfort
:	PUN	:
projet	NOM	projet
d'	PRP	de
animation	NOM	animation
des	PRP:det	du
campings	NOM	camping
pendant	PRP	pendant
la	DET:ART	le
période	NOM	période
estivale	ADJ	estival
en	PRP	en
liaison	NOM	liaison
avec	PRP	avec
les	DET:ART	le
professionnels	NOM	professionnel
de	PRP	de
la	DET:ART	le
chambre	NOM	chambre
de	PRP	de
métiers	NOM	métier
,	PUN	,
les	DET:ART	le
responsables	ADJ	responsable
des	PRP:det	du
campings	NOM	camping
des	PRP:det	du
forges	NOM	forge
,	PUN	,
giromagny	NAM	giromagny
,	PUN	,
seigneurie	NOM	seigneurie
,	PUN	,
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
général	ADJ	général
et	KON	et
la	DET:ART	le
caponnière	NOM	caponnière
.	SENT	.
visite	NOM	visite
d'	PRP	de
un	DET:ART	un
fort	ADJ	fort
le	DET:ART	le
matin	NOM	matin
,	PUN	,
déplacement	NOM	déplacement
en	PRP	en
bus	NOM	bus
(	PUN	(
50	NUM	@card@
personnes	NOM	personne
maxi	ADV	maxi
),	ADJ	),
déjeuner	NOM	déjeuner
gastronomique	ADJ	gastronomique
de	PRP	de
produits	NOM	produit
du	PRP:det	du
terroir	NOM	terroir
,	PUN	,
visite	NOM	visite
d'	PRP	de
un	DET:ART	un
second	NOM	second
fort	ADJ	fort
l'	DET:ART	le
après-midi	NOM	après-midi
puis	ADV	puis
retour	NOM	retour
en	PRP	en
bus	NOM	bus
aux	PRP:det	au
points	NOM	point
de	PRP	de
départ	NOM	départ
.	SENT	.
dates	NOM	date
retenues	VER:pper	retenir
mardi	NOM	mardi
22	NUM	@card@
juillet	NOM	juillet
et	KON	et
