randonnée	NOM	randonnée
raquettes	NOM	raquette
ou	KON	ou
pédestre	ADJ	pédestre
si	KON	si
enneigement	NOM	enneigement
insuffisant	ADJ	insuffisant
.	SENT	.
mercredi	NOM	mercredi
5	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
pérouse	NOM	pérouse
(	PUN	(
10	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
100	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
jeudi	NOM	jeudi
6	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
chagey	NOM	chagey
(	PUN	(
10	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
200	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
dimanche	NOM	dimanche
9	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
:	PUN	:
fennematt	NOM	fennematt
(	PUN	(
13	NUM	@card@
km	ABR	kilomètre
,	PUN	,
5	NUM	@card@
h	ABR	heure
30	NUM	@card@
de	PRP	de
marche	NOM	marche
,	PUN	,
500	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
mardi	NOM	mardi
11	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
:	PUN	:
gresson	NOM	gresson
(	PUN	(
15	NUM	@card@
km	ABR	kilomètre
,	PUN	,
5	NUM	@card@
h	ABR	heure
de	PRP	de
marche	NOM	marche
,	PUN	,
600	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
mercredi	NOM	mercredi
12	NUM	@card@
à	PRP	à
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
anjoutey	NOM	anjoutey
(	PUN	(
11	NUM	@card@
km	ABR	kilomètre
,	PUN	,
3	NUM	@card@
h	ABR	heure
30	NUM	@card@
de	PRP	de
marche	NOM	marche
,	PUN	,
150	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
).	VER:subi	).
dimanche	NOM	dimanche
16	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
:	PUN	:
rossberg	NOM	rossberg
(	PUN	(
distance	NOM	distance
et	KON	et
durée	NOM	durée
suivant	VER:ppre	suivre
météo	ADJ	météo
,	PUN	,
400	NUM	@card@
m	NOM	m
de	PRP	de
dénivelé	NOM	dénivelé
environ	PRP	environ
).	ABR	).
mercredi	NOM	mercredi
19	NUM	@card@
à	PRP	à
9	NUM	@card@
h	ABR	heure
:	PUN	:
la	DET:ART	le
rougerie	NOM	rougerie
(	PUN	(
13	NUM	@card@
km	ABR	kilomètre
,	PUN	,
