ensemble	ADV	ensemble
scolaire	ADJ	scolaire
j.	NOM	j.
-	PUN	-
b.	ABR	b.
-	PUN	-
vatelot	NOM	vatelot
:	PUN	:
pâté	NOM	pâté
ou	KON	ou
betteraves	NOM	betterave
mimosa	NOM	mimosa
;	PUN	;
raviolis	NOM	raviolis
ou	KON	ou
omelette	NOM	omelette
nature	NOM	nature
;	PUN	;
ratatouille	NOM	ratatouille
ou	KON	ou
tortis	NOM	tortis
au	PRP:det	au
beurre	NOM	beurre
;	PUN	;
salade	NOM	salade
;	PUN	;
yaourt-fromage-fruit	NOM	yaourt-fromage-fruit
de	PRP	de
saison	NOM	saison
;	PUN	;
pomme	NOM	pomme
.	SENT	.
collège	NOM	collège
j.	ABR	j.
grüber	NOM	grüber
à	PRP	à
colombey	NOM	colombey
:	PUN	:
crudités	NOM	crudité
;	PUN	;
blanquette	NOM	blanquette
de	PRP	de
dinde	NOM	dinde
;	PUN	;
riz	NOM	riz
créole	ADJ	créole
;	PUN	;
fromage	NOM	fromage
;	PUN	;
compote	NOM	compote
.	SENT	.
collège	NOM	collège
et	KON	et
lycée	NOM	lycée
valcourt	ADJ	valcourt
:	PUN	:
crudités	NOM	crudité
variées	ADJ	varié
;	PUN	;
steak	NOM	steak
haché	ADJ	haché
;	PUN	;
frites	VER:pper	frire
;	PUN	;
fromage	NOM	fromage
;	PUN	;
assortiment	NOM	assortiment
de	PRP	de
desserts	NOM	dessert
.	SENT	.
collège	NOM	collège
amiral-de-rigny	NAM	amiral-de-rigny
:	PUN	:
nouvel	ADJ	nouveau
an	NOM	an
chinois	ADJ	chinois
,	PUN	,
année	NOM	année
de	PRP	de
la	DET:ART	le
chèvre	NOM	chèvre
.	SENT	.
lycée	NOM	lycée
cugnot	NOM	cugnot
:	PUN	:
entrées	VER:pper	entrer
au	PRP:det	au
choix-crudités	NOM	choix-crudités
variées	ADJ	varié
;	PUN	;
émincé	VER:pper	émincer
de	PRP	de
dinde	NOM	dinde
à	PRP	à
l'	DET:ART	le
estragon	NOM	estragon
;	PUN	;
jardinière	ADJ	jardinier
de	PRP	de
légumes	NOM	légume
;	PUN	;
fromages	NOM	fromage
;	PUN	;
assortiment	NOM	assortiment
de	PRP	de
dessert	NOM	dessert
.	SENT	.
lycée	NOM	lycée
majorelle	NOM	majorelle
:	PUN	:
entrées	VER:pper	entrer
au	PRP:det	au
choix-crudités	NOM	choix-crudités
variées	ADJ	varié
;	PUN	;
bouchée	VER:pper	boucher
à	PRP	à
la	DET:ART	le
reine	NOM	reine
;	PUN	;
coquillette	NOM	coquillette
au	PRP:det	au
beurre	NOM	beurre
;	PUN	;
fromage	NOM	fromage
ou	KON	ou
yaourt	NOM	yaourt
;	PUN	;
dessert	NOM	dessert
au	PRP:det	au
choix	NOM	choix
ou	KON	ou
fruit	NOM	fruit
.	SENT	.
sous	PRP	sous
réserve	NOM	réserve
des	PRP:det	du
conditions	NOM	condition
d'	PRP	de
approvisionnement	NOM	approvisionnement
ou	KON	ou
de	PRP	de
perturbation	NOM	perturbation
des	PRP:det	du
services	NOM	service
.	SENT	.
