profitez	VER:pres	profiter
d'	PRP	de
aides	NOM	aide
financières	ADJ	financier
exceptionnelles	ADJ	exceptionnel
pour	PRP	pour
améliorer	VER:infi	améliorer
le	DET:ART	le
confort	NOM	confort
de	PRP	de
votre	DET:POS	votre
logement	NOM	logement
,	PUN	,
rénover	VER:infi	rénover
vos	DET:POS	votre
logements	NOM	logement
locatifs	ADJ	locatif
ou	KON	ou
encore	ADV	encore
réhabiliter	VER:infi	réhabiliter
des	PRP:det	du
logements	NOM	logement
inoccupés	ADJ	inoccupé
qui	PRO:REL	qui
seront	VER:futu	être
destinés	VER:pper	destiner
à	PRP	à
la	DET:ART	le
location	NOM	location
.	SENT	.
renseignez-vous	NOM	renseignez-vous
sans	PRP	sans
tarder	VER:infi	tarder
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
des	PRP:det	du
permanences	NOM	permanence
ci-dessous	ADV	ci-dessous
,	PUN	,
pour	PRP	pour
vérifier	VER:infi	vérifier
si	KON	si
votre	DET:POS	votre
projet	NOM	projet
peut	VER:pres	pouvoir
bénéficier	ADJ	bénéficier
de	PRP	de
ces	PRO:DEM	ce
aides	NOM	aide
.	SENT	.
urbam	NOM	urbam
conseil	NOM	conseil
intervient	VER:pres	intervenir
comme	ADV	comme
animateur	ADJ	animateur
et	KON	et
gestionnaire	ADJ	gestionnaire
de	PRP	de
l'	DET:ART	le
opération	NOM	opération
.	SENT	.
ces	PRO:DEM	ce
techniciens	NOM	technicien
spécialisés	VER:pper	spécialiser
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
sont	VER:pres	être
là	ADV	là
pour	PRP	pour
vous	PRO:PER	vous
informer	VER:infi	informer
et	KON	et
vous	PRO:PER	vous
aider	VER:infi	aider
dans	PRP	dans
la	DET:ART	le
constitution	NOM	constitution
de	PRP	de
vos	DET:POS	votre
dossiers	NOM	dossier
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
aussi	ADV	aussi
la	DET:ART	le
garantie	NOM	garantie
d'	PRP	de
avoir	VER:infi	avoir
le	DET:ART	le
projet	NOM	projet
qui	PRO:REL	qui
correspond	VER:pres	correspondre
le	DET:ART	le
mieux	ADV	mieux
à	PRP	à
chaque	PRO:IND	chaque
situation	NOM	situation
personnelle	ADJ	personnel
.	SENT	.
ces	PRO:DEM	ce
interventions	NOM	intervention
sont	VER:pres	être
gratuites	ADJ	gratuit
et	KON	et
vous	PRO:PER	vous
pouvez	VER:pres	pouvoir
les	PRO:PER	la|le
contacter	VER:infi	contacter
sans	PRP	sans
engagement	NOM	engagement
de	PRP	de
votre	DET:POS	votre
part	NOM	part
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
de	PRP	de
ces	PRO:DEM	ce
permanences	NOM	permanence
ou	KON	ou
par	PRP	par
courrier	NOM	courrier
,	PUN	,
urbam	NOM	urbam
conseil	NOM	conseil
,	PUN	,
5	NUM	@card@
rue	NOM	rue
thiers	ADJ	thiers
,	PUN	,
bp	NOM	bp
450	NUM	@card@
88011	NUM	@card@
epinal	NOM	epinal
cedex	NOM	cedex
,	PUN	,
ou	KON	ou
par	PRP	par
téléphone	NOM	téléphone
,	PUN	,
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
64.05	NUM	@card@
.	SENT	.
90	NUM	@card@
adresse	NOM	adresse
internet	ADJ	internet
:	PUN	:
opah	NOM	opah
@	ADJ	@
urbam	NOM	urbam
.	SENT	.
fr	NOM	fr
les	DET:ART	le
prochaines	ADJ	prochain
permanences	NOM	permanence
:	PUN	:
les	DET:ART	le
mercredis	NOM	mercredi
en	PRP	en
mairies	NOM	mairie
ou	KON	ou
à	PRP	à
la	DET:ART	le
ccco	NOM	ccco
,	PUN	,
56	NUM	@card@
rue	NOM	rue
de	PRP	de
strasbourg	NOM	strasbourg
;	PUN	;
5	NUM	@card@
février	NOM	février
,	PUN	,
tronville	NOM	tronville
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
19	NUM	@card@
février	NOM	février
,	PUN	,
ccco	NOM	ccco
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
5	NUM	@card@
mars	NOM	mars
,	PUN	,
velaines	NOM	velaines
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
19	NUM	@card@
mars	NOM	mars
,	PUN	,
ccco	NOM	ccco
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
2	NUM	@card@
avril	NOM	avril
,	PUN	,
tronville	NOM	tronville
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
16	NUM	@card@
avril	NOM	avril
,	PUN	,
ccco	NOM	ccco
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
