sivom	NOM	sivom
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
gymnastique	NOM	gymnastique
volontaire	ADJ	volontaire
:	PUN	:
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
21	NUM	@card@
h.	ABR	h.
poterie	NOM	poterie
:	PUN	:
de	PRP	de
14	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
au	PRP:det	au
prieuré	NOM	prieuré
.	SENT	.
scrabble	NOM	scrabble
:	PUN	:
de	PRP	de
14	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
salle	NOM	salle
de	PRP	de
réunion	NOM	réunion
.	SENT	.
