bureau	NOM	bureau
accueil	NOM	accueil
des	PRP:det	du
demandeurs	NOM	demandeur
d'	PRP	de
emploi	NOM	emploi
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
rez-de-chaussée	NOM	rez-de-chaussée
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.91	NUM	@card@
.	SENT	.
80	NUM	@card@
club	NOM	club
mieux	ADV	mieux
vivre	VER:infi	vivre
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
réunion	NOM	réunion
du	PRP:det	du
club	NOM	club
en	PRP	en
salle	NOM	salle
9	NUM	@card@
de	PRP	de
la	DET:ART	le
mcl	NOM	mcl
.	SENT	.
inscriptions	NOM	inscription
pour	PRP	pour
la	DET:ART	le
choucroute	NOM	choucroute
du	PRP:det	du
18	NUM	@card@
février	NOM	février
.	SENT	.
tarifs	NOM	tarif
:	PUN	:
club	NOM	club
,	PUN	,
10	NUM	@card@
euros	NOM	euro
et	KON	et
hors	PRP	hors
club	NOM	club
,	PUN	,
19	NUM	@card@
euros	NOM	euro
.	SENT	.
activités	NOM	activité
de	PRP	de
la	DET:ART	le
mcl	NOM	mcl
:	PUN	:
vitrail	NOM	vitrail
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
;	PUN	;
encadrement	NOM	encadrement
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
;	PUN	;
club	NOM	club
pyramide	NOM	pyramide
«	PUN:cit	«
aqua-méninges	NOM	aqua-méninges
»,	ADJ	»,
de	PRP	de
14	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
;	PUN	;
éveil	NOM	éveil
à	PRP	à
la	DET:ART	le
danse	NOM	danse
,	PUN	,
danse	NOM	danse
rythmique	ADJ	rythmique
,	PUN	,
de	PRP	de
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
pour	PRP	pour
les	DET:ART	le
3	NUM	@card@
-	PUN	-
4	NUM	@card@
ans	NOM	an
;	PUN	;
danse	NOM	danse
contemporaine	ADJ	contemporain
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
11	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
;	PUN	;
gymnastique	ADJ	gymnastique
stretching	NOM	stretching
,	PUN	,
de	PRP	de
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
;	PUN	;
chorale	NOM	chorale
adultes	ADJ	adulte
de	PRP	de
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
22	NUM	@card@
h.	ABR	h.
espace	NOM	espace
multimédia	ADJ	multimédia
:	PUN	:
de	PRP	de
la	DET:ART	le
découverte	NOM	découverte
à	PRP	à
l'	DET:ART	le
exploration	NOM	exploration
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h.	ABR	h.
handball	NOM	handball
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
