grandvillars	NOM	grandvillars
.	SENT	.
_	NOM	_
la	DET:ART	le
belfortaine	ADJ	belfortaine
gordana	NOM	gordana
petkovic	ADJ	petkovic
vit	VER:pres	vivre
décidément	ADV	décidément
un	DET:ART	un
beau	ADJ	beau
tournoi	NOM	tournoi
.	SENT	.
elle	PRO:PER	elle
vient	VER:pres	venir
de	PRP	de
battre	VER:infi	battre
la	DET:ART	le
seloncourtoise	ADJ	seloncourtoise
ganassa	NOM	ganassa
en	PRP	en
deux	NUM	deux
petits	ADJ	petit
sets	NOM	set
.	SENT	.
de	PRP	de
son	DET:POS	son
côté	NOM	côté
,	PUN	,
le	DET:ART	le
danjoutinois	ADJ	danjoutinois
bourboujas	NOM	bourboujas
s'	PRO:PER	se
est	VER:pres	être
offert	VER:pper	offrir
deux	NUM	deux
belles	ADJ	beau
«	PUN:cit	«
perf	NOM	perf
»	PUN:cit	»
à	PRP	à
15	NUM	@card@
/	PUN	/
3	NUM	@card@
et	KON	et
15	NUM	@card@
/	PUN	/
1	NUM	@card@
lles	NOM	lles
«	PUN:cit	«
perf	NOM	perf
»	PUN:cit	»
:	PUN	:
messieurs	NOM	messieurs
:	PUN	:
meunier	NOM	meunier
15	NUM	@card@
/	PUN	/
4	NUM	@card@
(	PUN	(
uss	NOM	uss
)	PUN	)
bat	VER:pres	battre
hinterlang	NOM	hinterlang
15	NUM	@card@
/	PUN	/
2	NUM	@card@
(	PUN	(
morvillars	NOM	morvillars
)	PUN	)
4	NUM	@card@
-	PUN	-
6	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
lopinot	NOM	lopinot
(	PUN	(
14	NUM	@card@
/	PUN	/
4	NUM	@card@
(	PUN	(
tcg	NOM	tcg
)	PUN	)
bat	VER:pres	battre
becker	VER:infi	becker
15	NUM	@card@
/	PUN	/
3	NUM	@card@
(	PUN	(
asmb	NOM	asmb
)	PUN	)
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
4	NUM	@card@
souvet	NOM	souvet
15	NUM	@card@
/	PUN	/
5	NUM	@card@
(	PUN	(
champagnole	NOM	champagnole
)	PUN	)
bat	VER:pres	battre
themoin	NOM	themoin
15	NUM	@card@
/	PUN	/
3	NUM	@card@
(	PUN	(
asmb	NOM	asmb
)	PUN	)
6	NUM	@card@
-	PUN	-
4	NUM	@card@
6	NUM	@card@
-	PUN	-
1	NUM	@card@
renaud	NOM	renaud
15	NUM	@card@
/	PUN	/
5	NUM	@card@
(	PUN	(
tcg	NOM	tcg
)	PUN	)
bat	VER:pres	battre
huot	NOM	huot
marchand	ADJ	marchand
15	NUM	@card@
/	PUN	/
3	NUM	@card@
(	PUN	(
uss	NOM	uss
)	PUN	)
6	NUM	@card@
-	PUN	-
3	NUM	@card@
6	NUM	@card@
-	PUN	-
3	NUM	@card@
resch	NOM	resch
15	NUM	@card@
/	PUN	/
2	NUM	@card@
(	PUN	(
mulhouse	NOM	mulhouse
)	PUN	)
bat	VER:pres	battre
ciron	NOM	ciron
15	NUM	@card@
/	PUN	/
1	NUM	@card@
(	PUN	(
dijon	NOM	dijon
)	PUN	)
wo	NOM	wo
.	SENT	.
heyberger	NOM	heyberger
15	NUM	@card@
/	PUN	/
4	NUM	@card@
(	PUN	(
tcg	NOM	tcg
)	PUN	)
bat	VER:pres	battre
pepe	NOM	pepe
15	NUM	@card@
/	PUN	/
3	NUM	@card@
(	PUN	(
uss	NOM	uss
)	PUN	)
6	NUM	@card@
-	PUN	-
1	NUM	@card@
6	NUM	@card@
-	PUN	-
