exploitant	VER:ppre	exploiter
le	DET:ART	le
règlement	NOM	règlement
qui	PRO:REL	qui
permet	VER:pres	permettre
à	PRP	à
certains	PRO:IND	certain
joueurs	NOM	joueur
d'	PRP	de
évoluer	VER:infi	évoluer
en	PRP	en
équipe	NOM	équipe
2	NUM	@card@
ce	PRO:DEM	ce
dont	PRO:REL	dont
a	VER:pres	avoir
profité	VER:pper	profiter
mirecourt	VER:pres	mirecourt
renforcé	VER:pper	renforcer
par	PRP	par
trois	NUM	trois
éléments	NOM	élément
de	PRP	de
nationale	NOM	national
2	NUM	@card@
les	DET:ART	le
seniors	NOM	senior
masculins	ADJ	masculin
2	NUM	@card@
se	PRO:PER	se
sont	VER:pres	être
inclinés	VER:pper	incliner
à	PRP	à
domicile	NOM	domicile
62	NUM	@card@
à	PRP	à
49	NUM	@card@
après	PRP	après
avoir	VER:infi	avoir
livré	VER:pper	livrer
un	DET:ART	un
match	NOM	match
sérieux	ADJ	sérieux
et	KON	et
appliqué	ADJ	appliqué
.	SENT	.
retenus	VER:pper	retenir
dans	PRP	dans
les	DET:ART	le
sélections	NOM	sélection
départementales	ADJ	départemental
,	PUN	,
charlène	NOM	charlène
resta	VER:simp	rester
,	PUN	,
en	PRP	en
benjamines	NOM	benjamin
et	KON	et
charles	NOM	charles
louis	NOM	louis
et	KON	et
jean-christophe	NOM	jean-christophe
demaret	NOM	demaret
,	PUN	,
en	PRP	en
benjamins	NOM	benjamin
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
la	DET:ART	le
victoire	NOM	victoire
de	PRP	de
la	DET:ART	le
meurthe-et-moselle	NOM	meurthe-et-moselle
au	PRP:det	au
tournoi	NOM	tournoi
inter-comités	ADJ	inter-comités
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
