malgré	PRP	malgré
des	PRP:det	du
conditions	NOM	condition
météorologiques	ADJ	météorologique
difficiles	ADJ	difficile
,	PUN	,
une	DET:ART	un
quarantaine	NOM	quarantaine
de	PRP	de
joueuses	NOM	joueur
et	KON	et
joueurs	NOM	joueur
se	PRO:PER	se
sont	VER:pres	être
retouvés	VER:pper	retouvés
au	PRP:det	au
club-house	NOM	club-house
pour	PRP	pour
connaître	VER:infi	connaître
les	DET:ART	le
résultats	NOM	résultat
des	PRP:det	du
doubles	NOM	double
et	KON	et
recevoir	VER:infi	recevoir
leurs	DET:POS	leur
récompenses	NOM	récompense
.	SENT	.
en	PRP	en
préambule	NOM	préambule
,	PUN	,
le	DET:ART	le
président	NOM	président
a	VER:pres	avoir
remercié	VER:pper	remercier
les	DET:ART	le
organisateurs	NOM	organisateur
,	PUN	,
dominique	ADJ	dominique
charbonnel	NOM	charbonnel
et	KON	et
patrick	NOM	patrick
merlin	NOM	merlin
,	PUN	,
les	DET:ART	le
joueuses	NOM	joueur
et	KON	et
joueurs	NOM	joueur
et	KON	et
le	DET:ART	le
magasin	NOM	magasin
elytis	ADJ	elytis
de	PRP	de
verdun	NOM	verdun
qui	PRO:REL	qui
avait	VER:impf	avoir
offert	VER:pper	offrir
de	PRP	de
nombreux	ADJ	nombreux
lots	NOM	lot
.	SENT	.
y.	ABR	y.
scotti	NOM	scotti
a	VER:pres	avoir
aussi	ADV	aussi
déclaré	VER:pper	déclarer
:	PUN	:
«	PUN:cit	«
ce	PRO:DEM	ce
tournoi	NOM	tournoi
est	VER:pres	être
une	DET:ART	un
réussite	NOM	réussite
pour	PRP	pour
plusieurs	PRO:IND	plusieurs
raisons	NOM	raison
:	PUN	:
tout	ADV	tout
d'	PRP	de
abord	NOM	abord
les	DET:ART	le
paires	NOM	paire
ont	VER:pres	avoir
été	VER:pper	être
composées	VER:pper	composer
à	PRP	à
partir	VER:infi	partir
de	PRP	de
classements	NOM	classement
très	ADV	très
différents	ADJ	différent
,	PUN	,
ensuite	ADV	ensuite
toutes	PRO:IND	tout
les	DET:ART	le
catégories	NOM	catégorie
d'	PRP	de
âge	NOM	âge
ont	VER:pres	avoir
adhéré	VER:pper	adhérer
à	PRP	à
cette	PRO:DEM	ce
compétition	NOM	compétition
,	PUN	,
le	DET:ART	le
plus	ADV	plus
jeune	ADJ	jeune
joueur	NOM	joueur
était	VER:impf	être
âgé	ADJ	âgé
de	PRP	de
12	NUM	@card@
ans	NOM	an
,	PUN	,
la	DET:ART	le
joueuse	NOM	joueur
la	DET:ART	le
plus	ADV	plus
âgée	ADJ	âgé
de	PRP	de
plus	ADV	plus
de	PRP	de
soixante	NUM	soixante
ans	NOM	an
,	PUN	,
enfin	ADV	enfin
il	PRO:PER	il
a	VER:pres	avoir
régné	VER:pper	régner
durant	PRP	durant
toutes	PRO:IND	tout
les	DET:ART	le
parties	NOM	partie
,	PUN	,
une	DET:ART	un
ambiance	NOM	ambiance
amicale	ADJ	amical
».	VER:impf	».
ce	PRO:DEM	ce
tournoi	NOM	tournoi
a	VER:pres	avoir
rassemblé	VER:pper	rassembler
vingt-neuf	NUM	vingt-neuf
paires	NOM	paire
et	KON	et
a	VER:pres	avoir
donné	VER:pper	donner
lieu	NOM	lieu
à	PRP	à
