les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
lundi	NOM	lundi
soir	NOM	soir
pour	PRP	pour
deux	NUM	deux
malaises	NOM	malais|malaise
,	PUN	,
à	PRP	à
20	NUM	@card@
h	ABR	heure
10	NUM	@card@
à	PRP	à
dombasle	NOM	dombasle
et	KON	et
à	PRP	à
23	NUM	@card@
h	ABR	heure
40	NUM	@card@
à	PRP	à
saint-nicolas	NOM	saint-nicolas
.	SENT	.
hier	ADV	hier
,	PUN	,
à	PRP	à
1	NUM	@card@
h	ABR	heure
40	NUM	@card@
malaise	NOM	malais|malaise
à	PRP	à
saint-nicolas	NOM	saint-nicolas
,	PUN	,
à	PRP	à
13	NUM	@card@
h	ABR	heure
40	NUM	@card@
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
