taxi	NOM	taxi
3	NUM	@card@
ùcolisée	ADJ	ùcolisée
bar-le-duc	NOM	bar-le-duc
,	PUN	,
aujourd'hui	ADV	aujourd'hui
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
17	NUM	@card@
h	ABR	heure
et	KON	et
21	NUM	@card@
h	ABR	heure
;	PUN	;
majestic	NOM	majestic
verdun	ADJ	verdun
,	PUN	,
aujourd'hui	ADV	aujourd'hui
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
17	NUM	@card@
h	ABR	heure
et	KON	et
20	NUM	@card@
h	ABR	heure
50	NUM	@card@
le	DET:ART	le
chateau	NOM	chateau
dans	PRP	dans
le	DET:ART	le
ciel	NOM	ciel
ùcolisée	VER:pper	ùcolisée
bar-le-duc	NOM	bar-le-duc
,	PUN	,
aujourd'hui	ADV	aujourd'hui
à	PRP	à
17	NUM	@card@
h.	ABR	h.
mafia	NOM	mafia
blues	NOM	blues
2	NUM	@card@
la	DET:ART	le
rechute	NOM	rechute
ùmajestic	NOM	ùmajestic
verdun	ADJ	verdun
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
22	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
colisée	VER:pper	colisée
bar-le-duc	NOM	bar-le-duc
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
22	NUM	@card@
h	ABR	heure
40	NUM	@card@
rire	NOM	rire
et	KON	et
chatiment	NOM	chatiment
ùcolisée	VER:pper	ùcolisée
bar-le-duc	NOM	bar-le-duc
,	PUN	,
aujourd'hui	ADV	aujourd'hui
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
majestic	NOM	majestic
verdun	ADJ	verdun
,	PUN	,
aujourd'hui	ADV	aujourd'hui
à	PRP	à
20	NUM	@card@
h	ABR	heure
40	NUM	@card@
parlez-moi	NOM	parlez-moi
d'	PRP	de
amour	NOM	amour
ùmajestic	NOM	ùmajestic
verdun	ADJ	verdun
,	PUN	,
demain	ADV	demain
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
spy	NOM	spy
kids	NOM	kid
2	NUM	@card@
(	PUN	(
espion	NOM	espion
en	PRP	en
herbe	NOM	herbe
)	PUN	)
ùaction	NOM	ùaction
cinéma	NOM	cinéma
stenay	ADJ	stenay
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
21	NUM	@card@
h.	ABR	h.
le	DET:ART	le
papillon	NOM	papillon
ùmajestic	NOM	ùmajestic
verdun	ADJ	verdun
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
vendredi	NOM	vendredi
soir	NOM	soir
ùcolisée	VER:pper	ùcolisée
bar-le-duc	NOM	bar-le-duc
,	PUN	,
vendredi	NOM	vendredi
à	PRP	à
18	NUM	@card@
h	ABR	heure
et	KON	et
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
