tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
les	DET:ART	le
6	NUM	@card@
-	PUN	-
12	NUM	@card@
ans	NOM	an
,	PUN	,
découvrent	VER:pres	découvrir
le	DET:ART	le
patrimoine	NOM	patrimoine
du	PRP:det	du
pays	NOM	pays
de	PRP	de
montbéliard	NOM	montbéliard
.	SENT	.
mercredi	NOM	mercredi
5	NUM	@card@
février	NOM	février
,	PUN	,
est	VER:pres	être
proposée	VER:pper	proposer
une	DET:ART	un
visite	NOM	visite
intitulée	VER:pper	intituler
«	PUN:cit	«
découvrez	VER:pres	découvrir
la	DET:ART	le
vie	NOM	vie
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
beurnier-rossel	ADJ	beurnier-rossel
au	PRP:det	au
xiiie	ADJ	xiiie
siècle	NOM	siècle
»	PUN:cit	»
la	DET:ART	le
visite	NOM	visite
sera	VER:futu	être
assurée	VER:pper	assurer
par	PRP	par
un	DET:ART	un
guide	NOM	guide
conférencier	NOM	conférencier
agréé	VER:pper	agréer
par	PRP	par
la	DET:ART	le
ministère	NOM	ministère
de	PRP	de
la	DET:ART	le
culture	NOM	culture
.	SENT	.
rendez-vous	NOM	rendez-vous
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
dans	PRP	dans
le	DET:ART	le
hall	NOM	hall
du	PRP:det	du
musée	NOM	musée
beurnier	ADJ	beurnier
,	PUN	,
place	NOM	place
saint-martin	NOM	saint-martin
à	PRP	à
montbéliard	NOM	montbéliard
.	SENT	.
la	DET:ART	le
visite	NOM	visite
commentée	VER:pper	commenter
est	VER:pres	être
réservée	VER:pper	réserver
aux	PRP:det	au
enfants	NOM	enfant
de	PRP	de
6	NUM	@card@
à	PRP	à
12	NUM	@card@
ans	NOM	an
(	PUN	(
places	NOM	place
limitées	VER:pper	limiter
:	PUN	:
réservations	NOM	réservation
au	PRP:det	au
03.81	NUM	@card@
.	SENT	.
91.47	NUM	@card@
.	SENT	.
66	NUM	@card@
).	ABR	).
tarifs	NOM	tarif
:	PUN	:
2	NUM	@card@
.	ABR	.
