frouard-pompey	NAM	frouard-pompey
,	PUN	,
poussins	NOM	poussin
a	VER:pres	avoir
,	PUN	,
b	ADJ	b
et	KON	et
c	ADJ	c
,	PUN	,
cherche	VER:pres	chercher
matches	NOM	match
le	DET:ART	le
8	NUM	@card@
février	NOM	février
,	PUN	,
extérieur	NOM	extérieur
ou	KON	ou
domicile	NOM	domicile
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.07	NUM	@card@
.	SENT	.
43.51	NUM	@card@
.	SENT	.
70	NUM	@card@
benjamins	NOM	benjamin
à	PRP	à
9	NUM	@card@
8	NUM	@card@
février	NOM	février
,	PUN	,
extérieur	NOM	extérieur
ou	KON	ou
domicile	NOM	domicile
.	SENT	.
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
24.20	NUM	@card@
.	SENT	.
24	NUM	@card@
municipaux	ADJ	municipal
lunéville	NOM	lunéville
,	PUN	,
équipes	NOM	équipe
a	VER:pres	avoir
et	KON	et
b	VER:subi	b
,	PUN	,
cherche	VER:pres	chercher
matches	NOM	match
à	PRP	à
domicile	NOM	domicile
recherché	VER:pper	rechercher
le	DET:ART	le
samedi	NOM	samedi
8	NUM	@card@
février	NOM	février
.	SENT	.
