né	VER:pper	naître
le	DET:ART	le
25	NUM	@card@
avril	NOM	avril
1952	NUM	@card@
à	PRP	à
delle	NOM	delle
(	PUN	(
territoire	NOM	territoire
de	PRP	de
belfort	NOM	belfort
).	VER:subi	).
carrière	NOM	carrière
de	PRP	de
joueur	NOM	joueur
:	PUN	:
fesches-le-châtel	ADJ	fesches-le-châtel
,	PUN	,
saint-etienne	ADJ	saint-etienne
(	PUN	(
1969	NUM	@card@
-	PUN	-
81	NUM	@card@
),	NOM	),
montpellier	ADJ	montpellier
(	PUN	(
1981	NUM	@card@
-	PUN	-
83	NUM	@card@
).	ABR	).
carrière	NOM	carrière
d'	PRP	de
entraîneur	NOM	entraîneur
:	PUN	:
lisieux	ADJ	lisieux
(	PUN	(
d	VER:pper	d
3,	NUM	@card@
1983	NUM	@card@
-	PUN	-
85	NUM	@card@
),	NOM	),
toulouse	ADJ	toulouse
fc	NOM	fc
(	PUN	(
1985	NUM	@card@
-	PUN	-
89	NUM	@card@
),	NOM	),
lille	NOM	lille
osc	ADJ	osc
(	PUN	(
1989	NUM	@card@
-	PUN	-
92	NUM	@card@
),	NOM	),
as	VER:pres	avoir
saint-etienne	ADJ	saint-etienne
(	PUN	(
1992	NUM	@card@
-	PUN	-
94	NUM	@card@
),	NOM	),
fc	NOM	fc
sochaux-montbéliard	ADJ	sochaux-montbéliard
(	PUN	(
déc	NOM	déc
.	SENT	.
1994	NUM	@card@
-	PUN	-
jui	NOM	jui
.	SENT	.
95	NUM	@card@
),	NOM	),
olympique	ADJ	olympique
lyonnais	ADJ	lyonnais
,	PUN	,
directeur	NOM	directeur
technique	ADJ	technique
(	PUN	(
1997	NUM	@card@
-	PUN	-
2000	NUM	@card@
),	NOM	),
puis	ADV	puis
entraîneur	NOM	entraîneur
(	PUN	(
2000	NUM	@card@
-	PUN	-
2002	NUM	@card@
).	ABR	).
palmarès	NOM	palmarès
de	PRP	de
joueur	NOM	joueur
:	PUN	:
champion	NOM	champion
de	PRP	de
france	NOM	france
avec	PRP	avec
saint-etienne	NOM	saint-etienne
(	PUN	(
1970	NUM	@card@
74	NUM	@card@
75	NUM	@card@
76	ABR	@card@
81	NUM	@card@
)	PUN	)
;	PUN	;
vainqueur	NOM	vainqueur
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
france	NOM	france
avec	PRP	avec
saint-etienne	NOM	saint-etienne
(	PUN	(
1970	NUM	@card@
74	ABR	@card@
75	NUM	@card@
77	NUM	@card@
).	ABR	).
finaliste	ADJ	finaliste
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
d'	PRP	de
europe	NOM	europe
des	PRP:det	du
clubs	NOM	club
champions	NOM	champion
avec	PRP	avec
saint-etienne	NOM	saint-etienne
(	PUN	(
1976	NUM	@card@
).	ABR	).
palmarès	NOM	palmarès
d'	PRP	de
entraîneur	NOM	entraîneur
:	PUN	:
champion	NOM	champion
de	PRP	de
france	NOM	france
2002	NUM	@card@
avec	PRP	avec
lyon	NOM	lyon
,	PUN	,
vainqueur	NOM	vainqueur
de	PRP	de
la	DET:ART	le
coupe	NOM	coupe
de	PRP	de
la	DET:ART	le
ligue	NOM	ligue
avec	PRP	avec
lyon	NOM	lyon
en	PRP	en
2001	NUM	@card@
nommé	ADJ	nommé
sélectionneur	NOM	sélectionneur
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
de	PRP	de
france	NOM	france
le	DET:ART	le
19	NUM	@card@
juillet	NOM	juillet
2002	NUM	@card@
bilan	NOM	bilan
à	PRP	à
la	DET:ART	le
tête	NOM	tête
des	PRP:det	du
bleus	NOM	bleu
:	PUN	:
5	NUM	@card@
matches	NOM	match
(	PUN	(
quatre	NUM	quatre
victoires	NOM	victoire
,	PUN	,
un	DET:ART	un
match	NOM	match
nul	ADJ	nul
,	PUN	,
15	NUM	@card@
buts	NOM	but
marqués	VER:pper	marquer
,	PUN	,
deux	NUM	deux
buts	NOM	but
encaissés	VER:pper	encaisser
).	VER:simp	).
liste	NOM	liste
des	PRP:det	du
matches	NOM	match
en	PRP	en
tant	ADV	tant
que	KON	que
sélectionneur	NOM	sélectionneur
:	PUN	:
-	PUN	-
21	NUM	@card@
août	NOM	août
2002	NUM	@card@
(	PUN	(
amical	ADJ	amical
)	PUN	)
:	PUN	:
tunisie	NOM	tunisie
-	PUN	-
france	NOM	france
(	PUN	(
1	NUM	@card@
-	PUN	-
1	NUM	@card@
).	ABR	).
-	PUN	-
7	NUM	@card@
septembre	NOM	septembre
2002	NUM	@card@
(	PUN	(
qualif	ADJ	qualif
.	SENT	.
championnat	NOM	championnat
d'	PRP	de
europe	NOM	europe
)	PUN	)
:	PUN	:
chypre	NOM	chypre
-	PUN	-
france	NOM	france
(	PUN	(
1	NUM	@card@
-	PUN	-
2	NUM	@card@
).	ABR	).
-	PUN	-
12	NUM	@card@
octobre	NOM	octobre
2002	NUM	@card@
(	PUN	(
qualif	ADJ	qualif
.	SENT	.
championnat	NOM	championnat
d'	PRP	de
europe	NOM	europe
)	PUN	)
:	PUN	:
france	NOM	france
-	PUN	-
slovénie	NOM	slovénie
(	PUN	(
5	NUM	@card@
-	PUN	-
0	NUM	@card@
).	ABR	).
-	PUN	-
16	NUM	@card@
octobre	NOM	octobre
2002	NUM	@card@
(	PUN	(
qualif	ADJ	qualif
.	SENT	.
championnat	NOM	championnat
d'	PRP	de
europe	NOM	europe
)	PUN	)
:	PUN	:
malte	VER:pres	malter
-	PUN	-
france	NOM	france
(	PUN	(
0	NUM	@card@
-	PUN	-
4	NUM	@card@
).	ABR	).
-	PUN	-
20	NUM	@card@
novembre	NOM	novembre
2002	NUM	@card@
(	PUN	(
amical	ADJ	amical
)	PUN	)
:	PUN	:
france	NOM	france
-	PUN	-
yougoslavie	NOM	yougoslavie
(	PUN	(
3	NUM	@card@
-	PUN	-
0	NUM	@card@
).	ABR	).
