quelle	PRO:REL	quel
jeune	ADJ	jeune
fille	NOM	fille
ne	ADV	ne
serait	VER:cond	être
pas	ADV	pas
tentée	VER:pper	tenter
par	PRP	par
l'	DET:ART	le
expérience	NOM	expérience
d'	PRP	de
être	VER:infi	être
un	DET:ART	un
jour	NOM	jour
durant	VER:ppre	durer
,	PUN	,
fêtée	VER:pper	fêter
comme	ADV	comme
la	DET:ART	le
reine	NOM	reine
du	PRP:det	du
carnaval	NOM	carnaval
?	SENT	?
pour	PRP	pour
cet	PRO:DEM	ce
honneur	NOM	honneur
,	PUN	,
deux	NUM	deux
conditions	NOM	condition
à	PRP	à
remplir	VER:infi	remplir
:	PUN	:
être	VER:infi	être
âgée	ADJ	âgé
de	PRP	de
plus	ADV	plus
de	PRP	de
18	NUM	@card@
ans	NOM	an
et	KON	et
être	VER:infi	être
libre	ADJ	libre
le	DET:ART	le
22	NUM	@card@
et	KON	et
23	NUM	@card@
mars	NOM	mars
prochain	ADJ	prochain
.	SENT	.
s'	PRO:PER	se
inscrire	VER:infi	inscrire
à	PRP	à
la	DET:ART	le
mairie	NOM	mairie
avant	PRP	avant
le	DET:ART	le
20	NUM	@card@
février	NOM	février
.	SENT	.
