comme	ADV	comme
chaque	PRO:IND	chaque
année	NOM	année
,	PUN	,
durant	PRP	durant
les	DET:ART	le
vacances	NOM	vacance
scolaires	ADJ	scolaire
de	PRP	de
février	NOM	février
,	PUN	,
«	PUN:cit	«
sport	NOM	sport
à	PRP	à
la	DET:ART	le
carte	NOM	carte
»	PUN:cit	»
a	VER:pres	avoir
concocté	VER:pper	concocter
un	DET:ART	un
programme	NOM	programme
attrayant	VER:ppre	attraire
sur	PRP	sur
deux	NUM	deux
semaines	NOM	semaine
.	SENT	.
activités	NOM	activité
adolescents	ADJ	adolescent
:	PUN	:
de	PRP	de
14	NUM	@card@
à	PRP	à
17	NUM	@card@
ans	NOM	an
,	PUN	,
activités	NOM	activité
sportives	ADJ	sportif
,	PUN	,
football	NOM	football
,	PUN	,
volley	NOM	volley
,	PUN	,
hand	ADJ	hand
.	SENT	.
inscriptions	NOM	inscription
obligatoires	ADJ	obligatoire
.	SENT	.
sortie	NOM	sortie
citadelle	NOM	citadelle
de	PRP	de
besançon	NOM	besançon
,	PUN	,
le	DET:ART	le
mercredi	NOM	mercredi
.	SENT	.
période	NOM	période
du	PRP:det	du
17	NUM	@card@
au	PRP:det	au
21	NUM	@card@
février	NOM	février
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
l.	ABR	l.
aarab	NOM	aarab
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
57.38	NUM	@card@
.	SENT	.
88	NUM	@card@
ce	PRO:DEM	ce
2	NUM	@card@
à	PRP	à
la	DET:ART	le
3	NUM	@card@
e	NOM	e
:	PUN	:
sports	NOM	sport
collectifs	ADJ	collectif
,	PUN	,
football	NOM	football
,	PUN	,
basket	NOM	basket
,	PUN	,
tchouk-ball	NOM	tchouk-ball
,	PUN	,
jeux	NOM	jeu
de	PRP	de
raquettes	NOM	raquette
(	PUN	(
tennis	NOM	tennis
,	PUN	,
squash	NOM	squash
,	PUN	,
badminton	NOM	badminton
,	PUN	,
speed-ball	NOM	speed-ball
)	PUN	)
;	PUN	;
activités	NOM	activité
de	PRP	de
plein	ADJ	plein
air	NOM	air
(	PUN	(
raquettes	NOM	raquette
à	PRP	à
neige	NOM	neige
)	PUN	)
;	PUN	;
sports	NOM	sport
d'	PRP	de
adresse	NOM	adresse
(	PUN	(
tir	NOM	tir
à	PRP	à
l'	DET:ART	le
arc	NOM	arc
,	PUN	,
escrime	VER:pres	escrimer
).	VER:pper	).
chaque	PRO:IND	chaque
journée	NOM	journée
est	VER:pres	être
proposée	VER:pper	proposer
une	NUM	un
ou	KON	ou
deux	NUM	deux
activités	NOM	activité
différentes	ADJ	différent
au	PRP:det	au
gymnase	NOM	gymnase
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
c.	ABR	c.
vogel	NOM	vogel
au	PRP:det	au
03.84	NUM	@card@
.	SENT	.
57.38	NUM	@card@
.	SENT	.
88	NUM	@card@
période	NOM	période
du	PRP:det	du
24	NUM	@card@
au	PRP:det	au
28	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
;	PUN	;
tarifs	NOM	tarif
:	PUN	:
12	NUM	@card@
	NOM	
la	DET:ART	le
semaine	NOM	semaine
et	KON	et
4	NUM	@card@
	NOM	
la	DET:ART	le
demi-journée	NOM	demi-journée
.	SENT	.
stage	NOM	stage
hip-hop	NOM	hip-hop
découverte	VER:pper	découvrir
:	PUN	:
la	DET:ART	le
deuxième	NUM	deuxième
semaine	NOM	semaine
sabrina	VER:simp	sabrina
ziane	NOM	ziane
,	PUN	,
animatrice	ADJ	animateur
hip-hop	NOM	hip-hop
,	PUN	,
propose	VER:pres	proposer
aux	PRP:det	au
jeunes	ADJ	jeune
filles	NOM	fille
et	KON	et
garçons	NOM	garçon
,	PUN	,
du	PRP:det	du
cm	NOM	cm
1	NUM	@card@
à	PRP	à
la	DET:ART	le
5	NUM	@card@
e,	NOM	e,
la	DET:ART	le
découverte	NOM	découverte
de	PRP	de
cette	PRO:DEM	ce
activité	NOM	activité
alliant	VER:ppre	allier
la	DET:ART	le
danse	NOM	danse
,	PUN	,
la	DET:ART	le
chorégraphie	NOM	chorégraphie
et	KON	et
l'	DET:ART	le
acrobatie	NOM	acrobatie
