bâtiments	NOM	bâtiment
et	KON	et
terrains	NOM	terrain
communaux	ADJ	communal
,	PUN	,
smamvo	NOM	smamvo
:	PUN	:
le	DET:ART	le
syndicat	NOM	syndicat
mixte	ADJ	mixte
d'	PRP	de
aménagement	NOM	aménagement
de	PRP	de
la	DET:ART	le
moyenne	ADJ	moyen
vallée	NOM	vallée
de	PRP	de
l'	DET:ART	le
ognon	NOM	ognon
a	VER:pres	avoir
sollicité	VER:pper	solliciter
la	DET:ART	le
commune	NOM	commune
pour	PRP	pour
mise	NOM	mise
à	PRP	à
sa	DET:POS	son
disposition	NOM	disposition
d'	PRP	de
un	DET:ART	un
terrain	NOM	terrain
afin	KON	afin
de	PRP	de
réaliser	VER:infi	réaliser
le	DET:ART	le
siège	NOM	siège
du	PRP:det	du
syndicat	NOM	syndicat
,	PUN	,
bureaux	NOM	bureau
et	KON	et
services	NOM	service
techniques	ADJ	technique
.	SENT	.
a	VER:pres	avoir
la	DET:ART	le
suite	NOM	suite
des	PRP:det	du
différentes	ADJ	différent
réunions	NOM	réunion
de	PRP	de
concertation	NOM	concertation
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
de	PRP	de
faire	VER:infi	faire
la	DET:ART	le
proposition	NOM	proposition
suivante	ADJ	suivant
au	PRP:det	au
smamvo	NOM	smamvo
:	PUN	:
rétrocession	NOM	rétrocession
pour	PRP	pour
l'	DET:ART	le
euro	NAM	euro
symbolique	ADJ	symbolique
d'	PRP	de
un	DET:ART	un
terrain	NOM	terrain
.	SENT	.
stères	NOM	stère
de	PRP	de
bois	NOM	bois
fabriqués	VER:pper	fabriquer
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
fixe	VER:pres	fixer
le	DET:ART	le
prix	NOM	prix
des	PRP:det	du
stères	NOM	stère
façonnés	VER:pper	façonner
à	PRP	à
17	NUM	@card@
.	ABR	.
travaux	NOM	travail
d'	PRP	de
extension	NOM	extension
du	PRP:det	du
réseau	NOM	réseau
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
,	PUN	,
demande	NOM	demande
de	PRP	de
subvention	NOM	subvention
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
s'	PRO:PER	se
engage	VER:pres	engager
à	PRP	à
réaliser	VER:infi	réaliser
et	KON	et
à	PRP	à
financer	VER:infi	financer
des	PRP:det	du
travaux	NOM	travail
d'	PRP	de
extension	NOM	extension
du	PRP:det	du
réseau	NOM	réseau
d'	PRP	de
éclairage	NOM	éclairage
public	ADJ	public
dont	PRO:REL	dont
le	DET:ART	le
montant	NOM	montant
s'	PRO:PER	se
élève	VER:pres	élever
à	PRP	à
4.400	NUM	@card@
	NOM	
ttc	ADJ	ttc
aux	PRP:det	au
endroits	NOM	endroit
suivants	ADJ	suivant
:	PUN	:
chemin	NOM	chemin
des	PRP:det	du
salines	NOM	salin|saline
,	PUN	,
rue	NOM	rue
de	PRP	de
l'	DET:ART	le
abreuvoir	NOM	abreuvoir
et	KON	et
rue	NOM	rue
du	PRP:det	du
chenil	NOM	chenil
près	ADV	près
de	PRP	de
l'	DET:ART	le
école	NOM	école
,	PUN	,
parking	NOM	parking
de	PRP	de
l'	DET:ART	le
église	NOM	église
.	SENT	.
remboursement	NOM	remboursement
de	PRP	de
sinistre	NOM	sinistre
par	PRP	par
groupama	NOM	groupama
:	PUN	:
à	PRP	à
la	DET:ART	le
suite	NOM	suite
d'	PRP	de
un	DET:ART	un
orage	NOM	orage
,	PUN	,
le	DET:ART	le
mécanisme	NOM	mécanisme
des	PRP:det	du
cloches	NOM	cloche
de	PRP	de
l'	DET:ART	le
église	NOM	église
a	VER:pres	avoir
été	VER:pper	être
endommagé	VER:pper	endommager
.	SENT	.
groupama	VER:simp	groupama
la	DET:ART	le
compagnie	NOM	compagnie
d'	PRP	de
assurances	NOM	assurance
de	PRP	de
la	DET:ART	le
commune	NOM	commune
verse	VER:pres	verser
une	DET:ART	un
indemnité	NOM	indemnité
de	PRP	de
636,62	NUM	@card@
.	ABR	.
relèvement	NOM	relèvement
de	PRP	de
la	DET:ART	le
taxe	NOM	taxe
de	PRP	de
séjour	NOM	séjour
du	PRP:det	du
camping	NOM	camping
:	PUN	:
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
de	PRP	de
revaloriser	VER:infi	revaloriser
le	DET:ART	le
montant	NOM	montant
de	PRP	de
la	DET:ART	le
taxe	NOM	taxe
de	PRP	de
séjour	NOM	séjour
du	PRP:det	du
camping	NOM	camping
à	PRP	à
0,20	NUM	@card@
	NOM	
par	PRP	par
personne	NOM	personne
et	KON	et
par	PRP	par
nuitée	NOM	nuitée
.	SENT	.
instauration	NOM	instauration
d'	PRP	de
un	DET:ART	un
institut	NOM	institut
de	PRP	de
beauté	NOM	beauté
1	NUM	@card@
chemin	NOM	chemin
de	PRP	de
la	DET:ART	le
goulotte	NOM	goulotte
,	PUN	,
mme	VER:simp	mme
marianne	NOM	marianne
levacher	ADJ	levacher
a	VER:pres	avoir
émis	VER:pper	émettre
le	DET:ART	le
souhait	NOM	souhait
d'	PRP	de
installer	VER:infi	installer
un	DET:ART	un
institut	NOM	institut
de	PRP	de
beauté	NOM	beauté
dans	PRP	dans
l'	DET:ART	le
enceinte	NOM	enceinte
du	PRP:det	du
château	NOM	château
de	PRP	de
la	DET:ART	le
dame-blanche	NOM	dame-blanche
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
émet	VER:pres	émettre
un	DET:ART	un
avis	NOM	avis
favorable	ADJ	favorable
à	PRP	à
cette	PRO:DEM	ce
installation	NOM	installation
.	SENT	.
création	NOM	création
d'	PRP	de
une	DET:ART	un
agence	NOM	agence
de	PRP	de
taxis	NOM	taxi|taxis
:	PUN	:
le	DET:ART	le
maire	NOM	maire
rappelle	VER:pres	rappeler
l'	DET:ART	le
expérience	NOM	expérience
d'	PRP	de
un	DET:ART	un
fonds	NOM	fond|fonds
d'	PRP	de
intervention	NOM	intervention
pour	PRP	pour
la	DET:ART	le
sauvegarde	NOM	sauvegarde
de	PRP	de
l'	DET:ART	le
artisanat	NOM	artisanat
et	KON	et
du	PRP:det	du
commerce	NOM	commerce
accordant	VER:ppre	accorder
des	PRP:det	du
aides	NOM	aide
dans	PRP	dans
les	DET:ART	le
communes	NOM	commune
de	PRP	de
moins	ADV	moins
de	PRP	de
2.000	NUM	@card@
habitants	NOM	habitant
qui	PRO:REL	qui
désirent	VER:pres	désirer
développer	VER:infi	développer
les	DET:ART	le
activités	NOM	activité
économiques	ADJ	économique
et	KON	et
favoriser	VER:infi	favoriser
par	PRP	par
leur	DET:POS	leur
dynamisme	NOM	dynamisme
,	PUN	,
l'	DET:ART	le
implantation	NOM	implantation
de	PRP	de
commerces	NOM	commerce
et	KON	et
artisanats	NOM	artisanat
.	SENT	.
en	PRP	en
conséquence	NOM	conséquence
,	PUN	,
il	PRO:PER	il
donne	VER:pres	donner
un	DET:ART	un
avis	NOM	avis
favorable	ADJ	favorable
à	PRP	à
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
d'	PRP	de
une	DET:ART	un
agence	NOM	agence
de	PRP	de
taxis	NOM	taxi|taxis
au	PRP:det	au
profit	NOM	profit
de	PRP	de
antoine	NOM	antoine
ribeiro	NOM	ribeiro
.	SENT	.
