samedi	NOM	samedi
au	PRP:det	au
foyer	NOM	foyer
des	PRP:det	du
anciens	NOM	ancien
,	PUN	,
robert	NOM	robert
lecocq	NOM	lecocq
,	PUN	,
président	NOM	président
du	PRP:det	du
groupement	NOM	groupement
départemental	ADJ	départemental
des	PRP:det	du
médaillés	VER:pper	médailler
de	PRP	de
jeunesse	NOM	jeunesse
et	KON	et
sport	NOM	sport
,	PUN	,
a	VER:pres	avoir
remis	VER:pper	remettre
la	DET:ART	le
médaille	NOM	médaille
d'	PRP	de
argent	NOM	argent
à	PRP	à
jean-françois	NOM	jean-françois
routhier	NOM	routhier
;	PUN	;
la	DET:ART	le
médaille	NOM	médaille
fédérale	ADJ	fédéral
à	PRP	à
mauricette	NOM	mauricette
piquerez	VER:futu	piquer
,	PUN	,
albert	NOM	albert
guillaume	NOM	guillaume
et	KON	et
alain	NOM	alain
jeannès	NOM	jeannès
.	SENT	.
pour	PRP	pour
jean-françois	ADJ	jean-françois
routhier	NOM	routhier
,	PUN	,
la	DET:ART	le
vie	NOM	vie
associative	ADJ	associatif
commence	VER:pres	commencer
en	PRP	en
1949	NUM	@card@
il	PRO:PER	il
entre	VER:subp	entrer
aux	PRP:det	au
scouts	NOM	scout
de	PRP	de
france	NOM	france
,	PUN	,
à	PRP	à
morvillars	NOM	morvillars
,	PUN	,
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
11	NUM	@card@
ans	NOM	an
.	SENT	.
a	VER:pres	avoir
cette	PRO:DEM	ce
époque	NOM	époque
,	PUN	,
il	PRO:PER	il
est	VER:pres	être
déjà	ADV	déjà
gymnaste	NOM	gymnaste
à	PRP	à
fesches-le-châtel	ADJ	fesches-le-châtel
et	KON	et
footballeur	NOM	footballeur
jusqu'en	NOM	jusqu'en
1958	NUM	@card@
en	PRP	en
1955	NUM	@card@
il	PRO:PER	il
est	VER:pres	être
champion	NOM	champion
assu	VER:pper	assavoir
avec	PRP	avec
le	DET:ART	le
collège	NOM	collège
technique	ADJ	technique
de	PRP	de
montbéliard	NOM	montbéliard
et	KON	et
champion	NOM	champion
de	PRP	de
franche-comté	ADJ	franche-comté
honneur	NOM	honneur
senior	ADJ	senior
.	SENT	.
de	PRP	de
1958	NUM	@card@
à	PRP	à
1960	NUM	@card@
jean-françois	NOM	jean-françois
accomplit	VER:pres	accomplir
son	DET:POS	son
service	NOM	service
militaire	ADJ	militaire
dans	PRP	dans
les	DET:ART	le
parachutistes	NOM	parachutiste
,	PUN	,
en	PRP	en
corse	NOM	corse
.	SENT	.
sa	DET:POS	son
passion	NOM	passion
ne	ADV	ne
le	PRO:PER	le
