germiny	NOM	germiny
feu	ADJ	feu
de	PRP	de
cheminée	NOM	cheminée
mardi	NOM	mardi
soir	NOM	soir
,	PUN	,
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
18	NUM	@card@
h	ABR	heure
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
sont	VER:pres	être
intervenus	VER:pper	intervenir
au	PRP:det	au
5	NUM	@card@
grande-rue	NOM	grande-rue
pour	PRP	pour
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
.	SENT	.
a	VER:pres	avoir
leur	DET:POS	leur
arrivée	NOM	arrivé|arrivée
,	PUN	,
les	DET:ART	le
soldats	NOM	soldat
du	PRP:det	du
feu	NOM	feu
ont	VER:pres	avoir
utilisé	VER:pper	utiliser
le	DET:ART	le
matériel	NOM	matériel
spécial	ADJ	spécial
pour	PRP	pour
venir	VER:infi	venir
à	PRP	à
bout	NOM	bout
du	PRP:det	du
sinistre	NOM	sinistre
.	SENT	.
moyen	ADJ	moyen
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
mardi	NOM	mardi
soir	NOM	soir
,	PUN	,
vers	PRP	vers
19	NUM	@card@
h	ABR	heure
,	PUN	,
un	DET:ART	un
feu	NOM	feu
de	PRP	de
cheminée	NOM	cheminée
s'	PRO:PER	se
est	VER:pres	être
déclaré	VER:pper	déclarer
dans	PRP	dans
une	DET:ART	un
habitation	NOM	habitation
du	PRP:det	du
32	NUM	@card@
rue	NOM	rue
du	PRP:det	du
général-leclerc	NOM	général-leclerc
.	SENT	.
sur	PRP	sur
place	NOM	place
,	PUN	,
les	DET:ART	le
secours	NOM	secours
ont	VER:pres	avoir
fait	VER:pper	faire
usage	NOM	usage
du	PRP:det	du
matériel	NOM	matériel
approprié	VER:pper	approprier
pour	PRP	pour
éteindre	VER:infi	éteindre
le	DET:ART	le
sinistre	NOM	sinistre
.	SENT	.
pont-a-mousson	NOM	pont-a-mousson
court-circuit	NOM	court-circuit
sur	PRP	sur
un	DET:ART	un
téléviseur	NOM	téléviseur
mercredi	NOM	mercredi
soir	NOM	soir
,	PUN	,
sur	PRP	sur
les	DET:ART	le
coups	NOM	coup
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
le	DET:ART	le
locataire	NOM	locataire
d'	PRP	de
un	DET:ART	un
appartement	NOM	appartement
situé	VER:pper	situer
au	PRP:det	au
deuxième	NUM	deuxième
étage	NOM	étage
du	PRP:det	du
bâtiment	NOM	bâtiment
drouot	NOM	drouot
,	PUN	,
rue	NOM	rue
nicolas-pierson	NOM	nicolas-pierson
,	PUN	,
a	VER:pres	avoir
eu	VER:pper	avoir
une	DET:ART	un
belle	ADJ	beau
frayeur	NOM	frayeur
lorsque	KON	lorsque
son	DET:POS	son
téléviseur	NOM	téléviseur
a	VER:pres	avoir
subi	VER:pper	subir
un	DET:ART	un
court-circuit	NOM	court-circuit
.	SENT	.
sans	PRP	sans
perdre	VER:infi	perdre
son	DET:POS	son
sang-froid	NOM	sang-froid
,	PUN	,
le	DET:ART	le
locataire	NOM	locataire
a	VER:pres	avoir
réussi	VER:pper	réussir
à	PRP	à
maîtriser	VER:infi	maîtriser
l'	DET:ART	le
incident	NOM	incident
avant	PRP	avant
même	ADV	même
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
des	PRP:det	du
secours	NOM	secours
.	SENT	.
ces	PRO:DEM	ce
derniers	NOM	dernier
ont	VER:pres	avoir
toutefois	ADV	toutefois
procédé	VER:pper	procéder
à	PRP	à
une	DET:ART	un
ventilation	NOM	ventilation
de	PRP	de
l'	DET:ART	le
appartement	NOM	appartement
.	SENT	.
nancy	NOM	nancy
piéton	ADJ	piéton
renversé	VER:pper	renverser
mercredi	NOM	mercredi
soir	NOM	soir
,	PUN	,
vers	PRP	vers
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
automobiliste	NOM	automobiliste
a	VER:pres	avoir
heurté	VER:pper	heurter
un	DET:ART	un
piéton	NOM	piéton
dans	PRP	dans
la	DET:ART	le
rue	NOM	rue
gustave-eiffel	ADJ	gustave-eiffel
